compound,substituent,delta_H_kJ_mol,delta_G_kJ_mol,lambda_max_nm,energy_density_MJ_kg
P-3,H (parent),-215,-215,305.0,1.56
P-3 (4-NMe2),4-NMe2,-232,-230,284.9,1.39
P-3 (6-NMe2),6-NMe2,-228,-228,332.0,1.37
P-3 (4-CN),4-CN,-213,-210,357.9,1.42
P-3 (6-CN),6-CN,-209,-209,321.2,1.4
P-3 (4-Ph),4-Ph,-208,-206,341.0,1.04
P-3 (6-Ph),6-Ph,-209,-205,312.5,1.04
