pyrimidone_id,temperature_C,Cp_J_g-1_K-1
P-1,25,1.75
P-1,35,1.8
P-1,45,1.83
P-1,55,1.86
P-1,65,1.89
P-2,25,0.89
P-2,35,1.03
P-2,45,1.25
P-3,25,0.98
P-3,35,1.08
P-3,45,1.14
P-3,55,1.21
P-3,65,1.24
P-4,25,1.21
P-4,35,1.35
P-4,45,1.36
P-4,55,1.36
P-4,65,1.37
