plot,year_0,year_1,date_0,date_1,interval,aet,RH,co2,precip,tmean,vpd,mcwd,precip_anom_sigma,tmean_anom_sigma,vpd_anom_sigma,mcwd_anom_sigma,precip_anom_sigma_3mo,precip_anom_sigma_3mo_sum,tmean_anom_sigma_3mo,vpd_anom_sigma_3mo,tmean_anom_sigma_3mo_max,vpd_anom_sigma_3mo_max,mcwd_anom_sigma_max,precip_anom_sigma_3mo_sum_min
EP02,1971,1973,25/7/1971,12/6/1973,1,92.13757689,57.22948907,327.7650554,169.7685744,21.187588,1.079843841,349.2930473,-0.017194533,-0.330194615,0.207645857,0.873331327,-0.057922759,-0.173768277,-0.421104416,1.082951323,1.363857393,1.616530673,2.006337489,-3.700675648
EP02,1973,1975,12/6/1973,12/6/1975,2,100.9508403,63.65677916,330.6186913,189.8179514,21.06979871,0.901131273,313.1148301,0.171531656,-0.285028996,-0.671159693,0.470973442,0.192624681,0.577874043,-0.234987155,0.899964966,1.700864507,1.452025668,2.071065151,-2.173578909
EP02,1975,1977,12/6/1975,25/7/1977,3,104.757331,62.21687497,332.8408463,179.7727365,20.66452463,0.915517963,212.2025211,0.446239178,-0.458966042,-0.546996443,-0.709931181,0.432019959,1.296059878,-0.413354009,0.91243689,1.125692943,1.39474961,0.889615331,-1.149933519
EP02,1977,1979,25/7/1977,16/6/1979,4,97.65048067,59.35985202,335.0679161,167.004069,20.94405776,1.004321958,267.5486584,-0.001257382,-0.663324674,-0.18258568,-0.093959395,0.015492039,0.046476116,-0.688210124,1.008047961,0.134859942,1.539213435,0.16003809,-2.86378748
EP02,1979,1981,16/6/1979,16/6/1981,5,96.84817759,58.13708291,339.113,133.1210798,21.10893389,1.055422642,321.4944037,-0.100706613,-0.143634236,0.132093524,0.556477429,-0.145329965,-0.435989894,-0.167974464,1.054088911,0.918220991,1.573198859,1.154896879,-3.170695126
EP02,1981,1983,16/6/1981,29/7/1983,6,95.94783697,57.13018452,341.3803881,122.9119145,20.77729908,1.053482632,250.9468855,-0.001917169,-0.209642843,0.159468933,-0.273266554,-0.001276075,-0.003828224,-0.2121055,1.053667017,1.276455632,1.720301914,0.762330227,-2.971771836
EP02,1983,1985,29/7/1983,6/8/1985,7,98.39236808,60.41477306,344.4321757,123.0436026,20.98076754,0.988874755,275.5272803,-0.16186461,-0.299415896,-0.197751673,0.031189837,-0.105004724,-0.315014171,-0.246356147,0.985659787,0.622731801,1.347650305,0.911536386,-2.729521092
EP02,1985,1987,6/8/1985,30/6/1987,8,97.42832921,59.21358294,346.8703175,116.5614653,21.67937054,1.067098901,311.935723,-0.221951352,0.305788263,0.128662978,0.431702487,-0.282742927,-0.84822878,0.225898628,1.071742627,1.13080576,1.499740918,1.582062255,-2.997667749
EP02,1987,1989,30/6/1987,3/7/1989,9,103.4648241,61.08765902,351.3088267,143.5136216,21.39356613,0.999296835,250.7973434,0.187350465,0.230416817,-0.203779756,-0.265575394,0.166566433,0.4996993,0.251039996,1.00062061,0.801662164,1.368359248,1.612293059,-2.380949351
EP02,1989,1991,3/7/1989,29/7/1991,10,94.81576594,60.08014943,354.5512831,155.8305669,20.84438601,0.988866336,269.7526187,0.14704781,-0.326004016,-0.231374572,-0.060164788,0.223414502,0.670243507,-0.319260925,0.980946216,0.713862434,1.45885102,0.57751836,-2.750758999
EP02,1991,1995,29/7/1991,16/9/1995,11,95.64991919,58.69180667,357.8769272,108.8726213,21.02480986,1.036244122,305.7598277,-0.177730859,-0.080882648,0.040800822,0.37556391,-0.2355219,-0.706565701,-0.07993078,1.036782052,1.358671521,1.567301687,1.578913343,-3.177592823
EP02,1995,1998,16/9/1995,7/7/1998,12,104.166612,60.21507777,363.5574707,137.4473244,21.40766327,1.013064484,199.6507656,-0.031893834,-0.125938709,-0.11286512,-0.884223769,0.044117006,0.132351019,-0.174670832,1.012561923,1.489040205,1.400615342,0.723973328,-2.209925469
EP02,1998,2002,7/7/1998,23/7/2002,13,99.69627019,61.68856121,369.9927962,165.3019643,21.21294742,0.958138285,234.2017909,0.059017946,0.005701715,-0.226495572,-0.478110245,0.066371293,0.19911388,0.028311604,0.954468568,1.820763731,1.357101218,0.857378101,-2.770858472
EP02,2002,2006,23/7/2002,9/8/2006,14,94.07350607,57.49242932,378.0018188,144.3244148,21.31376568,1.083137827,335.9357724,-0.009313766,0.20983183,0.34679332,0.734220145,-0.046071359,-0.138214076,0.212116197,1.08902157,1.038670165,1.680515194,1.880319671,-3.258073249
EP02,2006,2011,9/8/2006,30/8/2011,15,98.38912426,59.45919764,387.0540823,162.7408681,21.20899253,1.013561777,261.5327726,0.100307037,0.019254892,0.059776603,-0.14052711,0.119711888,0.359135664,0.036392137,1.01037547,2.347837244,1.593328508,1.559417545,-3.294183755
EP02,2011,2015,30/8/2011,24/10/2015,16,94.91983787,57.00850932,396.8933883,133.4402458,21.40593426,1.100489592,276.8070549,0.065295346,0.378963136,0.425668681,0.025482982,0.066626588,0.199879764,0.363603789,1.090857641,1.599991498,1.708871555,1.382883308,-2.83730164
EP03,1971,1973,25/10/1971,19/9/1973,1,94.04964029,63.20378407,328.1473396,261.0942809,19.6442613,0.839881525,232.8180681,0.112209341,-0.167976539,0.196791197,0.795024835,0.099500409,0.298501227,-0.201915323,0.850159591,1.729712004,1.344673729,1.464020534,-3.684491595
EP03,1973,1975,19/9/1973,16/9/1975,2,100.6203857,68.49049172,331.0110456,282.1449743,19.3622711,0.699762959,178.2435481,0.296329707,-0.540142573,-0.829142987,0.105169809,0.258701021,0.776103063,-0.497710807,0.703024537,1.057958796,1.164938132,1.40168384,-2.283629106
EP03,1975,1977,16/9/1975,11/10/1977,3,104.2007947,65.74745983,332.8632635,269.043229,19.12670332,0.745809283,123.3466184,0.400125035,-0.654041541,-0.549552644,-0.611965492,0.404371935,1.213115805,-0.578009118,0.736354729,1.090395826,1.153556728,0.215064001,-1.351055553
EP03,1977,1979,11/10/1977,19/9/1979,4,97.56874116,65.04446883,335.666181,243.3745376,19.31429856,0.780681264,144.6673817,0.040566513,-0.626930791,-0.246988016,-0.345515164,0.072776155,0.218328464,-0.631799698,0.789799744,0.110850435,1.3037817,0.166816119,-2.897826843
EP03,1979,1981,19/9/1979,1/9/1981,5,97.26952247,63.57042052,339.559677,202.1679728,19.79593327,0.845296192,213.1620327,-0.165555317,0.020757169,0.07845326,0.544912071,-0.175621874,-0.526865621,-0.05415935,0.851017755,0.980603137,1.345168241,1.077957669,-3.219890464
EP03,1981,1983,1/9/1981,12/9/1983,6,100.3282051,61.14835526,341.4757085,198.0223586,19.31613033,0.863745844,144.4107551,0.054478789,-0.320783519,0.232011128,-0.345285373,0.046134404,0.138403213,-0.266555161,0.860420971,1.26914344,1.497227605,0.54331143,-2.95210652
EP03,1983,1985,12/9/1983,12/9/1985,7,97.9495212,65.45219357,344.5750479,183.70508,19.5221741,0.784698198,139.9613028,-0.184321225,-0.287108244,-0.260512585,-0.392319999,-0.157310874,-0.471932621,-0.299113375,0.782563339,0.606025623,1.109488805,0.519560468,-2.747195695
EP03,1985,1987,12/9/1985,11/10/1987,8,97.30869565,63.71127158,347.2068775,174.0383839,19.88772228,0.846152218,201.0501993,-0.11901038,0.296806682,0.074753474,0.376112732,-0.147199237,-0.44159771,0.287826088,0.837461908,1.124481149,1.220775223,1.035988408,-3.021758518
EP03,1987,1989,11/10/1987,12/9/1989,9,102.1656205,66.59172379,351.9177175,212.6511754,19.8949951,0.783211603,128.0692015,0.0550669,0.159577652,-0.278005072,-0.549123437,0.092186073,0.276558219,0.185814158,0.797790159,0.844554037,1.169210847,0.956886663,-2.459939519
EP03,1989,1991,12/9/1989,28/8/1991,10,95.37258741,64.30078001,354.7066434,235.7670442,19.52671362,0.809153591,229.376416,0.132657749,-0.315881751,-0.116120118,0.748089099,0.136897368,0.410692105,-0.322450015,0.806204647,0.646974589,1.23576959,1.101973578,-2.92034756
EP03,1991,1995,28/8/1991,19/9/1995,11,98.31894808,63.54134562,357.9342009,168.2634081,19.58434603,0.831577674,195.0301158,-0.169631802,-0.082438822,0.011272736,0.313722515,-0.229330866,-0.687992598,-0.086927424,0.831285712,1.460571151,1.352827772,1.441474787,-3.12545547
EP03,1995,1998,19/9/1995,30/6/1998,12,103.3651874,65.0337776,363.5348422,213.8460711,19.92810077,0.808343046,120.6169535,0.004218656,-0.110217061,-0.12252159,-0.65564305,0.07190479,0.21571437,-0.160967289,0.810077479,1.550445668,1.210596625,0.740999719,-2.091034873
EP03,1998,2002,30/6/1998,7/11/2002,13,98.957511,65.05081234,370.0785732,229.3610068,19.52694004,0.782056239,126.8684299,0.0324026,-0.030716196,-0.140832083,-0.577864359,0.04186468,0.12559404,-0.008257635,0.770003787,1.833364244,1.173372142,0.377475955,-2.784946968
EP03,2002,2006,7/11/2002,10/8/2006,14,98.14369993,63.24632148,378.5229934,228.5788565,19.98779156,0.859886579,246.7001832,0.009309886,0.27222787,0.307985065,0.987057299,-0.031463626,-0.094390877,0.275838593,0.875071364,1.069181293,1.424827258,1.799527188,-3.305633287
EP03,2006,2011,10/8/2006,15/9/2011,15,97.53034372,63.67613581,387.0831525,233.9269333,19.66835905,0.822397981,144.9190926,0.109047635,0.020464408,0.098513657,-0.324149592,0.13192746,0.395782379,0.031614633,0.818049488,2.290202008,1.383726756,1.727180343,-3.297828022
EP03,2011,2015,15/9/2011,23/8/2015,16,96.73667363,62.3505986,396.9066875,210.6121516,20.03970573,0.883027179,188.3787333,0.068610673,0.439252937,0.419632181,0.219840494,0.047542494,0.142627481,0.41431916,0.88643037,1.556572421,1.504276212,1.714428359,-2.901838442
EP04,1972,1974,10/8/1972,13/8/1974,1,106.3801667,63.83946498,329.3925006,238.8823874,24.06101944,1.078372086,332.2841458,0.140535154,-0.255260466,-0.194456738,0.952822561,0.188948347,0.56684504,-0.28301246,1.073647632,1.641954281,1.661910439,2.388837967,-3.118896235
EP04,1974,1976,13/8/1974,6/8/1976,2,112.2830329,64.96222558,332.2810408,207.1291209,24.00139587,1.051407552,256.6140963,0.085073135,-0.416342528,-0.462176515,0.184707074,0.046193275,0.138579824,-0.399804467,1.05602053,0.650966621,1.621889432,1.253642458,-3.136212805
EP04,1976,1978,6/8/1976,2/8/1978,3,106.4703698,61.5761382,333.7402889,214.0825081,23.86251548,1.141055915,283.5867153,-0.172693418,-0.513646905,0.11563404,0.435611181,-0.142015964,-0.426047893,-0.550634149,1.137604474,1.115852003,1.518481795,0.692420743,-2.436767768
EP04,1978,1980,2/8/1978,28/8/1980,4,106.2937105,63.67891387,337.3143857,206.1220001,23.89013928,1.083414485,289.1100327,-0.126242382,-0.370194057,-0.219808077,0.490185796,-0.166380926,-0.499142779,-0.371681606,1.087520468,0.552960336,1.592818451,1.197845597,-2.476522294
EP04,1980,1982,28/8/1980,24/8/1982,5,109.2283892,62.50301958,340.5902893,219.9856859,24.0685048,1.124803225,241.089791,-0.077729787,-0.206567701,0.061502957,0.030014463,-0.071871293,-0.21561388,-0.116061352,1.121071925,1.00273087,1.566670577,1.197845597,-2.710550584
EP04,1982,1984,24/8/1982,10/8/1984,6,105.9312289,62.33414546,342.8702368,170.0380576,24.0993555,1.142167395,240.974331,-0.115667194,-0.283382192,0.02575194,0.0076768,-0.134348114,-0.403044342,-0.344272662,1.145408552,1.180662245,1.588167286,0.755658014,-3.114732975
EP04,1984,1986,10/8/1984,28/8/1986,7,106.6882935,62.5904634,345.7051604,197.9267702,24.20328018,1.138772135,236.5451329,-0.18558732,0.001421621,0.091635634,-0.038585702,-0.184021331,-0.552063994,-0.075468783,1.136250016,1.01217887,1.469400247,0.100784012,-2.506216156
EP04,1986,1988,28/8/1986,28/8/1988,8,104.9803315,63.1108551,349.3235021,144.5410657,24.5613845,1.155146583,273.6203404,-0.148238049,0.438642512,0.080043086,0.340170586,-0.168897284,-0.506691852,0.46036113,1.158463065,1.138688932,1.628966173,0.982848115,-2.422569665
EP04,1988,1990,28/8/1988,22/1/1990,9,116.1147955,64.08425523,352.1704492,220.9762456,24.35348824,1.104725497,157.2343474,0.264867195,-0.127157094,-0.544249903,-0.850141774,0.267503042,0.802509125,-0.022556941,1.075149039,0.780367959,1.363287163,0.144976709,-2.449522865
EP04,1990,1998,22/1/1990,17/8/1998,10,104.2729096,63.30857247,359.4551934,184.4157145,24.12972373,1.111372478,264.5164007,-0.086601305,-0.148974959,-0.047178981,0.248103735,-0.080927246,-0.242781737,-0.171803337,1.115239404,1.370062811,1.542019939,2.604278333,-2.861994499
EP04,1998,2002,17/8/1998,20/10/2002,11,106.1041469,63.73932284,370.1299279,227.3868737,24.16913217,1.090232774,168.371383,0.094526492,-0.005943973,-0.109882203,-0.729485091,0.096617921,0.289853762,0.023669778,1.081542704,1.843249265,1.516918405,0.737052744,-2.832729386
EP04,2002,2006,20/10/2002,23/8/2006,12,102.8872014,62.36669776,378.4425588,214.2927692,24.51188768,1.168479898,320.3524993,-0.027213948,0.248063792,0.242448074,0.81186924,-0.052227026,-0.156681079,0.249297137,1.177307728,1.184236134,1.675685215,1.950001308,-2.587763177
EP04,2006,2012,23/8/2006,14/10/2012,13,106.2232295,62.79187494,388.1775936,247.7356245,24.19147059,1.119534594,189.1005222,0.255383723,-0.030446496,0.063058302,-0.509621834,0.275156362,0.825469086,-0.029210373,1.114799931,2.466565739,1.584623369,0.808778666,-3.022221132
EP04,2012,2016,14/10/2012,10/9/2016,14,104.7301403,62.17433701,399.61554,185.9375977,24.62203979,1.182902589,272.0950939,0.026313034,0.511896433,0.306341611,0.329866464,-0.006526219,-0.019578657,0.485404955,1.190334342,2.469556559,1.70494105,1.339360565,-2.585642985
EP09,1972,1974,19/3/1972,23/3/1974,1,102.5050276,61.18877548,328.8193643,207.8662624,21.97176986,1.017118853,431.9384333,0.216400036,-0.452194176,-0.327909801,1.529168992,0.209235472,0.627706416,-0.462629112,1.029660688,1.673946036,1.673558172,2.059225798,-3.585061402
EP09,1974,1976,23/3/1974,16/3/1976,2,106.4838003,62.40190688,331.7519152,167.0872233,21.91615562,0.989482075,322.4508757,0.077424002,-0.470593525,-0.56782631,0.278988869,0.128971357,0.386914072,-0.460333498,0.982449825,0.614673595,1.542872047,1.233510686,-2.609467489
EP09,1976,1978,16/3/1976,7/4/1978,3,103.0731243,58.60955865,333.0827663,183.6387676,21.78737015,1.079690889,257.0800861,-0.025588627,-0.5812138,-0.012009123,-0.479851608,-0.000166562,-0.000499685,-0.650273181,1.066579379,1.135876599,1.573859501,0.521945635,-2.303720739
EP09,1978,1980,7/4/1978,26/3/1980,4,99.95411124,60.11775303,336.5025243,173.636829,21.93673113,1.054351859,315.4487988,-0.054093167,-0.388837553,-0.18678511,0.178279471,-0.070613288,-0.211839864,-0.401265182,1.057256709,0.794601368,1.608857854,1.064659626,-2.946253284
EP09,1980,1982,26/3/1980,23/3/1982,5,104.1922129,60.18499136,340.2637671,163.1614361,22.21266488,1.070132961,337.3877022,-0.000987159,-0.017578637,-0.068847834,0.441629655,-0.007035342,-0.021106027,-0.003771415,1.070428247,0.861525566,1.611345005,1.065792417,-2.277329799
