plot,year_0,year_1,date_0,date_1,interval,nbdays,cyclone,tree_n,d_tree_n,dstem,ba,rec_n,rec_yr,Ur,rec_n_all,dead_n,mort_yr,WD_mn,dwd,totAGB,dAGB,AGB_rec,AGB_Urec,AGB_rec_all,AGB_rec_yr,AGB_Ugrow,growth,growth_yr,AGBgrowth,AGBgrowth_yr,AGB_mort,AGB_mort_R2,AGB_mort_yr,AGB_mort_yr_R2,totMort,totMort_R2,totMort_yr,totMort_yr_R2,netAGB_yr,dec,crt
EP02,1971,1973,25/7/1971,12/6/1973,1,688,0,475,-1,-1,29.37686992,14,15,0.2,28,1,1,0.703709802,0.000161155,238.3959738,10.38804591,1.105572218,6.26E-05,1.105634838,0.586564994,0.004176514,5.019387748,2.66290193,6.125022587,3.249466925,0.121534816,0.058266733,0.064477046,0.030911857,0.121597436,0.058329353,0.064510268,0.030945078,3.184956657,1970,95.33544702
EP02,1973,1975,12/6/1973,12/6/1975,2,730,0,483,8,4,30.33931495,19,19,0.2,38,11,11,0.703728954,1.92E-05,242.2244009,3.82842712,1.397549332,6.64E-05,1.397615752,0.698807876,0.069449209,6.15637218,3.07818609,7.553987932,3.776993966,3.7949436,3.040721457,1.8974718,1.520360728,3.79501002,3.040787877,1.89750501,1.520393938,1.879488956,1970,95.33544702
EP02,1975,1977,12/6/1975,25/7/1977,3,774,0,507,24,11,31.24920519,33,31,0.3,66,9,8,0.701630683,-0.002098271,248.1250009,5.900599976,2.499952976,0.00010556,2.500058536,1.178968173,0.043340129,8.024531375,3.784178232,10.52458991,4.963146405,4.667224503,3.983593337,2.200952124,1.878567917,4.667330063,3.983698897,2.201001903,1.878617697,2.762144501,1970,95.33544702
EP02,1977,1979,25/7/1977,16/6/1979,4,691,0,510,3,2,31.56902394,9,10,0.2,18,6,6,0.703110502,0.00147982,254.9874758,6.862474905,0.695645763,6.28E-05,0.695708523,0.367487136,0.009996839,7.183398617,3.794414609,7.879107139,4.161901745,1.026566314,0.657058511,0.542252828,0.347071428,1.026629074,0.657121271,0.54228598,0.347104579,3.619615766,1970,95.33544702
EP02,1979,1981,16/6/1979,16/6/1981,5,731,0,510,0,0,32.13699557,13,13,0.2,26,13,13,0.70131123,-0.001799272,248.2923629,-6.695112888,0.934775403,6.64E-05,0.934841823,0.466781485,0.060064931,5.255893268,2.624351632,6.190735091,3.091133117,12.94584649,11.97932526,6.464068357,5.981468837,12.94591291,11.97939168,6.464101522,5.981502002,-3.372968405,1980,43.4252107
EP02,1981,1983,16/6/1981,29/7/1983,6,773,0,511,1,0,31.73006695,6,6,0.3,12,5,5,0.702045595,0.000734364,248.5700859,0.277723062,0.478118283,0.00010537,0.478223653,0.225810651,0.039570166,7.09728809,3.351242112,7.575511743,3.577052763,7.337253477,6.976975694,3.464550478,3.294432249,7.337358847,6.977081064,3.464600232,3.294482003,0.112452532,1980,43.4252107
EP02,1983,1985,29/7/1983,6/8/1985,7,739,0,518,7,3,31.98752217,10,10,0.2,20,3,3,0.701843048,-0.000202547,256.6552991,8.085213107,0.731448429,6.71E-05,0.731515509,0.36130333,0.008526922,7.879090222,3.891566889,8.610605731,4.252870219,0.533852466,0.338246121,0.26367544,0.167063375,0.533919546,0.338313201,0.263708572,0.167096507,3.989161647,1980,43.4252107
EP02,1985,1987,6/8/1985,30/6/1987,8,693,0,520,2,1,32.56689555,7,7,0.2,14,5,5,0.701577299,-0.00026575,260.8507361,4.195437049,0.530693219,6.29E-05,0.530756139,0.279546884,0.015046811,5.485731499,2.889310241,6.016487638,3.168857125,1.83603448,1.471276091,0.967031147,0.774914536,1.8360974,1.471339011,0.967064287,0.774947675,2.201792838,1980,43.4252107
EP02,1987,1989,30/6/1987,3/7/1989,9,734,0,525,5,2,33.36934208,12,12,0.2,24,7,7,0.699309705,-0.002267593,265.3844973,4.533761191,0.80294927,6.65E-05,0.80301574,0.399319816,0.032288898,8.28137484,4.118122366,9.08439058,4.517442182,4.582851817,4.062428952,2.278938574,2.020145187,4.582918287,4.062495422,2.278971628,2.020178241,2.238470554,1980,43.4252107
EP02,1989,1991,3/7/1989,29/7/1991,10,756,0,532,7,3,33.38987609,11,11,0.3,22,4,4,0.699093734,-0.000215971,267.0169151,1.632417829,0.798142925,0.00010258,0.798245505,0.385396308,0.022486908,4.230206308,2.042361511,5.028451812,2.427757819,3.418418311,3.138865355,1.65042683,1.515457479,3.418520891,3.138967935,1.650476356,1.515507005,0.777281463,1990,52.07439961
EP02,1991,1995,29/7/1991,16/9/1995,11,1510,0,515,-17,-4,34.17469201,3,1,0.5,6,20,10,0.701126926,0.002033191,269.5544188,2.537503706,0.230154182,0.0003422,0.230496382,0.055716013,0.049842595,10.09091261,2.439194107,10.32140899,2.49491012,7.833405679,6.564260049,1.893505346,1.586725111,7.833747879,6.564602249,1.893588064,1.586807828,0.601322057,1990,52.07439961
EP02,1995,1998,16/9/1995,7/7/1998,12,1025,0,517,2,1,34.76918886,27,19,0.4,54,25,18,0.702890237,0.001763311,273.0727909,3.518372053,2.14541341,0.00018606,2.14559947,0.764042738,0.119743587,11.2102663,3.991948489,13.35586577,4.755991227,9.957051248,8.306519734,3.545681664,2.957931417,9.957237308,8.306705794,3.545747919,2.957997673,1.210243307,1990,52.07439961
EP02,1998,2002,7/7/1998,23/7/2002,13,1477,0,511,-6,-1,35.43353352,19,9,0.5,38,24,12,0.70393776,0.001047523,280.1586518,7.085860942,1.420252787,0.00033602,1.420588807,0.351059522,0.180076618,17.55369953,4.337914915,18.97428834,4.688974437,12.01283615,10.456486,2.968642649,2.584033439,12.01317217,10.45682202,2.968725687,2.584116477,1.72024875,2000,26.76964677
EP02,2002,2006,23/7/2002,9/8/2006,14,1478,1,484,-27,-7,35.75092513,30,15,0.5,60,58,29,0.705790024,0.001852264,267.2522696,-12.90638221,2.348059986,0.00033664,2.348396626,0.579949099,0.599833338,9.827467345,2.426945589,12.17586397,3.006894688,25.73707473,21.81377513,6.35590817,5.387028364,25.73741137,21.81411177,6.355991305,5.387111499,-3.349096617,2000,26.76964677
EP02,2006,2011,9/8/2006,30/8/2011,15,1847,1,502,18,4,34.74899571,55,22,0.6,111,37,15,0.703835487,-0.001954537,264.0185818,-3.233687846,4.529022197,0.0005049,4.529527097,0.895114992,0.453293359,10.30135597,2.035730876,14.83088307,2.930845868,18.51735937,16.03656869,3.659359053,3.169110759,18.51786427,16.03707359,3.65945883,3.169210537,-0.728612962,2010,44.26078987
EP02,2011,2015,30/8/2011,24/10/2015,16,1516,0,509,7,2,34.12135048,23,11,0.5,46,15,7,0.702845804,-0.000989683,271.2590561,7.240474358,1.698187792,0.00034524,1.698533032,0.408947597,0.144896072,13.24900348,3.189898596,14.94753652,3.598846193,7.705411668,6.699348247,1.855194762,1.61296973,7.705756908,6.699693487,1.855277884,1.613052851,1.743568309,2010,44.26078987
EP03,1971,1973,25/10/1971,19/9/1973,1,695,0,504,-6,-3,64.32475076,8,8,0.1,16,6,6,0.65090562,9.12E-05,605.6738796,9.406555399,0.581069848,2.93E-05,0.581099108,0.305181546,0.026019813,9.191280789,4.827075522,9.772379898,5.132257068,2.31102501,1.921628629,1.213703782,1.009200647,2.31105427,1.921657889,1.213719149,1.009216014,3.918537919,1970,273.2531523
EP03,1973,1975,19/9/1973,16/9/1975,2,727,0,505,1,1,64.83551461,7,7,0.1,14,6,6,0.651433585,0.000527965,612.439214,6.765334382,0.50509193,3.07E-05,0.50512258,0.253603496,-0.022523977,7.9965658,4.014782004,8.50168838,4.2683855,1.713799371,1.305079485,0.860435723,0.655232479,1.713830021,1.305110135,0.860451111,0.655247867,3.407934389,1970,273.2531523
EP03,1975,1977,16/9/1975,11/10/1977,3,756,0,501,-4,-2,65.46326808,3,3,0.1,6,7,7,0.652602453,0.001168869,618.4431176,6.003903643,0.26313681,3.19E-05,0.26316867,0.127058948,0.03577258,8.40852802,4.05967292,8.67169669,4.186731868,2.703533767,2.30450086,1.305277546,1.11262277,2.703565627,2.30453272,1.305292929,1.112638152,2.881438939,1970,273.2531523
EP03,1977,1979,11/10/1977,19/9/1979,4,708,0,501,0,0,66.22886753,2,2,0.1,4,2,2,0.653297453,0.000695,629.8300841,11.38696641,0.16250175,2.99E-05,0.16253166,0.083791039,0.064458004,12.58838787,6.489776231,12.75091953,6.57356727,1.428381212,1.308504845,0.73638297,0.6745823,1.428411122,1.308534755,0.736398389,0.67459772,5.837168881,1970,273.2531523
EP03,1979,1981,19/9/1979,1/9/1981,5,713,0,503,2,1,67.00796,7,7,0.1,14,5,5,0.654151182,0.000853729,629.9656954,0.135611348,0.467066689,3.01E-05,0.467096829,0.23911689,0.130693697,8.624693742,4.415165801,9.091790572,4.654282691,9.08684278,8.798621514,4.65174981,4.504203159,9.08687292,8.798651654,4.651765239,4.504218589,0.002517452,1980,128.5131865
EP03,1981,1983,1/9/1981,12/9/1983,6,741,0,500,-3,-1,66.90024402,1,1,0.1,2,4,4,0.654630047,0.000478865,636.971495,7.005799568,0.063873519,3.14E-05,0.063904879,0.031478112,-0.052739687,10.2782085,5.062815253,10.34211338,5.094293365,3.283542765,3.045757698,1.617399608,1.500272011,3.283574125,3.045789058,1.617415055,1.500287458,3.47687831,1980,128.5131865
EP03,1983,1985,12/9/1983,12/9/1985,7,731,0,497,-3,-1,67.14188775,0,0,0.1,0,3,3,0.655149987,0.00051994,640.3813224,3.409827437,0,3.10E-05,3.10E-05,1.55E-05,0.001695352,7.618157803,3.803868123,7.618188763,3.803883582,4.210025718,4.037880026,2.102133224,2.016178125,4.210056678,4.037910986,2.102148683,2.016193584,1.701734899,1980,128.5131865
EP03,1985,1987,12/9/1985,11/10/1987,8,759,0,495,-2,-1,67.12407739,3,3,0.1,6,5,5,0.655989663,0.000839676,643.1711855,2.789863056,0.223020725,3.22E-05,0.223052915,0.107265236,0.010190331,5.735804734,2.75832507,5.958857649,2.865590305,3.179152734,2.871641599,1.528841565,1.380960716,3.179184924,2.871673789,1.528857045,1.380976196,1.33673326,1980,128.5131865
