variable,importancia,nombre_corto,es_objetivo
EarthEnvTopoMed_AspectSine,0.0005689259572340378,Aspect,0
CrowtherLab_Soil_CNratio_000_to_200_cm,0.007462361743450285,Soil_CNratio,0
EarthEnvTopoMed_Slope,0.00995872335176988,Slope,0
SG_Soil_pH_H2O_005cm,0.01687674917917738,Soil_pH,0
patchSize_log,0.02043222090886394,PatchSize_log,1
CHELSA_BIO_Annual_Precipitation,0.02536523192357136,Precipitation,0
CHELSA_BIO_Annual_Mean_Temperature,0.04266747943663881,MAT,0
