wavelength,flux,ivar
3336.0393,0.484,0.241
3336.0721,1.0624,1.1189
3336.1049,0.0609,0.0037
3336.1377,0.7787,0.5989
3336.1705,0.8614,0.7594
3336.2033,1.3315,1.7883
3336.2361,1.8269,3.2718
3336.3345,1.5018,2.3272
3336.3673,1.1561,1.3183
3336.4002,1.2307,1.532
3336.4658,1.5151,2.3469
3336.4986,1.0721,1.1348
3336.5642,0.0854,0.0077
3336.597,0.4138,0.1771
3336.6298,0.9962,1.0584
3336.6626,1.1446,1.4237
3336.6954,1.4813,2.3648
3336.7282,2.1092,4.7999
3336.761,1.4089,2.1187
3336.7938,1.9064,3.9631
3336.8266,0.8458,0.833
3336.8594,1.4672,2.3485
3336.8922,1.1768,1.4753
3336.925,0.7647,0.6861
3336.9578,0.2875,0.094
3336.9906,0.8822,0.8589
3337.0234,0.9601,1.0777
3337.0562,1.2835,1.9145
3337.0891,1.4167,2.2821
3337.1219,1.0887,1.3421
3337.1547,0.4331,0.2151
3337.2203,0.4324,0.2106
3337.2531,0.3036,0.1114
3337.2859,1.8004,3.6791
3337.3187,0.4265,0.2142
3337.3515,0.5561,0.3666
3337.3843,1.6543,3.0443
3337.4171,0.6205,0.4767
3337.4499,0.3112,0.1202
3337.4827,0.463,0.2519
3337.5155,0.9076,1.0033
3337.5483,0.4568,0.2596
3337.5811,0.6065,0.4475
3337.6139,0.8233,0.828
3337.6795,1.2737,1.9496
3337.778,1.9306,4.5736
3337.8108,1.554,3.0956
3337.8764,0.438,0.2547
3337.9092,0.8664,0.9569
3337.942,0.5012,0.3431
3337.9748,0.3056,0.1276
3338.0076,0.1939,0.0483
3338.0404,0.9825,1.2414
3338.0732,0.1592,0.0355
3338.1388,0.823,0.8721
3338.1716,0.9433,1.2213
3338.2044,2.1695,6.0571
3338.2372,0.2396,0.0846
3338.27,0.9425,1.2111
3338.3028,1.1482,1.7617
3338.3356,0.1885,0.0497
3338.3684,0.8426,0.9857
3338.4013,0.6075,0.51
3338.4341,0.1972,0.0537
3338.4669,1.4511,2.9757
3338.4997,0.8259,1.0023
3338.5325,0.2274,0.0754
3338.5653,1.4342,2.9032
3338.6309,0.1724,0.0448
3338.6637,0.7929,0.9142
