metodo,n,exito,pct
meta_success,225,180,80.0
telescopes,248,185,74.6
bma_result,225,148,65.8
wthn_pi,225,125,55.6
analyst,256,140,54.7
bayes_rep,225,122,54.2
skep_p,197,106,53.8
correspondence,153,79,51.6
sum_p,206,95,46.1
rep_wthn,249,103,41.4
bf_result,240,97,40.4
orig_wthn,249,86,34.5
