field,n,n_rep,med_orig_r,med_repli_r,pct
public administration,1,1,0.12148841647535491,0.10904020981573796,100.0
education,28,20,0.07360768932327873,0.1499192911956196,71.4
political science,47,30,0.1727628356589221,0.16220547749123693,63.8
criminology,5,3,0.13205274756498617,0.07329206069279483,60.0
health,7,4,0.0750191269788328,0.0882133934339823,57.1
psychology,79,43,0.2747367594498673,0.156996487347232,54.4
management,6,3,0.2033517582417857,0.08448562867224597,50.0
economics,33,16,0.4905936041533279,0.22619533909935594,48.5
marketing/org behavior,28,13,0.244695807860552,0.09630721149374873,46.4
sociology,28,12,0.11523209765696246,0.039879929754350535,42.9
