solar_intensidad_kwm2,rendimiento_diario_ml,tipo_modulo
0.812,646.5,single
0.689,455.2,single
0.698,500.1,single
0.775,535.8,single
0.789,596.6,single
0.683,556.9,single
0.414,310.0,single
0.864,610.0,single
0.768,666.0,single
0.768,632.0,single
0.768,1298.0,dual
