concentracion,media,sem,grupo,experimento
0.25,0.015,0.015,Swine_3,Hemolysis
0.5,0.272,0.032,Swine_3,Hemolysis
1.0,0.117,0.069,Swine_3,Hemolysis
2.0,0.015,0.015,Swine_3,Hemolysis
4.0,0.0,0.0,Swine_3,Hemolysis
8.0,0.0,0.0,Swine_3,Hemolysis
16.0,0.0,0.0,Swine_3,Hemolysis
32.0,0.0,0.0,Swine_3,Hemolysis
64.0,0.015,0.015,Swine_3,Hemolysis
128.0,0.208,0.032,Swine_3,Hemolysis
0.25,1.073,0.823,Positive_control,Hemolysis
0.5,0.11,0.11,Positive_control,Hemolysis
1.0,0.0,0.0,Positive_control,Hemolysis
2.0,80.267,8.779,Positive_control,Hemolysis
4.0,78.113,3.736,Positive_control,Hemolysis
8.0,81.705,1.375,Positive_control,Hemolysis
16.0,81.77,9.482,Positive_control,Hemolysis
32.0,99.255,1.665,Positive_control,Hemolysis
64.0,104.745,3.625,Positive_control,Hemolysis
128.0,92.49,13.92,Positive_control,Hemolysis
0.25,2.495,1.978,Swine_2,Hemolysis
0.5,4.023,2.411,Swine_2,Hemolysis
1.0,4.066,0.649,Swine_2,Hemolysis
2.0,9.968,9.153,Swine_2,Hemolysis
4.0,6.012,4.51,Swine_2,Hemolysis
8.0,10.335,8.259,Swine_2,Hemolysis
16.0,3.547,1.994,Swine_2,Hemolysis
32.0,0.532,0.097,Swine_2,Hemolysis
64.0,6.53,3.57,Swine_2,Hemolysis
128.0,4.455,3.26,Swine_2,Hemolysis
0.25,0.759,0.075,Swine_7,Hemolysis
0.5,0.997,0.078,Swine_7,Hemolysis
1.0,1.634,0.162,Swine_7,Hemolysis
2.0,2.229,0.173,Swine_7,Hemolysis
4.0,1.796,0.262,Swine_7,Hemolysis
8.0,2.477,0.162,Swine_7,Hemolysis
16.0,1.407,0.531,Swine_7,Hemolysis
32.0,2.575,0.625,Swine_7,Hemolysis
64.0,5.623,1.207,Swine_7,Hemolysis
128.0,4.909,0.693,Swine_7,Hemolysis
0.25,120.279,0.096,Swine_3,Cytotoxicity
0.5,114.165,0.818,Swine_3,Cytotoxicity
1.0,111.805,0.193,Swine_3,Cytotoxicity
2.0,107.761,0.674,Swine_3,Cytotoxicity
4.0,100.924,0.494,Swine_3,Cytotoxicity
8.0,94.569,0.255,Swine_3,Cytotoxicity
16.0,79.547,1.116,Swine_3,Cytotoxicity
32.0,56.02,0.28,Swine_3,Cytotoxicity
64.0,12.287,0.048,Swine_3,Cytotoxicity
128.0,0.0,0.0,Swine_3,Cytotoxicity
0.25,117.102,2.215,Swine_2,Cytotoxicity
0.5,107.761,1.55,Swine_2,Cytotoxicity
1.0,104.263,0.498,Swine_2,Cytotoxicity
2.0,97.458,0.674,Swine_2,Cytotoxicity
4.0,97.265,1.348,Swine_2,Cytotoxicity
8.0,92.9,0.463,Swine_2,Cytotoxicity
16.0,88.599,0.77,Swine_2,Cytotoxicity
32.0,79.612,1.42,Swine_2,Cytotoxicity
64.0,70.175,0.864,Swine_2,Cytotoxicity
128.0,59.615,1.493,Swine_2,Cytotoxicity
0.5,104.808,2.143,Swine_7,Cytotoxicity
1.0,98.1,0.501,Swine_7,Cytotoxicity
2.0,90.268,0.473,Swine_7,Cytotoxicity
4.0,87.989,0.976,Swine_7,Cytotoxicity
8.0,82.95,1.104,Swine_7,Cytotoxicity
16.0,80.799,0.334,Swine_7,Cytotoxicity
32.0,77.429,0.385,Swine_7,Cytotoxicity
64.0,33.038,6.601,Swine_7,Cytotoxicity
128.0,0.78,0.096,Swine_7,Cytotoxicity
0.25,68.055,1.355,Positive_control,Cytotoxicity
0.5,45.56,2.54,Positive_control,Cytotoxicity
1.0,6.0,0.0,Positive_control,Cytotoxicity
2.0,5.24,0.67,Positive_control,Cytotoxicity
4.0,5.54,0.11,Positive_control,Cytotoxicity
8.0,6.385,0.115,Positive_control,Cytotoxicity
16.0,6.3,0.23,Positive_control,Cytotoxicity
32.0,8.12,,Positive_control,Cytotoxicity
64.0,5.775,0.455,Positive_control,Cytotoxicity
128.0,4.97,0.79,Positive_control,Cytotoxicity
