year,n_eventos,mean_diam_mm,median_diam_mm
1966,137,16.16,10.0
1967,178,17.46,12.0
1968,116,19.67,15.0
1969,121,17.1,11.0
1970,141,16.35,12.0
1971,153,16.62,14.0
1972,191,18.85,13.0
1973,231,15.35,12.0
1974,172,17.88,12.0
1975,167,16.36,13.0
1976,185,16.34,12.0
1977,197,17.95,13.0
1978,213,16.69,11.0
1979,202,17.33,12.0
1986,675,10.97,8.0
1987,692,12.22,8.0
1988,643,10.86,8.0
1989,628,9.97,8.0
1990,705,10.59,8.0
1991,663,11.03,8.0
1992,707,10.36,7.0
1993,639,10.57,8.0
1994,577,9.84,7.0
1995,588,10.47,8.0
1996,588,8.72,6.5
1997,568,8.7,7.0
1998,620,10.43,7.0
1999,525,8.31,6.0
