year,month,lat,lon,mucape_jkg,shr6_ms,tcw_kgm2,hmelt_m,flh_m
2014,5,7.75,1.0,2116,13.38,48.8,4667,5078
2014,5,9.25,80.75,1555,2.35,53.8,5094,5136
2014,5,10.25,347.0,2029,6.09,50.07,4301,4699
2014,5,8.0,285.5,2472,2.78,56.98,4430,4937
2014,5,-3.75,23.25,2569,4.76,46.22,4322,4861
2014,5,10.0,29.5,1865,7.96,47.34,4361,4763
2014,5,13.25,6.5,2176,17.51,44.47,4507,4852
2014,5,12.5,0.25,2463,19.98,44.95,4600,4890
2014,5,12.5,1.0,2705,20.76,45.31,4556,4834
2014,5,13.0,107.75,1508,4.86,52.4,4897,5116
2014,5,13.25,108.75,1281,2.72,50.13,4842,5258
2014,5,20.5,284.5,2344,6.26,46.19,4185,4429
2014,6,22.5,83.0,3004,5.37,50.75,4630,5087
2014,6,22.75,83.25,3018,4.99,48.12,4380,5009
2014,6,23.0,84.0,4333,4.05,47.16,4360,5139
2014,6,6.75,30.25,2370,8.67,47.89,4469,4897
2014,6,9.0,15.75,1855,10.92,59.14,4495,4906
2014,6,2.25,15.25,2792,6.33,50.83,4515,4990
2014,6,15.5,120.5,2484,4.06,57.67,4891,5072
2014,6,15.75,269.75,1564,16.17,51.84,4525,5159
2014,6,4.75,24.0,1812,9.48,47.4,4327,4892
2014,6,1.0,24.25,2165,6.73,46.56,4357,4785
2014,6,16.75,82.0,3672,6.3,60.73,5402,5429
2014,6,34.75,262.0,3702,14.3,49.3,4212,4587
2014,6,34.75,263.75,3311,18.47,43.73,4320,4550
2014,6,2.0,114.5,1270,2.5,55.49,4418,5127
2014,6,30.5,274.5,3744,9.03,44.73,4430,4560
2014,6,30.5,262.5,3530,12.67,61.58,4253,4445
2014,6,7.25,285.0,3108,11.11,45.63,4227,4919
2014,6,42.0,273.75,3029,18.22,46.64,4234,4458
2014,6,11.0,346.25,1512,10.89,55.61,4750,5011
2014,6,40.0,260.5,5722,12.02,31.53,3970,4620
2014,6,38.75,261.0,4108,9.76,34.9,3928,4520
2014,6,8.5,278.0,2035,3.1,49.47,4284,4928
2014,6,26.25,106.25,2284,8.18,50.16,4220,5528
2014,6,34.75,282.25,1557,7.65,48.36,4327,4448
2014,6,19.25,290.5,2099,9.87,55.37,4627,4765
2014,6,11.25,350.0,2534,12.54,45.9,4292,4701
2014,6,22.5,83.5,2194,4.04,63.47,5053,5528
2014,6,26.0,278.0,1533,7.82,47.88,4055,4223
2014,6,2.75,99.25,2788,0.7,46.05,4486,4972
2014,6,7.75,4.5,1121,6.64,53.25,4505,4816
2014,6,17.75,266.75,2187,5.19,48.73,4912,4997
2014,6,25.0,83.5,1289,2.84,54.41,5416,5601
2014,6,13.5,355.25,2495,11.86,42.72,4407,4683
2014,6,25.75,279.75,1715,5.32,56.55,4631,4757
2014,7,6.75,6.75,1214,5.38,55.53,4821,4915
2014,7,5.5,8.5,1127,6.9,52.16,4734,4959
2014,7,34.0,261.5,3331,12.03,43.9,4334,4638
2014,7,31.25,76.25,703,3.28,64.48,4822,5192
2014,7,10.75,107.5,1558,7.09,59.54,4980,5083
2014,7,5.0,282.5,1637,3.62,63.59,4711,4791
2014,7,33.25,74.25,2496,7.52,50.99,4454,5300
2014,7,26.0,251.5,2541,2.87,59.34,4864,5000
2014,7,8.0,24.25,3164,9.51,42.97,4022,4822
2014,7,3.25,25.75,3321,11.06,37.93,4343,4967
2014,7,31.0,278.5,1501,1.2,50.97,4628,4734
2014,7,20.75,271.0,1206,4.52,50.91,4586,4727
2014,7,25.0,91.75,517,2.69,70.28,5401,5518
2014,7,16.0,79.5,1818,6.27,60.1,4999,5157
2014,7,21.0,110.25,2552,1.53,65.46,5246,5268
2014,7,20.5,110.25,2710,1.77,64.23,5213,5275
2014,7,18.75,110.0,1977,0.84,58.5,5059,5331
2014,7,23.25,85.25,2598,4.26,53.73,5162,5790
2014,7,26.75,279.25,3796,6.84,50.97,4375,4548
2014,7,29.75,270.0,1693,2.57,49.54,4312,4478
2014,7,20.25,284.0,2508,2.5,45.47,4312,4537
2014,7,12.0,353.0,3253,13.43,53.76,4324,4674
2014,7,9.25,14.25,5137,12.21,55.34,4660,4997
2014,7,9.5,359.75,1605,14.82,58.77,4798,4996
2014,7,38.75,116.75,2172,12.35,54.44,4101,4137
2014,7,14.5,347.25,760,16.06,55.16,4764,4888
2014,7,14.5,350.25,2042,16.37,48.76,4465,4745
2014,7,46.0,127.25,1593,13.84,51.61,4482,4623
2014,7,5.75,283.25,1028,5.93,59.25,4933,5036
2014,7,46.0,259.5,4158,19.13,39.85,4219,4772
2014,7,15.25,7.25,2842,12.75,55.26,4473,4936
2014,7,47.0,268.75,3216,14.6,53.28,4356,4573
2014,7,13.75,34.75,2435,7.96,50.54,4496,4974
2014,7,28.75,73.25,3270,13.58,62.2,5587,5763
2014,7,15.5,1.0,1979,7.69,45.86,4690,4976
2014,8,17.75,4.5,2825,14.22,50.46,4720,5059
2014,8,20.25,270.0,2479,3.08,50.84,4637,4754
2014,8,41.25,36.75,1840,3.4,46.48,4017,4089
2014,8,17.25,356.5,3587,24.46,39.48,4508,4785
2014,8,6.25,283.0,2057,11.74,55.04,4649,4868
2014,8,11.0,13.25,1619,11.55,49.04,4323,4720
2014,8,-4.25,295.25,1881,7.23,54.4,4531,4627
2014,8,14.75,352.0,2759,9.38,50.82,4586,4860
2014,8,17.0,260.75,2050,8.67,50.7,4312,4845
2014,8,32.75,267.0,2130,8.33,48.3,4603,4725
2014,8,16.5,344.5,2387,15.19,55.13,4515,4628
2014,8,34.5,264.75,2692,3.75,48.22,4482,4758
2014,8,16.75,1.5,3221,15.84,44.82,4550,4899
2014,8,17.5,269.75,1544,3.79,55.25,4712,4876
2014,8,29.5,250.75,3508,5.11,44.51,4266,5155
2014,8,7.5,286.0,1352,6.52,52.7,4493,4750
2014,8,12.5,104.0,1748,3.05,50.17,5015,5057
2014,8,28.25,80.0,2540,2.39,63.99,5538,5690
2014,8,28.0,277.75,1432,4.8,55.43,4631,4765
2014,8,8.75,81.0,1700,7.06,58.68,4867,4933
2014,8,12.0,34.25,2108,17.47,46.25,4338,4805
2014,8,1.25,296.25,1761,12.1,49.78,4427,4723
2014,8,21.75,281.75,3204,6.93,50.4,4443,4580
2014,8,-3.25,301.25,1763,16.24,46.0,4289,4408
2014,8,13.75,21.5,3050,17.29,47.53,3988,4701
2014,8,-1.0,20.5,2821,0.53,47.16,4346,4705
2014,8,-5.5,22.0,2118,3.27,45.65,4266,4805
2014,8,-3.25,23.5,3557,4.23,46.76,4215,4724
2014,8,18.75,8.5,3007,5.68,49.75,4060,4927
2014,8,9.5,295.0,2080,5.01,50.9,4612,4714
2014,8,43.75,265.75,2948,10.41,44.01,4154,4485
2014,8,10.75,106.75,2026,4.66,54.15,4898,4971
2014,8,26.75,68.5,2744,6.3,51.41,5000,5043
2014,8,20.25,284.75,2552,9.1,42.27,4282,4553
2014,8,21.25,261.75,2035,4.73,49.64,4660,4792
2014,8,31.0,266.25,2894,6.02,48.95,4679,4793
2014,8,35.25,268.25,2348,9.03,43.52,4689,4798
2014,8,2.25,18.5,2748,4.23,48.85,4224,4572
2014,8,41.25,39.5,1044,21.42,54.77,4493,4588
2014,8,9.25,358.75,2732,13.05,54.72,4389,4509
2014,8,10.75,358.0,3157,14.29,49.53,4154,4458
2014,8,11.25,359.25,3414,11.75,51.28,4210,4466
2014,8,12.75,0.75,4206,8.95,49.29,4253,4530
2014,8,8.75,287.25,1293,2.53,53.07,4677,4765
2014,8,19.25,269.25,3478,5.95,50.81,4767,4858
2014,8,19.75,270.5,1560,3.33,45.2,4592,4710
2014,8,20.75,269.5,3532,6.28,49.19,4747,4849
2014,8,21.25,270.75,2936,3.07,50.26,4659,4768
2014,8,31.75,274.5,3030,10.8,44.93,4584,4713
2014,8,7.75,123.0,1568,9.9,56.2,4574,4764
2014,8,9.75,120.75,1378,5.49,62.4,4871,4964
2014,8,22.0,279.25,2772,3.27,48.09,4445,4588
2014,8,24.0,116.5,1784,5.42,52.89,4715,5083
2014,8,30.75,268.0,3161,1.67,56.43,4636,4799
2014,8,30.25,269.25,2159,2.59,53.02,4598,4765
2014,8,31.75,269.5,1942,3.03,51.31,4597,4758
2014,8,12.5,2.25,2072,12.66,50.57,4256,4506
2014,8,26.75,84.75,3359,6.04,58.28,5315,5404
2014,8,21.0,271.75,2379,4.75,47.88,4599,4719
2014,8,40.0,260.5,3106,14.29,44.16,4101,4752
