bin_min_mm,bin_max_mm,obs_eventos,sim_eventos
0,5,0,3
5,10,36,20
10,15,8,91
15,20,569,156
20,25,594,221
25,30,2559,263
30,35,672,330
35,40,638,349
40,45,2238,401
45,50,3,446
50,55,727,440
55,60,43,381
60,65,459,357
65,70,576,258
70,75,3,160
75,80,263,94
80,85,29,71
85,90,37,34
90,95,0,14
95,100,8,14
