grupo,nueva_edad_ma,anterior_edad_ma,justificacion_nueva,justificacion_anterior
Coccolithophores,241.07,215.0,Age estimate for sample 1 (Supplementary Data 1).,References 5 (Ogg et al. 2020); 7 (Galbrun et al. 2020); 8 (Demangel et al. 2020).
Archaeozygodiscus koessenensis,239.51,215,Age estimate for sample 6 (Supplementary Data 1).,References 5 (Ogg et al. 2020); 7 (Galbrun et al. 2020); 8 (Demangel et al. 2020).
Crucirhabdus minutus,240.07,215,Age estimate for sample 3 (Supplementary Data 1).,References 5 (Ogg et al. 2020); 7 (Galbrun et al. 2020); 8 (Demangel et al. 2020).
Crucirhabdus primulus,241.07,205,Age estimate for sample 1 (Supplementary Data 1).,References 5 (Ogg et al. 2020); 7 (Galbrun et al. 2020); 8 (Demangel et al. 2020).
Calcareous dinoflagellates,,230,N/A,References 5 (Ogg et al. 2020); 9 (Janofske 1992); 10 (Jafar 1983).
Stony corals,,242,N/A,Reference 11 (Payne et al. 2004).
Calcareous sponges,,242,N/A,Reference 11 (Payne et al. 2004).
Dasyclad algae,,242,N/A,Reference 11 (Payne et al. 2004).
