training,condition,memory_index
spaced,fed,40.0
spaced,starved,-7.0
massed,fed,43.0
massed,starved,43.0
spaced,fed,46.0
spaced,starved,31.0
massed,fed,39.0
massed,starved,9.0
spaced,fed,44.0
spaced,starved,9.0
massed,fed,26.0
massed,starved,36.0
spaced,fed,27.0
spaced,starved,33.0
massed,fed,9.0
massed,starved,23.0
spaced,fed,48.0
spaced,starved,-7.0
massed,fed,45.0
massed,starved,-9.0
spaced,fed,70.0
spaced,starved,20.0
massed,fed,40.0
massed,starved,39.0
spaced,fed,66.0
spaced,starved,46.0
massed,fed,30.0
massed,starved,19.0
spaced,fed,38.0
spaced,starved,-8.0
massed,fed,32.0
massed,starved,39.0
spaced,fed,42.0
spaced,starved,39.0
massed,fed,-8.0
massed,starved,10.0
spaced,fed,22.0
spaced,starved,11.0
massed,fed,3.0
massed,starved,35.0
spaced,fed,9.0
spaced,starved,24.0
massed,fed,34.0
massed,starved,28.0
spaced,fed,41.0
spaced,starved,25.0
massed,fed,8.0
massed,starved,37.0
