genotype,sucrose_preference
Gr43a > empty,1.0
Gr43a > RNAi,0.825503356
empty > RNAi,0.951807229
Gr43a > empty,0.833729216
Gr43a > RNAi,0.111111111
empty > RNAi,1.0
Gr43a > empty,0.764119601
Gr43a > RNAi,-0.454545455
empty > RNAi,1.0
Gr43a > empty,0.0
Gr43a > RNAi,-0.567765568
empty > RNAi,-1.0
Gr43a > empty,0.549132948
Gr43a > RNAi,0.958333333
empty > RNAi,0.25
Gr43a > empty,0.425867508
Gr43a > RNAi,0.984496124
empty > RNAi,0.923423423
Gr43a > empty,1.0
Gr43a > RNAi,0.869174162
empty > RNAi,-0.097222222
Gr43a > empty,1.0
Gr43a > RNAi,-1.0
empty > RNAi,1.0
Gr43a > empty,0.642857143
Gr43a > RNAi,0.370967742
empty > RNAi,-0.090909091
Gr43a > empty,0.745762712
Gr43a > RNAi,-1.0
empty > RNAi,0.652392947
Gr43a > empty,0.450666667
Gr43a > RNAi,0.909090909
empty > RNAi,1.0
Gr43a > empty,0.577011494
Gr43a > RNAi,0.754491018
empty > RNAi,0.764705882
Gr43a > empty,0.601593625
Gr43a > RNAi,1.0
empty > RNAi,0.326984127
Gr43a > empty,0.459459459
Gr43a > RNAi,0.263157895
empty > RNAi,1.0
Gr43a > empty,0.775438596
Gr43a > RNAi,-0.666666667
empty > RNAi,0.710743802
Gr43a > empty,-0.069943289
Gr43a > RNAi,-1.0
empty > RNAi,1.0
Gr43a > empty,0.74691358
Gr43a > RNAi,-1.0
empty > RNAi,-1.0
Gr43a > empty,0.730434783
Gr43a > RNAi,0.224489796
empty > RNAi,0.927565392
Gr43a > empty,0.449781659
Gr43a > RNAi,-0.226415094
empty > RNAi,0.671428571
Gr43a > empty,0.040723982
Gr43a > RNAi,0.295532646
empty > RNAi,0.782857143
Gr43a > empty,0.644859813
Gr43a > RNAi,-0.714285714
empty > RNAi,0.925925926
Gr43a > empty,0.727731092
Gr43a > RNAi,1.0
empty > RNAi,0.666666667
Gr43a > empty,0.773512476
Gr43a > RNAi,0.652173913
empty > RNAi,0.956043956
Gr43a > empty,0.692913386
Gr43a > RNAi,0.38
empty > RNAi,1.0
Gr43a > empty,0.485714286
Gr43a > RNAi,0.902097902
empty > RNAi,0.446428571
Gr43a > empty,0.702970297
Gr43a > RNAi,0.423728814
empty > RNAi,0.115384615
Gr43a > empty,0.098039216
Gr43a > RNAi,0.23255814
empty > RNAi,1.0
Gr43a > empty,1.0
Gr43a > RNAi,0.563636364
empty > RNAi,0.756756757
Gr43a > empty,0.63141994
Gr43a > RNAi,0.037037037
empty > RNAi,1.0
Gr43a > empty,0.683908046
Gr43a > RNAi,-0.888111888
empty > RNAi,-1.0
Gr43a > empty,0.654822335
Gr43a > RNAi,-0.143695015
empty > RNAi,0.788018433
Gr43a > RNAi,-0.9
empty > RNAi,0.442622951
Gr43a > RNAi,0.623931624
Gr43a > RNAi,0.0
Gr43a > RNAi,0.366666667
Gr43a > RNAi,-1.0
Gr43a > RNAi,0.841269841
