protein,specimen,length,coded_aa,coverage_pct
AHSG,SJD10M,368,20,5.4
AHSG,SJD14M,368,9,2.4
AMBN,HX-S1,447,58,13.0
AMBN,HX-S2,447,54,12.1
AMBN,SJD10A,447,120,26.8
AMBN,SJD10M,447,136,30.4
AMBN,SJD14M,447,131,29.3
AMBN,ZKD,447,107,23.9
AMELX,HX-S1,205,105,51.2
AMELX,HX-S2,205,110,53.7
AMELX,SJD10A,205,153,74.6
AMELX,SJD10M,205,153,74.6
AMELX,SJD14M,205,150,73.2
AMELX,ZKD,205,133,64.9
AMELY,HX-S1,206,56,27.2
AMELY,HX-S2,206,71,34.5
AMELY,SJD10M,206,91,44.2
AMELY,SJD14M,206,95,46.1
AMELY,ZKD,206,110,53.4
AMTN,SJD10M,209,38,18.2
AMTN,SJD14M,209,30,14.4
COL17A1,SJD10A,1497,19,1.3
COL17A1,SJD10M,1497,17,1.1
COL17A1,SJD14M,1497,19,1.3
COL17A1,ZKD,1497,10,0.7
ENAM,HX-S1,1142,50,4.4
ENAM,HX-S2,1142,75,6.6
ENAM,SJD10A,1142,148,13.0
ENAM,SJD10M,1142,143,12.5
ENAM,SJD14M,1142,144,12.6
ENAM,ZKD,1142,137,12.0
AHSG,Harbin,368,9,2.4
ALB,Harbin,609,167,27.4
AMBN,Harbin,447,165,36.9
AMELX,Harbin,205,164,80.0
AMELY,Harbin,206,134,65.0
AMTN,Harbin,209,37,17.7
COL17A1,Harbin,1497,44,2.9
ENAM,Harbin,1142,173,15.1
MMP20,Harbin,483,10,2.1
