antibody_short,animal,semana,inmunogeno,kd_molar,tipo,se_une
Rls20_wk12_06,,12,DU156_MD39_BET1,1.3640e-05,aislado_clinico,0
Rls20_wk12_06,,12,Q23.17_MD39_L14,1.4050e-05,aislado_clinico,0
Rls20_wk12_06,,12,SHIV_AD8_MD64,1.2640e-05,aislado_clinico,0
Rls20_wk12_06,,12,DU422-1_MD39v2_L14,1.5520e-05,aislado_clinico,0
Rls20_wk12_06,,12,p1981_MD39_BET1,1.2650e-05,aislado_clinico,0
Rls20_wk12_06,,12,TRO_11_MD39,1.2900e-05,aislado_clinico,0
Rls20_wk12_06,,12,0712_250_pblib001_RnS-2G_L14,1.3920e-05,aislado_clinico,0
Rls20_wk12_06,,12,0860_150_con_RnS-2G_L14,1.2820e-05,aislado_clinico,0
Rls20_wk12_06,,12,1026_120_sgaA5_RnS-2G_L14,1.0700e-05,aislado_clinico,0
Rls20_wk12_06,,12,V703-0537-RnSv2-2G_L14,1.4090e-05,aislado_clinico,0
RSz19_wk12_16,RSz19,12,N332-GT5 gp140,3.0770e-11,prime,1
RSz19_wk12_16,RSz19,12,SF162P3_MD64_B20,1.2400e-05,aislado_clinico,0
RSz19_wk12_16,RSz19,12,DU156_MD39_BET1,1.3640e-05,aislado_clinico,0
RSz19_wk12_16,RSz19,12,Q23.17_MD39_L14,1.4050e-05,aislado_clinico,0
RSz19_wk12_16,RSz19,12,SHIV_AD8_MD64,1.2640e-05,aislado_clinico,0
RSz19_wk12_16,RSz19,12,DU422-1_MD39v2_L14,1.5520e-05,aislado_clinico,0
RSz19_wk12_16,RSz19,12,p1981_MD39_BET1,1.2650e-05,aislado_clinico,0
RSz19_wk12_16,RSz19,12,TRO_11_MD39,1.2900e-05,aislado_clinico,0
RSz19_wk12_16,RSz19,12,0712_250_pblib001_RnS-2G_L14,1.3920e-05,aislado_clinico,0
RSz19_wk12_16,RSz19,12,0860_150_con_RnS-2G_L14,1.2820e-05,aislado_clinico,0
RSz19_wk12_16,RSz19,12,1026_120_sgaA5_RnS-2G_L14,1.0700e-05,aislado_clinico,0
RSz19_wk12_16,RSz19,12,V703-0537-RnSv2-2G_L14,1.4090e-05,aislado_clinico,0
RTq20_wk12_18,RTq20,12,N332-GT5 gp140,4.5700e-11,prime,1
RTq20_wk12_18,RTq20,12,SF162P3_MD64_B20,1.3840e-06,aislado_clinico,0
RTq20_wk12_18,RTq20,12,DU156_MD39_BET1,1.3640e-05,aislado_clinico,0
