semana,n_anticuerpos,amplitud_mediana,amplitud_media,pct_amplios_ge5
12,42,0.0,0.02,0
46,37,1.0,1.57,11
56,56,4.0,4.30,46
72,36,7.0,6.17,81
82,37,7.0,7.11,95
95,11,5.0,3.82,55
