antibody_short,kd_con_n332,kd_sin_n332,pierde_union
RDj20_wk12_02,1.1390e-05,1.2450e-05,0
RFe21_wk12_05,1.1390e-05,1.2450e-05,0
RKd21_wk12_08,1.1390e-05,1.2450e-05,0
RKd21_wk12_27,1.1390e-05,1.2450e-05,0
RTd20_wk12_17,1.1390e-05,1.2450e-05,0
RZc21_wk12_22,1.1390e-05,1.2450e-05,0
RAc21_wk12_01,1.1390e-05,1.2450e-05,0
RKb21_wk12_07,1.1390e-05,1.2450e-05,0
Rls20_wk12_06,1.1390e-05,1.2450e-05,0
RSz19_wk12_16,1.1390e-05,1.2450e-05,0
RTq20_wk12_18,1.1390e-05,1.2450e-05,0
RYo20_wk12_20,1.1390e-05,1.2450e-05,0
RYo20_wk12_43,1.1390e-05,1.2450e-05,0
RKm20_wk12_09,1.1390e-05,1.2450e-05,0
RKm20_wk12_28,1.1390e-05,1.2450e-05,0
RKm20_wk12_29,1.1390e-05,1.2450e-05,0
RPe21_wk12_13,1.1390e-05,1.2450e-05,0
RPe21_wk12_34,1.1390e-05,1.2450e-05,0
RPe21_wk12_35,1.1390e-05,1.2450e-05,0
RRr20_wk12_15,1.1390e-05,1.2450e-05,0
RRr20_wk12_38,1.1390e-05,1.2450e-05,0
RRr20_wk12_39,1.1390e-05,1.2450e-05,0
RVz20_wk12_19,1.1390e-05,1.2450e-05,0
RVz20_wk12_41,1.1390e-05,1.2450e-05,0
RVz20_wk12_42,1.1390e-05,1.2450e-05,0
RLy20_wk12_10,1.1390e-05,1.2450e-05,0
RLy20_wk12_30,1.1390e-05,1.2450e-05,0
RLy20_wk12_31,1.1390e-05,1.2450e-05,0
ROe21_wk12_12,1.1390e-05,1.2450e-05,0
ROe21_wk12_32,1.1390e-05,1.2450e-05,0
ROe21_wk12_33,1.1390e-05,1.2450e-05,0
RQd20_wk12_14,1.1390e-05,1.2450e-05,0
RQd20_wk12_36,1.1390e-05,1.2450e-05,0
RQd20_wk12_37,1.1390e-05,1.2450e-05,0
RYy20_wk12_21,1.1390e-05,1.2450e-05,0
RYy20_wk12_44,1.1390e-05,1.2450e-05,0
RYy20_wk12_45,1.1390e-05,1.2450e-05,0
REe21_wk12_03,1.1390e-05,1.2450e-05,0
REe21_wk12_24,1.1390e-05,1.2450e-05,0
REg21_wk12_04,1.1390e-05,1.2450e-05,0
REg21_wk12_25,1.1390e-05,1.2450e-05,0
REg21_wk12_26,1.1390e-05,1.2450e-05,0
RDj20_wk46_03,1.1390e-05,1.2450e-05,0
RFe21_wk46_01,1.1390e-05,1.2450e-05,0
RTd20_wk46_04,1.1390e-05,1.2450e-05,0
RTd20_wk46_05,1.1390e-05,1.2450e-05,0
RZc21_wk46_02,1.1390e-05,1.2450e-05,0
RAc21_wk46_10,1.1390e-05,1.2450e-05,0
RIs20_wk46_16,1.1390e-05,1.2450e-05,0
RKb21_wk46_09,1.1390e-05,1.2450e-05,0
RKb21_wk46_12,1.1390e-05,1.2450e-05,0
RSz19_wk46_08,1.1390e-05,1.2450e-05,0
RSz19_wk46_41,1.1390e-05,1.2450e-05,0
RTq20_wk46_11,1.1390e-05,1.2450e-05,0
RYo20_wk46_07,1.1390e-05,1.2450e-05,0
RYo20_wk46_13,1.1390e-05,1.2450e-05,0
RYo20_wk46_14,1.1390e-05,1.2450e-05,0
RYo20_wk46_15,1.1390e-05,1.2450e-05,0
RLf21_wk46_17,1.1390e-05,1.2450e-05,0
RLf21_wk46_21,1.1390e-05,1.2450e-05,0
RLf21_wk46_42,1.1390e-05,1.2450e-05,0
RRr20_wk46_40,4.3510e-06,1.2450e-05,0
RVz20_wk46_19,1.1390e-05,1.2450e-05,0
REe21_wk46_28,1.1390e-05,1.2450e-05,0
REe21_wk46_31,1.1390e-05,1.2450e-05,0
REe21_wk46_32,1.1390e-05,1.2450e-05,0
REe21_wk46_33,1.1390e-05,1.2450e-05,0
REg21_wk46_25,1.1390e-05,1.2450e-05,0
REg21_wk46_30,1.1390e-05,1.2450e-05,0
