forest_id,humedad_suelo,es_primario,soc_60cm_kgCm2,capa_organica_kgCm2
1,5,0,3.813581819313764,1.535600067138671
1,2,0,3.250766592438668,1.190400024414064
1,4,0,2.556307830581203,0.8833200000000002
1,1,0,3.214533236056077,1.65199996948242
1,4,0,3.978710587951598,1.92465
1,4,0,4.201555681085877,1.092
1,4,0,6.692427567402129,3.564200054168704
1,3,0,5.624880360882664,2.160899925231933
1,3,0,4.310173441707389,1.401200023651125
1,2,0,4.455110125090292,1.198399978637694
1,2,0,6.414945955048708,4.058399864196778
1,2,0,3.968334789158376,1.853200031280519
1,5,0,3.349696156749603,1.247399974822996
1,1,1,11.12715554973792,10.03752206748026
1,4,1,8.552149330527913,7.063827670778862
1,2,1,4.966830290455115,2.43860331632093
1,3,1,9.003124265058517,6.17902827900584
1,5,1,12.93435190285289,6.695848954872581
2,1,0,2.177411843872874,0.58872
2,1,0,1.070130397650789,0.0
2,1,0,4.414023893897797,2.109399959564206
2,1,0,2.659249648630511,1.785
2,1,0,3.0625633169311,1.186500053405761
2,1,1,7.064332985507319,2.995200073242192
3,1,0,2.004584274665035,0.83088
3,5,0,4.256821815011524,2.224
3,1,0,4.100169561365846,2.5665
3,3,0,7.965092950033641,5.548400000000001
3,3,0,13.07503213619128,13.07503213619128
3,1,0,4.930992430716223,2.21694
3,3,0,7.022725895718923,4.1951
3,1,0,2.177411843872874,0.58872
3,2,0,2.303543837156546,1.453600017547606
3,2,0,5.711720954332035,2.71819
3,2,0,5.612559940403187,0.1962
3,1,0,7.202715617124868,0.0
3,1,0,2.162447085756235,0.5152
3,3,0,3.834460108060744,3.0153
3,2,0,5.517438446171904,0.0
3,1,0,5.847109326680361,1.6748
3,5,0,7.218136925658156,2.435999908447266
3,1,0,2.708928870745599,1.753200027465822
3,1,0,3.337731222946068,2.049199928283692
3,1,0,1.199151450287838,0.0
3,5,0,13.33976761539564,12.144
3,3,0,6.36610428938259,2.572400041580198
3,3,0,3.48592603677584,0.4095
3,5,0,13.53719739244757,5.882399826049804
3,2,0,5.462734249955389,1.345599975585936
3,2,0,3.492094348335507,1.577800037384036
3,3,0,8.412994657033707,6.834000129699715
3,2,0,4.28583330854034,0.0
3,1,0,2.738237338238161,0.5375999908447259
3,1,0,4.232566693068839,2.859800060272221
3,1,0,4.956817471079552,1.71
3,5,0,27.57602115207563,27.57602115207563
3,1,0,6.349743705018462,2.342300045013431
3,3,0,7.074578221599303,2.806
3,3,0,14.64076775989439,0.0
3,3,0,25.94208670100002,25.94208670100002
3,5,0,24.2130784612642,24.2130784612642
3,2,0,7.523511500954574,3.887200065612797
3,3,0,7.881808768925183,4.258100120544434
3,1,1,5.274783224366057,3.335428075345423
3,3,1,12.5035015121673,3.273260299401197
3,5,1,19.22907241678776,19.22907241678776
3,2,1,5.67613926645207,2.863385327352086
3,3,1,8.387852499731592,3.924439853556485
4,4,0,4.37427628319283,1.4336
4,2,0,9.678885570396904,0.0
4,1,0,2.26139404644803,0.676799987792968
4,4,0,8.523074085832299,3.726
4,4,0,4.595895402064729,1.852
4,4,0,4.939914691608395,3.145
4,4,0,7.594758951503906,1.786
4,5,0,4.630438939861127,1.556100059509277
4,4,0,6.008269726678837,1.689800025939943
4,2,0,5.719606031192004,2.347899959564206
4,5,0,6.002518978814895,1.331100044250488
4,2,0,3.882848230630302,1.938
4,1,0,5.262582938776717,2.469500083923339
4,2,0,4.381510363789426,1.508499946594238
4,4,0,5.463383733875615,3.972800079345708
4,2,0,5.440562229384382,3.720600059509281
4,1,1,9.94544371952978,6.979828279457768
4,2,1,6.538742784004678,5.042482447342024
4,5,1,47.14747177083945,47.14747177083945
4,4,1,5.801839291138355,2.499603076923076
5,1,0,1.472190743101637,0.0
5,5,0,7.403269609611516,2.88221987915039
5,1,0,7.476319330542623,5.098599838256836
5,1,0,3.407678439634654,1.551
5,2,0,6.823885051105635,1.422299949645996
5,3,0,4.648076032189165,1.2441
5,3,0,4.280962132938555,0.957
5,2,0,3.983158542527515,2.210000038146975
5,4,0,9.058300825813788,3.629200065612798
5,1,0,3.723577953789956,1.668399967193601
5,1,0,3.527732477083306,1.432200050354004
5,1,0,10.76705473667043,1.9096
5,1,0,10.19634282963897,5.569199999999999
5,1,0,8.019856615224931,1.022500038146972
5,2,0,5.505820244357678,1.102499961853028
5,4,0,4.518953496490936,1.594600051879882
5,2,0,2.462878028010167,0.8176999740600588
5,5,0,3.177647091816985,0.0
5,3,0,3.791480625289507,1.739
5,3,0,9.89786242998712,2.259899929046627
5,2,0,2.68711640555237,0.6579000129699717
5,4,0,8.27546835194928,5.330100166320801
5,2,0,3.244599387198319,1.911
5,2,0,3.904797755498607,1.114999961853028
5,3,0,12.32655683953399,8.883100160598744
5,4,0,4.11474964985225,1.381700031280519
5,1,0,4.007606390156696,1.360799972534178
5,2,0,3.750510257392101,1.392
5,2,0,11.06121564349018,6.283200103759773
5,2,0,7.538162581858168,1.368899940490723
5,3,0,5.308316072746334,1.058400020599367
5,1,0,4.018263895078483,1.184200023651125
5,2,0,3.350726457666081,2.112
5,4,0,4.777424097622218,1.4415
5,4,0,6.143080044526684,1.975500068664551
5,5,0,3.560507903696147,2.318199897766114
5,4,0,3.574677831424355,1.764
5,1,0,4.106902560097009,0.91
5,4,0,4.313005829377017,1.0075
5,1,1,7.062126048810289,3.424766400000001
5,2,1,8.45997105873728,2.807603070504505
5,2,1,7.871532731152065,4.258467758936755
5,3,1,6.281987913614874,3.58309632
5,5,1,17.17463442175986,5.072964840330351
5,3,1,8.15529726299797,5.288411443102351
5,5,1,12.68953545525717,8.294330760548238
5,2,1,4.056004908628749,0.4771841919107858
5,4,1,11.60672990939457,9.390927470196733
5,5,1,10.28563760969422,6.365019617224881
5,1,1,7.805706288422899,3.556604095371669
6,4,0,6.060622015036548,1.1571
6,3,0,5.614576201354407,0.6630000000000001
6,4,0,6.458414301737179,0.79254
6,5,0,6.426983714597978,3.55488
6,4,0,8.298199295844338,5.019300178527831
6,4,0,6.320941978200432,0.9125999794006336
6,3,0,2.791861298920604,1.49199996948242
6,2,0,4.681587939026916,0.961999969482422
6,3,0,1.895152920316944,0.0
6,2,0,3.556932659595232,0.85348
6,3,0,6.911401955366695,3.1845
6,5,0,3.718702358752644,1.4
6,5,0,25.85576710015057,25.85576710015057
6,3,0,9.24587525708596,2.91388
6,4,0,6.102217737118818,0.0
6,2,0,5.78369924866502,2.679200103759765
6,5,0,8.048344944262398,4.221000080108648
6,1,0,3.508328774914268,1.160000038146972
6,1,0,2.826101039671146,1.335599967956541
6,4,0,5.306597452128145,1.392
6,5,0,4.386474786991236,0.0
6,1,0,2.829426874009903,0.5498999900817865
6,2,0,6.718808326965603,3.96
6,3,0,5.341173525490261,1.514999961853025
6,5,0,3.814508551259098,0.9639000205993666
6,3,0,3.534241443747551,0.0
6,3,0,3.302571120894108,2.058
6,1,0,3.158818896045017,0.7469999885559089
6,4,0,6.247507034782107,1.497999973297117
6,4,0,6.78399052187521,0.0
6,4,0,3.403906572756226,0.0
6,2,0,10.05634718241011,2.679
6,5,0,9.74308740650162,5.473000000000001
6,5,0,28.79970666666667,28.79970666666667
6,5,0,5.38949591467594,3.256
6,1,0,2.869215203494296,0.81
6,5,0,8.026047295804256,3.541699836730958
6,1,0,2.443177444927735,1.240199970245359
6,3,0,7.540435962458317,0.0
6,4,0,3.208735788662599,1.082900018692015
6,3,0,7.15696257402323,4.477599822998047
6,5,0,11.80393458982627,3.615599929809566
6,3,0,9.0798991117764,7.862400329589843
6,1,0,9.452268149367129,6.536
6,2,0,3.905457300625711,0.5508000259399413
6,3,0,3.389281317612734,0.0
6,1,0,4.482261531535603,1.076399982452392
6,3,0,9.459822028524393,4.932150199890136
6,3,0,4.468875707241162,1.230700023651125
6,2,0,5.351580785060563,2.816100048065189
6,3,0,5.133359294725857,2.16539991760254
6,2,0,3.735909288679719,0.8925
6,4,0,3.598494560490794,1.29480002975464
6,5,0,6.223456601037211,0.0
6,4,0,10.11181284391825,7.415199905395514
6,2,0,3.795841298389497,0.9824999809265124
6,4,0,5.506960397889603,0.6555
6,1,0,4.539299309000726,1.674000034332277
6,2,0,4.177386013805124,2.002
6,2,0,6.836240510552838,2.737600090026855
6,4,0,5.043188669472956,1.5785
6,4,0,4.770717323490076,2.898
6,2,0,4.575345231149973,1.524400028228762
6,4,0,3.775668505123394,1.101600013732909
6,4,0,7.223820699457454,4.228199907302862
6,4,0,8.921485799668693,0.0
6,1,0,2.42393500296759,1.142399978637694
6,5,0,27.95007170619503,27.95007170619503
6,5,0,7.377147594913541,6.552200138092051
6,3,0,8.14694268721053,4.49540013885498
6,3,0,4.482800000267794,2.316800048828128
6,2,0,6.979540719284805,0.0
6,5,1,11.11579792174422,3.076593100436876
6,3,1,8.964944048831189,5.548961162011173
6,2,1,5.859780468758366,4.063805237529945
6,4,1,6.375207866765018,1.126324375
6,1,1,12.84988238398606,6.788615406724513
6,3,1,10.10991443266211,6.584482758620689
6,4,1,12.244867744127,10.60411325695581
6,4,1,14.9951624512415,5.291765182186234
6,2,1,8.851926033195122,4.952810524583605
6,2,1,12.37591393979671,8.004052495285983
6,3,1,10.02863289300172,3.071056418625376
6,3,1,10.34277315284126,9.24708124661211
6,2,1,10.51321874796536,2.96205782443558
6,2,1,6.621333887266617,1.326062904717854
6,1,1,11.81382705892288,8.042591276169
7,2,0,4.950363775061524,1.4253
7,4,0,10.14115513594844,2.577200103759765
7,5,0,11.27507420527602,8.104920000000002
7,5,0,8.065774874547149,6.56656
7,5,0,12.70036852423588,4.33435
7,2,0,4.107941770727651,0.921599975585936
7,3,0,7.545886063131076,1.195999984741212
7,3,0,8.8615526916033,3.42665
7,2,0,5.999002375780152,0.0
7,2,0,9.5983256733858,3.3592
7,5,0,4.45955167146053,2.690999956130984
7,2,0,6.691540174108034,2.016
7,5,0,8.224031365081782,4.231199901580805
7,2,0,9.734492902665606,5.977
7,2,0,3.026040055161222,1.377
7,4,0,14.68339526753445,3.940299930572506
7,5,0,5.989041881940933,3.182400054931644
7,5,0,32.29050458345365,32.29050458345365
7,5,0,15.88501999996094,4.84159979248047
7,3,0,5.022682786461337,0.0
7,5,0,6.66352161921202,2.691799934387203
7,3,0,5.355317256171849,1.386
7,2,0,2.826556461378777,0.9522000350952148
7,5,0,5.523972373516444,2.53799995422363
7,3,0,4.649954011297498,1.081199979782106
7,3,0,5.451789567574409,1.178999977111815
7,5,1,19.72036125,19.72036125
7,3,1,9.131939246200192,3.503752
7,4,1,7.195614744354476,1.717816375463639
7,3,1,9.525881106634518,2.839591034968111
7,2,1,45.5987388,45.5987388
7,4,1,10.78288837337474,6.019735293663061
7,3,1,7.639486405051233,2.288268156645569
7,5,1,10.11560332498052,1.9895638
7,3,1,6.39784238878223,3.140931597222222
7,5,1,14.37869475,14.37869475
7,2,1,10.40312840202885,6.601825100000001
7,4,1,9.842725429568866,3.927126411932441
7,3,1,12.81814502896621,5.226695795238094
7,5,1,10.5606690886881,3.064893880720188
7,4,1,10.06486990456138,3.065616319444444
8,3,0,5.510281169283861,0.8596000213623061
8,5,0,9.294067977723715,7.527600116729745
8,1,0,7.045811332744703,0.8553999999999999
8,4,0,8.979245420836817,1.1675
8,5,0,9.948629699718198,4.4634
8,5,0,27.30769360716315,27.30769360716315
8,4,0,4.514684062840225,1.6497
8,1,0,3.611318718757586,0.697
8,2,0,9.095644910535956,6.058800075531002
8,3,0,8.098131617009797,5.249700130462655
8,5,0,27.78802136922676,27.78802136922676
8,2,0,4.304541877779515,1.741500034332278
8,1,0,4.425772139582861,1.105000019073487
8,1,0,4.141947683712621,1.128800025939943
8,5,0,2.591038893792295,0.6512000083923335
8,5,0,6.650098998493872,2.866499999999999
8,1,0,7.006370502025309,1.89
8,4,0,7.071487297277556,2.645999965667727
8,2,0,3.407769572488334,1.184000015258788
8,4,0,3.319555994696147,0.0
8,5,0,7.10468423349672,1.993199966430662
8,1,0,4.354833250893746,1.438799949645996
8,1,0,1.978208344205583,0.8613000221252454
8,1,0,7.172685856509105,4.240000152587889
8,3,0,8.972483433171819,7.4385
8,2,0,1.883994466363791,0.8271999664306642
