forest_id,humedad_suelo,es_primario,biomasa_viva_kgCm2,madera_muerta_kgCm2
1,3,0,4.90490752502292,0.0624652164612947
1,5,0,2.678575835909811,0.5164552188590564
1,1,0,0.0,1.375346776413943
1,3,0,0.0471859557203949,0.054086622636694
1,5,0,0.7953785085298462,0.0
1,3,0,0.0,1.321267961882622
1,5,0,4.084939178117305,0.0355749747432536
1,2,0,0.9107476958816976,0.0
1,3,0,1.683359612577852,0.0224797718896954
1,5,0,3.833532245891178,0.0145294138691841
1,5,0,2.233243706973043,0.0758007186762091
1,5,0,2.742287739876905,0.0974547860488847
1,5,0,7.357241801302939,0.007625947776615
1,5,0,3.41360322884123,0.0
1,3,0,1.732163561292326,0.0
1,4,0,0.616149442821379,0.0
1,5,0,0.3501212701297702,1.135283385842041
1,5,0,6.131942533896929,0.1014820478890662
1,1,0,11.16315316280603,0.3782441549153434
1,1,0,2.539671606415326,1.310171051886894
1,3,0,0.6776842169960713,0.0349333547631038
1,2,0,0.0,1.166107008066225
1,2,0,1.198731050931845,0.01733159308581
1,3,0,5.232965120965007,0.4304549092532189
1,5,0,4.880015934329787,0.0587050835519009
1,5,0,2.123231571649668,0.2414701395436231
1,1,0,3.233373435858922,0.0
1,3,0,4.112053281806365,0.0954970778387526
1,1,0,5.062780135850566,0.1421087088472443
1,1,0,2.509932337562466,0.1442266372016768
1,4,0,7.34621580519561,0.7518464750917233
1,1,0,2.649831739846168,0.2447975789342696
1,1,0,2.78471120124652,0.0862669692667166
1,4,0,4.54882002268568,0.7237530451848386
1,2,0,2.82651751287428,0.0716619856363436
1,5,0,5.894436382200668,0.1986862689062431
1,1,0,5.350978490631446,0.5176420341259979
1,2,0,14.94056897607868,0.1673057248176299
1,2,0,8.288895775122398,0.1237689938102743
1,3,0,1.428733371590477,0.0136424747990933
1,1,0,0.8418489163114465,1.318352641840577
1,4,0,1.5770305154286,0.1354604765981625
1,5,0,0.3850344598730992,0.0412963979129847
1,2,0,4.88821721080584,0.6600285380621419
1,5,0,2.556008617510892,0.0
1,4,0,3.410933052780777,0.0077004547092899
1,1,0,6.669514858956008,0.1679777945129122
1,4,0,3.872658741884247,0.0423637295445979
1,3,0,3.880650749119934,0.1154802816390051
1,1,0,3.782495155077604,0.249758418731759
1,4,0,7.514182223604699,0.2147810326153642
1,5,0,0.0,1.847353728861176
1,5,0,0.9144694112777454,1.056170712269562
1,5,0,3.09317649824752,0.0
1,4,0,0.4359749821512731,0.0966199450729865
1,5,0,0.3082975634340802,0.0
1,5,0,5.384927028956706,0.0
1,2,0,0.3078611953300373,0.0040464244466871
1,1,0,1.91007792491097,0.0208346239284484
1,4,0,2.208385627739391,0.0
1,1,0,0.4119142473749651,0.0150210723227871
1,1,0,1.327036274773234,0.0672905513307259
1,5,0,2.996907659125266,0.0
1,1,0,3.345601211960147,0.0
1,1,0,7.996729449133714,0.02828632419347
1,5,0,3.924175857586495,0.4208489481753136
1,4,0,6.729048189365782,0.2300899726974928
1,5,0,0.5414683708626894,0.9565988076050078
1,2,0,0.1412528353527243,0.9887001428153982
1,5,0,3.207804467892953,0.0
1,4,0,1.811629989932878,0.0659516769114795
1,1,0,4.70829944118068,0.0
1,1,0,1.606475989062975,0.3221317850183265
1,5,0,5.545264642127344,0.1543797104756326
1,4,0,1.452217509933225,0.0
1,3,0,3.599750019956256,0.0
1,5,0,2.665079988367813,0.0
1,3,0,1.403849764992047,0.0250681583522449
1,1,0,1.061732682538956,0.0333682448901428
1,4,0,3.540467578579726,0.0603432168158571
1,1,0,0.2336104580972797,1.111767705498918
1,3,0,0.4256456067163584,0.0
1,1,0,7.487933034260676,0.1045878218935715
1,1,0,4.758036401061837,0.0
1,5,0,1.376369961480401,0.0581101491313468
1,1,0,3.02439682104379,0.0626597785381224
1,4,0,2.06957490664045,0.1692514992342857
1,1,0,0.5481135140749722,1.278589141373133
1,4,0,4.306863616571706,0.0800560437192857
1,5,0,2.861176186897428,0.0
1,3,0,0.0828418581962937,0.0602196663047142
1,1,0,0.8193591505615228,0.051110687342755
1,4,0,3.083541211647156,0.3452889920678568
1,5,0,1.742594236952805,0.3576644569812857
1,4,0,1.56007461494809,0.1827453785568061
1,1,0,5.658062534875161,0.4396034553808463
1,1,0,4.889168517475216,0.3599290492761124
1,1,0,3.756383185738425,0.0
1,2,0,1.584301940430508,0.0
1,4,0,7.853592660238389,0.0
1,4,0,1.384695744202775,1.169312219146143
1,4,0,2.190568741415757,0.0
1,3,0,0.0,0.9887001428153982
1,3,0,1.038769728735833,0.191675214802102
1,5,0,3.837679819326218,0.4739921870036632
1,3,0,0.0,1.024107718115245
1,1,0,2.764075720719476,0.0
1,5,0,3.386249712115701,0.0
1,1,0,4.337135938660761,0.0369030920596562
1,1,0,4.072839316599437,0.0422596591291836
1,2,0,1.924939185888907,0.0
1,2,0,1.668544190018589,0.0
1,5,0,5.450618248467507,0.0
1,4,0,0.916099556884715,0.2764885927000407
1,5,0,5.619395339702253,0.0
1,1,0,8.254288271774122,0.0
1,4,0,6.653876983259844,0.0149850703094693
1,4,0,0.0,1.198808274708164
1,1,0,5.998245099769753,2.561912919246644
1,3,0,2.844323649686676,0.0
1,3,0,2.321884624257449,0.0
1,1,0,2.711101646364921,0.0323279185841326
1,5,0,1.475509392658903,0.270348951506112
1,3,0,1.02030808529999,0.0
1,1,0,0.5820834908295022,0.976341204852018
1,4,0,0.0,0.8664141772544914
1,4,0,4.889972388584421,0.2864847208713411
1,1,0,0.0698243872305291,1.136896758588194
1,1,0,2.2597606127458,0.4021281236822142
1,3,0,3.344187163655897,0.0
1,3,0,2.698659780205343,0.0
1,4,0,0.5158948174879167,0.0
1,2,0,8.191593822197365,0.0080527160609999
1,2,0,2.342695558536881,0.0
1,3,0,0.0,0.0718083691482857
1,3,0,3.064587411747806,0.0
1,5,0,0.0,0.3263257694970002
1,2,0,2.240790441777501,0.0295384662148775
1,3,0,5.73589991566723,0.0731381979892225
1,5,0,3.13679923472295,1.067221829152496
1,5,0,0.0,0.9887001428153982
1,1,0,3.969335625043858,0.0
1,1,0,0.0,1.870081506726992
1,3,0,0.248774518358056,1.021878727667015
1,1,0,0.7878178079208716,0.1026841181929899
1,1,0,2.313837816942016,0.048271739443654
1,4,0,1.134115535364709,1.166408293567806
1,4,0,0.0775523536526808,0.0185176376948571
1,1,0,0.0885720556536107,0.9255397456559072
1,5,0,1.228560164111099,1.798846147824892
1,1,0,0.084991771662851,0.2818502208641019
1,4,0,0.9968895661278584,0.1509183329502857
1,4,0,0.907406145593812,0.0497433381065921
1,4,0,0.0,0.9423181784220832
1,3,0,0.5811864716735824,0.0
1,4,0,0.6513210960745061,0.1148972037630612
1,2,0,3.394410882443804,0.5806400335422248
1,5,0,1.117831975307312,0.114151058892949
1,2,0,6.490605095667414,0.0
1,4,0,0.0,0.0
1,1,0,0.1968651787926121,1.585799072875114
1,5,0,4.257067547198597,0.0319872965721428
1,4,0,0.8712951159710179,0.1521278080648163
1,1,0,2.307972848602333,0.0
1,4,0,0.7603637811923059,0.0
1,3,0,0.0,1.249025993491711
1,4,0,3.211233798583394,0.0146892118795714
1,4,0,0.0,1.091613459850282
1,1,0,4.080721129221182,0.5145563087891023
1,4,0,0.0,1.459009533990169
1,5,0,0.5526053877030825,0.0
1,5,0,4.646211311860084,0.0
1,4,0,3.744917068403451,0.0
1,1,0,3.957272233925648,0.9040937250184864
1,2,0,0.1773291183230453,0.0
1,1,0,2.029686158381247,0.5472400098471428
1,3,0,2.993136231207206,0.0585107844320203
1,1,0,0.0,1.34247659585044
1,3,0,5.294210548562708,0.0
1,1,0,0.9965595775646718,0.0
1,3,0,3.417602194820201,0.0
1,4,0,0.0,1.421500365096257
1,1,0,8.501728139346644,0.0
1,4,0,2.094249806200327,0.0
1,5,0,0.8188830042852697,0.0
1,5,0,0.0,0.058130646861857
