grupo,acetona_score
Vehicle,1.725
Vehicle,1.375
Vehicle,2.0
Vehicle,0.375
Vehicle,0.75
Vehicle,1.0
Psi,1.0
Psi,1.125
Psi,0.875
Psi,0.75
Psi,0.875
Psi,0.75
Cis,2.0
Cis,2.375
Cis,2.25
Cis,2.25
Cis,2.625
Cis,2.125
Psi + Cis,1.375
Psi + Cis,1.125
Psi + Cis,1.75
Psi + Cis,1.875
Psi + Cis,1.25
Psi + Cis,1.375
