grupo,area_km2,pct_perdida_total
Conversion permanente,107929.4,38.92
Silvicultura,72453.9,26.13
Agricultura migratoria,47727.9,17.21
Disturbio natural,44189.0,15.93
Proposito incierto,5023.4,1.81
