driver,area_km2,pct_perdida_total
Shifting agriculture,47727.9,17.21
Pasture,41571.1,14.99
Timber tree plantation,35930.0,12.96
Fire,34251.0,12.35
Non-timber tree plantation,30301.6,10.93
Forestry/Clearcut,25180.6,9.08
Cropland,19685.8,7.1
Selective logging,11343.2,4.09
Palm plantation,7650.7,2.76
Clearing with uncertain purpose,5023.4,1.81
Insects,4903.8,1.77
Hurricanes/Windfalls,4752.3,1.71
Mining,3518.8,1.27
Road,2316.6,0.84
Settlement,1757.5,0.63
Commercial construction,1061.6,0.38
Flood natural incl. river meandering,274.8,0.1
Energy infrastructure,48.3,0.02
Flood dams,17.4,0.01
Other natural,7.1,0.0
