block_id,pct_bloque_perdido
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.01
7,0.0
8,0.0
9,0.003
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0264
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.4921
53,0.0
54,0.0
55,0.0
56,0.0172
57,0.1966
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0166
65,0.0
66,0.0547
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0397
78,0.0476
79,0.0
80,0.0
81,0.0573
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0023
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.1766
100,0.0945
101,1.0993
102,0.438
103,0.0633
104,0.0823
105,0.0
106,0.0
107,0.1345
108,0.1312
109,0.0
110,2.6661
111,0.1943
112,0.9725
113,0.0632
114,0.0
115,0.0529
116,0.0
117,0.1408
118,0.0307
119,0.5241
120,1.5483
121,7.072
122,0.0991
123,0.035
124,0.0059
125,0.3452
126,0.0116
127,1.6423
128,0.0
129,1.0947
130,0.1111
131,0.5959
132,0.0209
133,0.4082
134,0.0034
135,1.8481
136,0.2311
137,0.9431
138,0.0894
139,0.0
140,0.2065
141,0.0061
142,0.3869
143,0.7685
144,0.5545
145,0.0
146,0.0821
147,0.0
148,1.0337
149,0.0
150,0.0495
151,0.956
152,0.1481
153,1.448
154,0.0
155,0.2933
156,0.3855
157,0.0052
158,0.0611
159,0.0
160,0.7549
161,0.0
162,1.9963
163,0.0992
164,0.9731
165,1.486
166,0.3689
167,0.3836
168,0.0
169,0.003
170,1.2293
171,0.005
172,0.1912
173,0.0
174,0.5213
175,0.778
176,0.0272
177,0.0
178,0.2506
179,0.1714
180,0.5041
181,0.0495
182,0.0004
183,0.0
184,0.0
185,0.3637
186,0.0936
187,0.0
188,0.0
189,1.6712
190,1.8285
191,0.0
192,1.3326
193,1.4245
194,0.3462
195,0.606
196,0.1858
197,0.0201
198,0.1247
199,0.1981
200,0.0515
201,0.0677
202,1.0795
203,1.33
204,0.7167
205,0.024
206,0.0243
207,0.1301
208,0.5829
209,0.0714
210,0.2134
211,0.1035
212,0.1499
213,0.0
214,0.0606
215,0.0
216,0.0
217,0.0
218,0.2581
219,0.7144
220,1.3971
221,0.0894
222,0.0
223,0.0625
224,1.1327
225,0.0416
226,0.0
227,0.0032
228,0.3762
229,0.0638
