region_cod,region,area_km2,pct_perdida_total
LAM,America Latina,73902.0,26.65
SEAS,Sur y Sudeste de Asia,59818.3,21.57
AFR,Africa,50352.5,18.16
NEAS,Norte y Este de Eurasia,42728.4,15.41
NAM,America del Norte,34065.3,12.28
EUR,Europa,10705.3,3.86
AUS,Australia y Oceania,5751.8,2.07
