ratio_na_li,yield_agua_pct,yield_agua_std,yield_nh4f_01m_pct,yield_nh4f_01m_std,yield_nh4f_02m_pct,yield_nh4f_02m_std
1,92.96,1.56,93.68,1.23,93.78,1.51
5,88.63,3.71,91.02,2.15,92.57,2.82
10,81.39,2.86,86.51,2.19,90.84,3.09
20,66.05,3.8,78.36,3.67,85.98,2.62
50,20.67,5.34,54.28,4.79,70.35,3.64
