voltaje_v,f_total_pct,f_total_std,f_inorganico_pct,f_inorganico_std,f_organico_pct
0,100,1.61,0,0,100
40,96.58,1.15,35.56,2.05,61.02
80,92.31,1.62,79.68,1.98,12.63
100,90.38,1.02,90.12,1.42,0.26
150,90.02,0.9,89.85,1.17,0.17
