muestra,anio,tratamiento,clase,abundancia
X10_10N,2010,Calentamiento,Glicopéptidos,315.16
X10_10N,2010,Calentamiento,Rifamicinas,236.63
X10_10N,2010,Calentamiento,MLS,7.74
X10_10N,2010,Calentamiento,Tetraciclinas,12.48
X10_10N,2010,Calentamiento,Aminoglucósidos,20.4
X10_10N,2010,Calentamiento,Betalactámicos,8.62
X10_16N,2010,Calentamiento,Glicopéptidos,397.21
X10_16N,2010,Calentamiento,Rifamicinas,250.17
X10_16N,2010,Calentamiento,MLS,11.13
X10_16N,2010,Calentamiento,Tetraciclinas,14.5
X10_16N,2010,Calentamiento,Aminoglucósidos,28.09
X10_16N,2010,Calentamiento,Betalactámicos,10.17
X10_19N,2010,Control,Glicopéptidos,309.21
X10_19N,2010,Control,Rifamicinas,230.22
X10_19N,2010,Control,MLS,8.64
X10_19N,2010,Control,Tetraciclinas,12.18
X10_19N,2010,Control,Aminoglucósidos,24.47
X10_19N,2010,Control,Betalactámicos,10.49
X10_1N,2010,Calentamiento,Glicopéptidos,322.02
X10_1N,2010,Calentamiento,Rifamicinas,236.73
X10_1N,2010,Calentamiento,MLS,10.82
X10_1N,2010,Calentamiento,Tetraciclinas,36.99
X10_1N,2010,Calentamiento,Aminoglucósidos,29.96
X10_1N,2010,Calentamiento,Betalactámicos,20.4
X10_20N,2010,Calentamiento,Glicopéptidos,299.37
X10_20N,2010,Calentamiento,Rifamicinas,224.25
X10_20N,2010,Calentamiento,MLS,4.23
X10_20N,2010,Calentamiento,Tetraciclinas,10.82
X10_20N,2010,Calentamiento,Aminoglucósidos,40.77
X10_20N,2010,Calentamiento,Betalactámicos,12.96
X10_23N,2010,Control,Glicopéptidos,271.26
X10_23N,2010,Control,Rifamicinas,187.04
X10_23N,2010,Control,MLS,2.55
X10_23N,2010,Control,Tetraciclinas,11.94
X10_23N,2010,Control,Aminoglucósidos,21.51
X10_23N,2010,Control,Betalactámicos,8.44
X10_3N,2010,Control,Glicopéptidos,279.33
X10_3N,2010,Control,Rifamicinas,203.19
X10_3N,2010,Control,MLS,8.43
X10_3N,2010,Control,Tetraciclinas,13.53
X10_3N,2010,Control,Aminoglucósidos,34.89
X10_3N,2010,Control,Betalactámicos,48.07
X10_6N,2010,Control,Glicopéptidos,345.16
X10_6N,2010,Control,Rifamicinas,188.87
X10_6N,2010,Control,MLS,7.39
X10_6N,2010,Control,Tetraciclinas,9.68
X10_6N,2010,Control,Aminoglucósidos,21.58
X10_6N,2010,Control,Betalactámicos,13.94
X11_10N,2011,Calentamiento,Glicopéptidos,396.48
X11_10N,2011,Calentamiento,Rifamicinas,244.82
X11_10N,2011,Calentamiento,MLS,8.51
X11_10N,2011,Calentamiento,Tetraciclinas,9.7
X11_10N,2011,Calentamiento,Aminoglucósidos,16.79
X11_10N,2011,Calentamiento,Betalactámicos,5.41
X11_16N,2011,Calentamiento,Glicopéptidos,474.53
X11_16N,2011,Calentamiento,Rifamicinas,354.19
X11_16N,2011,Calentamiento,MLS,37.41
X11_16N,2011,Calentamiento,Tetraciclinas,30.49
X11_16N,2011,Calentamiento,Aminoglucósidos,39.16
X11_16N,2011,Calentamiento,Betalactámicos,46.0
X11_19N,2011,Control,Glicopéptidos,437.64
X11_19N,2011,Control,Rifamicinas,279.28
X11_19N,2011,Control,MLS,14.03
X11_19N,2011,Control,Tetraciclinas,16.25
X11_19N,2011,Control,Aminoglucósidos,25.69
X11_19N,2011,Control,Betalactámicos,10.28
X11_1N,2011,Calentamiento,Glicopéptidos,557.69
X11_1N,2011,Calentamiento,Rifamicinas,353.14
X11_1N,2011,Calentamiento,MLS,15.61
X11_1N,2011,Calentamiento,Tetraciclinas,16.14
X11_1N,2011,Calentamiento,Aminoglucósidos,25.77
X11_1N,2011,Calentamiento,Betalactámicos,9.02
X11_20N,2011,Calentamiento,Glicopéptidos,504.82
X11_20N,2011,Calentamiento,Rifamicinas,371.75
X11_20N,2011,Calentamiento,MLS,24.14
X11_20N,2011,Calentamiento,Tetraciclinas,17.49
X11_20N,2011,Calentamiento,Aminoglucósidos,30.98
X11_20N,2011,Calentamiento,Betalactámicos,14.33
X11_23N,2011,Control,Glicopéptidos,413.56
X11_23N,2011,Control,Rifamicinas,296.97
X11_23N,2011,Control,MLS,12.36
X11_23N,2011,Control,Tetraciclinas,16.36
X11_23N,2011,Control,Aminoglucósidos,24.46
X11_23N,2011,Control,Betalactámicos,5.68
X11_3N,2011,Control,Glicopéptidos,389.79
X11_3N,2011,Control,Rifamicinas,223.79
X11_3N,2011,Control,MLS,10.87
X11_3N,2011,Control,Tetraciclinas,13.18
X11_3N,2011,Control,Aminoglucósidos,17.0
X11_3N,2011,Control,Betalactámicos,13.4
X11_6N,2011,Control,Glicopéptidos,415.1
X11_6N,2011,Control,Rifamicinas,259.21
X11_6N,2011,Control,MLS,11.82
X11_6N,2011,Control,Tetraciclinas,14.16
X11_6N,2011,Control,Aminoglucósidos,25.41
X11_6N,2011,Control,Betalactámicos,11.52
X12_10N,2012,Calentamiento,Glicopéptidos,394.46
X12_10N,2012,Calentamiento,Rifamicinas,226.2
X12_10N,2012,Calentamiento,MLS,11.25
X12_10N,2012,Calentamiento,Tetraciclinas,13.34
X12_10N,2012,Calentamiento,Aminoglucósidos,17.85
X12_10N,2012,Calentamiento,Betalactámicos,12.47
X12_16N,2012,Calentamiento,Glicopéptidos,497.31
X12_16N,2012,Calentamiento,Rifamicinas,249.39
X12_16N,2012,Calentamiento,MLS,11.11
X12_16N,2012,Calentamiento,Tetraciclinas,12.27
X12_16N,2012,Calentamiento,Aminoglucósidos,16.0
X12_16N,2012,Calentamiento,Betalactámicos,15.54
X12_19N,2012,Control,Glicopéptidos,405.02
X12_19N,2012,Control,Rifamicinas,210.7
X12_19N,2012,Control,MLS,6.81
X12_19N,2012,Control,Tetraciclinas,10.61
X12_19N,2012,Control,Aminoglucósidos,28.24
X12_19N,2012,Control,Betalactámicos,6.43
X12_1N,2012,Calentamiento,Glicopéptidos,457.61
X12_1N,2012,Calentamiento,Rifamicinas,243.0
X12_1N,2012,Calentamiento,MLS,8.2
X12_1N,2012,Calentamiento,Tetraciclinas,10.04
X12_1N,2012,Calentamiento,Aminoglucósidos,18.47
X12_1N,2012,Calentamiento,Betalactámicos,11.61
X12_20N,2012,Calentamiento,Glicopéptidos,554.92
X12_20N,2012,Calentamiento,Rifamicinas,216.59
X12_20N,2012,Calentamiento,MLS,9.64
X12_20N,2012,Calentamiento,Tetraciclinas,11.24
X12_20N,2012,Calentamiento,Aminoglucósidos,13.82
X12_20N,2012,Calentamiento,Betalactámicos,5.41
X12_23N,2012,Control,Glicopéptidos,360.52
X12_23N,2012,Control,Rifamicinas,289.34
X12_23N,2012,Control,MLS,7.5
X12_23N,2012,Control,Tetraciclinas,18.25
X12_23N,2012,Control,Aminoglucósidos,24.23
X12_23N,2012,Control,Betalactámicos,7.17
X12_3N,2012,Control,Glicopéptidos,451.12
X12_3N,2012,Control,Rifamicinas,243.92
X12_3N,2012,Control,MLS,9.42
X12_3N,2012,Control,Tetraciclinas,14.2
X12_3N,2012,Control,Aminoglucósidos,27.91
X12_3N,2012,Control,Betalactámicos,49.69
X12_6N,2012,Control,Glicopéptidos,382.6
X12_6N,2012,Control,Rifamicinas,308.79
X12_6N,2012,Control,MLS,10.78
X12_6N,2012,Control,Tetraciclinas,13.79
X12_6N,2012,Control,Aminoglucósidos,20.56
X12_6N,2012,Control,Betalactámicos,8.81
X13_10N,2013,Calentamiento,Glicopéptidos,452.53
X13_10N,2013,Calentamiento,Rifamicinas,229.62
X13_10N,2013,Calentamiento,MLS,9.29
X13_10N,2013,Calentamiento,Tetraciclinas,10.28
X13_10N,2013,Calentamiento,Aminoglucósidos,23.68
X13_10N,2013,Calentamiento,Betalactámicos,15.52
X13_16N,2013,Calentamiento,Glicopéptidos,580.03
X13_16N,2013,Calentamiento,Rifamicinas,274.58
X13_16N,2013,Calentamiento,MLS,12.8
X13_16N,2013,Calentamiento,Tetraciclinas,12.32
X13_16N,2013,Calentamiento,Aminoglucósidos,14.56
X13_16N,2013,Calentamiento,Betalactámicos,8.26
X13_19N,2013,Control,Glicopéptidos,360.3
X13_19N,2013,Control,Rifamicinas,195.03
X13_19N,2013,Control,MLS,5.51
X13_19N,2013,Control,Tetraciclinas,7.3
X13_19N,2013,Control,Aminoglucósidos,17.6
X13_19N,2013,Control,Betalactámicos,4.1
X13_1N,2013,Calentamiento,Glicopéptidos,406.03
X13_1N,2013,Calentamiento,Rifamicinas,261.18
X13_1N,2013,Calentamiento,MLS,15.68
X13_1N,2013,Calentamiento,Tetraciclinas,13.59
X13_1N,2013,Calentamiento,Aminoglucósidos,23.73
X13_1N,2013,Calentamiento,Betalactámicos,12.67
X13_20N,2013,Calentamiento,Glicopéptidos,370.63
X13_20N,2013,Calentamiento,Rifamicinas,243.83
X13_20N,2013,Calentamiento,MLS,11.47
X13_20N,2013,Calentamiento,Tetraciclinas,9.45
X13_20N,2013,Calentamiento,Aminoglucósidos,15.79
X13_20N,2013,Calentamiento,Betalactámicos,14.96
X13_23N,2013,Control,Glicopéptidos,373.77
X13_23N,2013,Control,Rifamicinas,227.94
X13_23N,2013,Control,MLS,10.29
X13_23N,2013,Control,Tetraciclinas,13.8
X13_23N,2013,Control,Aminoglucósidos,25.89
X13_23N,2013,Control,Betalactámicos,50.44
X13_3N,2013,Control,Glicopéptidos,427.04
X13_3N,2013,Control,Rifamicinas,240.21
X13_3N,2013,Control,MLS,11.57
X13_3N,2013,Control,Tetraciclinas,10.52
X13_3N,2013,Control,Aminoglucósidos,21.97
X13_3N,2013,Control,Betalactámicos,49.71
X13_6N,2013,Control,Glicopéptidos,482.2
X13_6N,2013,Control,Rifamicinas,274.59
X13_6N,2013,Control,MLS,11.21
X13_6N,2013,Control,Tetraciclinas,7.03
X13_6N,2013,Control,Aminoglucósidos,16.79
X13_6N,2013,Control,Betalactámicos,8.69
X14_10N,2014,Calentamiento,Glicopéptidos,494.97
X14_10N,2014,Calentamiento,Rifamicinas,214.14
X14_10N,2014,Calentamiento,MLS,6.0
X14_10N,2014,Calentamiento,Tetraciclinas,7.75
X14_10N,2014,Calentamiento,Aminoglucósidos,15.37
X14_10N,2014,Calentamiento,Betalactámicos,10.56
X14_16N,2014,Calentamiento,Glicopéptidos,477.86
X14_16N,2014,Calentamiento,Rifamicinas,422.13
X14_16N,2014,Calentamiento,MLS,26.79
X14_16N,2014,Calentamiento,Tetraciclinas,47.94
X14_16N,2014,Calentamiento,Aminoglucósidos,29.33
X14_16N,2014,Calentamiento,Betalactámicos,23.88
X14_19N,2014,Control,Glicopéptidos,371.25
X14_19N,2014,Control,Rifamicinas,230.98
X14_19N,2014,Control,MLS,12.75
X14_19N,2014,Control,Tetraciclinas,12.18
X14_19N,2014,Control,Aminoglucósidos,23.81
X14_19N,2014,Control,Betalactámicos,30.87
X14_1N,2014,Calentamiento,Glicopéptidos,476.82
X14_1N,2014,Calentamiento,Rifamicinas,326.3
X14_1N,2014,Calentamiento,MLS,6.92
X14_1N,2014,Calentamiento,Tetraciclinas,14.83
X14_1N,2014,Calentamiento,Aminoglucósidos,18.62
X14_1N,2014,Calentamiento,Betalactámicos,14.17
X14_20N,2014,Calentamiento,Glicopéptidos,578.39
X14_20N,2014,Calentamiento,Rifamicinas,330.6
X14_20N,2014,Calentamiento,MLS,15.0
X14_20N,2014,Calentamiento,Tetraciclinas,9.62
X14_20N,2014,Calentamiento,Aminoglucósidos,11.86
X14_20N,2014,Calentamiento,Betalactámicos,4.14
X14_23N,2014,Control,Glicopéptidos,401.9
X14_23N,2014,Control,Rifamicinas,209.76
X14_23N,2014,Control,MLS,7.73
X14_23N,2014,Control,Tetraciclinas,9.46
X14_23N,2014,Control,Aminoglucósidos,22.09
X14_23N,2014,Control,Betalactámicos,9.01
X14_3N,2014,Control,Glicopéptidos,432.36
X14_3N,2014,Control,Rifamicinas,226.86
X14_3N,2014,Control,MLS,9.22
X14_3N,2014,Control,Tetraciclinas,20.67
X14_3N,2014,Control,Aminoglucósidos,19.93
X14_3N,2014,Control,Betalactámicos,7.65
X14_6N,2014,Control,Glicopéptidos,265.21
X14_6N,2014,Control,Rifamicinas,146.28
X14_6N,2014,Control,MLS,3.32
X14_6N,2014,Control,Tetraciclinas,6.19
X14_6N,2014,Control,Aminoglucósidos,14.27
X14_6N,2014,Control,Betalactámicos,5.25
X15_10N,2015,Calentamiento,Glicopéptidos,403.54
X15_10N,2015,Calentamiento,Rifamicinas,254.66
X15_10N,2015,Calentamiento,MLS,16.54
X15_10N,2015,Calentamiento,Tetraciclinas,15.86
X15_10N,2015,Calentamiento,Aminoglucósidos,22.06
X15_10N,2015,Calentamiento,Betalactámicos,18.54
X15_16N,2015,Calentamiento,Glicopéptidos,502.65
X15_16N,2015,Calentamiento,Rifamicinas,341.09
X15_16N,2015,Calentamiento,MLS,16.03
X15_16N,2015,Calentamiento,Tetraciclinas,15.42
X15_16N,2015,Calentamiento,Aminoglucósidos,28.62
X15_16N,2015,Calentamiento,Betalactámicos,18.15
X15_19N,2015,Control,Glicopéptidos,379.24
X15_19N,2015,Control,Rifamicinas,150.0
X15_19N,2015,Control,MLS,4.81
X15_19N,2015,Control,Tetraciclinas,4.47
X15_19N,2015,Control,Aminoglucósidos,23.55
X15_19N,2015,Control,Betalactámicos,40.92
X15_1N,2015,Calentamiento,Glicopéptidos,393.98
X15_1N,2015,Calentamiento,Rifamicinas,264.91
X15_1N,2015,Calentamiento,MLS,16.54
X15_1N,2015,Calentamiento,Tetraciclinas,17.08
X15_1N,2015,Calentamiento,Aminoglucósidos,26.66
X15_1N,2015,Calentamiento,Betalactámicos,24.62
X15_20N,2015,Calentamiento,Glicopéptidos,417.76
X15_20N,2015,Calentamiento,Rifamicinas,195.0
X15_20N,2015,Calentamiento,MLS,7.43
X15_20N,2015,Calentamiento,Tetraciclinas,5.77
X15_20N,2015,Calentamiento,Aminoglucósidos,10.38
X15_20N,2015,Calentamiento,Betalactámicos,5.47
X15_23N,2015,Control,Glicopéptidos,355.63
X15_23N,2015,Control,Rifamicinas,168.95
X15_23N,2015,Control,MLS,5.42
X15_23N,2015,Control,Tetraciclinas,8.69
X15_23N,2015,Control,Aminoglucósidos,19.44
X15_23N,2015,Control,Betalactámicos,15.94
X15_3N,2015,Control,Glicopéptidos,244.31
X15_3N,2015,Control,Rifamicinas,146.2
X15_3N,2015,Control,MLS,5.34
X15_3N,2015,Control,Tetraciclinas,6.0
X15_3N,2015,Control,Aminoglucósidos,18.41
X15_3N,2015,Control,Betalactámicos,4.78
X15_6N,2015,Control,Glicopéptidos,235.46
X15_6N,2015,Control,Rifamicinas,175.57
X15_6N,2015,Control,MLS,5.9
X15_6N,2015,Control,Tetraciclinas,8.05
X15_6N,2015,Control,Aminoglucósidos,16.39
X15_6N,2015,Control,Betalactámicos,5.06
X16_10N,2016,Calentamiento,Glicopéptidos,427.03
X16_10N,2016,Calentamiento,Rifamicinas,270.08
X16_10N,2016,Calentamiento,MLS,12.85
X16_10N,2016,Calentamiento,Tetraciclinas,18.12
X16_10N,2016,Calentamiento,Aminoglucósidos,36.16
X16_10N,2016,Calentamiento,Betalactámicos,18.56
X16_16N,2016,Calentamiento,Glicopéptidos,689.37
X16_16N,2016,Calentamiento,Rifamicinas,443.05
X16_16N,2016,Calentamiento,MLS,14.58
