analysis_id,sample_id,date_mean_bp,date_info,site,paper
D_GoughsCave1_14269,M13794,14269,VIE-1402,"Goughs Cave, UK",This study
D_Padina1_11500-8300,PAD 11.70/170/1,,,"Padina, Serbia",This study
D_Padina2_c8100,PAD 7.70/182/14,,,"Padina, Serbia",This study
D_Padina3_8300-7900,PAD 7.70/224/1,,,"Padina, Serbia",This study
D_Padina4_c8100,PAD 8.70/268/1,,,"Padina, Serbia",This study
D_Padina5_c8100,PAD 8.70/243/1,,,"Padina, Serbia",This study
D_Pinarbasi1_15787,D004924,15787,UCIAMS.297865,"Pinarbasi, Türkiye",This study
D_Pinarbasi2_15837,AL2921/ D004922,15837,OxA-38685,"Pinarbasi, Türkiye",This study
D_Pinarbasi3_15062,PB04 BIB 115 #4057 20L,12638,OxA-38686,"Pinarbasi, Türkiye",This study
D_Pinarbasi4_14865,PB04 25/8/04,12551,OxA-38738,"Pinarbasi, Türkiye",This study
D_Vlasac1_9500-8300 ,VL 224 x-find 5/1,,,"Vlasac, Serbia",This study
D_Vlasac2_c8650,LMU_VLA_KOB_35a_A,,,"Vlasac, Serbia",This study
D_Vlasac3_c8650,VL 216 x-find 7,,,"Vlasac, Serbia",This study
D_Vlasac4_c8650,VL233X-FIND10,,,"Vlasac, Serbia",This study
D_Wezmeh1_1532,WZ77,1532,VIE-1084,"Wezmeh, Iran",This study
W_GrottaContinenza1_c12000,Taglio38,12000,,"Grotta Continenza, Italy",This study
W_Wezmeh1_2708,WZ190,2708,VIE-1085,"Wezmeh, Iran",This study
01.P09.B1.1077_Chukotka_Russia_A1b_1060,01.P09.B1.1077,1060,,"Pajpel'gak, Chukotka, Russia",Ameen et al. 2019
03.P04.H1.1024_Chukotka_Russia_Xclade_1000,03.P04.H1.1024,1000,,"Pajpel'gak, Chukotka, Russia",Ameen et al. 2019
08.P05.H2.961_Russia_A1b_1060,08.P05.H2.961,1060,,"Pajpel'gak, Chukotka, Russia",Ameen et al. 2019
09.P05.H2.894_Russia_A1b_600,09.P05.H2.894,600,,"Pajpel'gak, Chukotka, Russia",Ameen et al. 2019
2009-32-3316_Iceland_A2a_300,2009-32-3316,300,,"Alþingisreitur, Reykjavík, Iceland",Ameen et al. 2019
31.KM90.2/2.307_Russia_A2b_600,31.KM90.2/2.307,600,,"Pajpel'gak, Chukotka, RUssia",Ameen et al. 2019
560028-21_Alaska_A2b_1700,560028-21,1700,,"Uyak, Kodiak Island, Alaska, USA",Ameen et al. 2019
5MT316_Colorado_A2b_1250,5MT316,1250,,"Grass Mesa, Colorado, USA",Ní Leathlobhair et al. 2018
5MT501_Colorado_A2b_900,5MT501,900,,"Yellow Jacket Pueblo, Colorado, USA",Ní Leathlobhair et al. 2018
5MT520_Colorado_A2b_1200,5MT520,1200,,"McPhee Pueblo, Colorado, USA",Ní Leathlobhair et al. 2018
AL3007_Russia_Xclade_0,AL3007,0,,"Kamchatka, Russia",Bergstrom et al. 2020
AM310A_Indiana_A2b_1000,AM310A,1000,,"Angel Mounds, Indiana",Ní Leathlobhair et al. 2018
AM310B_Indiana_A2b_1000,AM310B,1000,,"Angel Mounds, Indiana",Ní Leathlobhair et al. 2018
AM310C_Indiana_A2b_1000,AM310C,1000,,"Angel Mounds, Indiana",Ní Leathlobhair et al. 2018
