analysis_id,species,group,site,country,lat,lon,age_bp,radiocarbon_age_bp,error_bp,calibrated_age_bp,mitochondrial_haplotype,depth_coverage
D_GoughsCave1_14269,Dog,Ancient_European_Dogs,GoughsCave,United Kingdom,51.2817,-2.76559,14269,12295,30,14269,C5,1.68
D_Pinarbasi1_15787,Dog,Ancient_African_NearEast_India_Dogs,Pinarbasi, Türkiye,37.4939,33.0192,15837,13193,51,15787,C5,1.32
D_Padina1_11500-8300,Dog,Ancient_European_Dogs,Padina,Serbia,45.119167,20.722997,c.11500-8300,,,,C4,0.17
D_Padina3_8300-7900,Dog,Ancient_European_Dogs,Padina,Serbia,45.119167,20.722997,8300-7900,,,,C4,0.07
D_Vlasac1_9500-8300 ,Dog,Ancient_European_Dogs,Vlasac,Serbia,43.605833,20.741389,c.9500-8300 ,,,,C4,0.1
D_Wezmeh1_1532,Dog,Ancient_African_NearEast_India_Dogs,Wezmeh,Iran,34.33,38.52,1532,1650,15,1532,A1a,0.11
W_GoughsCave1_14297,Wolf,Ancient_Pleistocene_Wolves,GoughsCave,United Kingdom,51.2817,-2.76559,14297,12305,30,14297,D,0.06
W_Wezmeh1_2708,Wolf,Ancient_Western_Eurasian_Wolves,Wezmeh,Iran,34.33,38.52,2708,2555,15,2708,X,3.01
D_Ajvide1_4800,Dog,Ancient_European_Dogs,Ajvide,Sweden,57.17,18.12,4800,,,,,2.21
D_Ajvide2_4800,Dog,Ancient_European_Dogs,Ajvide,Sweden,57.17,18.12,4800,,,,,0.57
D_AlymasPodunavlje1_4500,Dog,Ancient_European_Dogs,AlymasPodunavlje,Croatia,45.53,18.95,4500,,,,,1.62
D_Amur1_93,Dog,Ancient_Arctic_Dogs,Amur,Russia,51.7,139.6,93,,,,,0.44
D_Amur2_93,Dog,Ancient_Arctic_Dogs,Amur,Russia,50.9,137.6,93,,,,,1.38
D_Apalle1_3100,Dog,Ancient_European_Dogs,Apalle,Sweden,59.7,17.6,3100,,,,,0.78
D_Ashkelon1_2300,Dog,Ancient_African_NearEast_India_Dogs,Ashkelon,Israel,31.67,34.57,2300,,,,,2.61
D_Ashkelon2_2300,Dog,Ancient_African_NearEast_India_Dogs,Ashkelon,Israel,31.67,34.57,2300,,,,,1.94
D_Ashkelon3_2300,Dog,Ancient_African_NearEast_India_Dogs,Ashkelon,Israel,31.67,34.57,2300,,,,,2.3
D_Balto_83,Dog,Ancient_Arctic_Dogs,Balto,USA,64.503889,-165.399444,83,,,,,
D_BelverdeDiCetona1_4000,Dog,Ancient_European_Dogs,BelverdeDiCetona,Italy,42.96,11.9,4000,,,,,1.81
