data_group,n_samples,SE,z_score,p_value,auc
All samples,78,SE7,-4.49,3.12574493306756e-06,0.796296296296296
All samples,78,SE8,-3.64,0.000204356289337178,0.740079365079365
All samples,78,SE2,-0.601,0.552987860076354,0.53968253968254
All samples,78,SE5,2.07,0.0379760087804156,0.636904761904762
All samples,78,SE1,2.43,0.0149052423354025,0.66005291005291
All samples,78,SE3,2.94,0.00301795202356119,0.693783068783069
All samples,78,SE9,3.66,0.00018747909256799,0.741402116402116
All samples,78,SE4,3.88,7.00301682455504e-05,0.755952380952381
Therapy: Anti-CTLA-4 & Anti-PD-1,43,SE7,-2.81,0.00422559907333287,0.759259259259259
Therapy: Anti-CTLA-4 & Anti-PD-1,43,SE8,-2.19,0.0286037878656922,0.701388888888889
Therapy: Anti-CTLA-4 & Anti-PD-1,43,SE4,2.44,0.014123712418218,0.724537037037037
Therapy: Anti-PD-1,30,SE7,-2.82,0.00387052922995478,0.805429864253394
Therapy: Anti-PD-1,30,SE8,-2.62,0.00797522708988029,0.782805429864253
Therapy: Anti-PD-1,30,SE4,2.41,0.0153824173961474,0.760180995475113
Subtype: Sun-exposed,48,SE7,-3.52,0.00025759770842497,0.810246679316888
Subtype: Sun-exposed,48,SE8,-3.16,0.00120981222028434,0.777988614800759
Subtype: Sun-exposed,48,SE4,2.71,0.00614817963796079,0.738140417457306
BRAF: wild type,38,SE7,-2.87,0.00333261179023757,0.782738095238095
BRAF: wild type,38,SE8,-2.15,0.0316217543061267,0.711309523809524
BRAF: wild type,38,SE4,3.3,0.000622715581062833,0.824404761904762
BRAF: mutant,27,SE7,-2.47,0.0124673576524431,0.78021978021978
BRAF: mutant,27,SE8,-2.04,0.0426526674743124,0.730769230769231
BRAF: mutant,27,SE4,2.28,0.0222209260007079,0.758241758241758
Age >=65,42,SE7,-3.35,0.000527189076592304,0.814814814814815
Age >=65,42,SE8,-3.27,0.000738009895564704,0.807407407407407
Age >=65,42,SE4,3.08,0.0015510784896832,0.790123456790123
Age <65,36,SE7,-2.62,0.0081126602905206,0.758730158730159
Age <65,36,SE8,-2.07,0.0388864851111906,0.704761904761905
Age <65,36,SE4,2.42,0.0147214084867175,0.73968253968254
Male,53,SE7,-3.2,0.00109814704144784,0.757183908045977
Male,53,SE8,-2,0.0456975743602665,0.660919540229885
Male,53,SE4,2.29,0.0218178577094958,0.683908045977011
Female,25,SE8,-3.37,0.00034382631771244,0.897435897435897
Female,25,SE7,-2.88,0.002995211814703,0.83974358974359
Female,25,SE4,3.43,0.000259215814472242,0.903846153846154
