cancer,sample,SE1,SE2,SE3,SE4,SE5,SE6,SE7,SE8,SE9
BLCA,TCGA-2F-A9KO-01,0.194887247417146,0.0542552893862014,0.095428699244568,0.0609443957855042,0.0537138081964659,0.0704192259398797,0.232712145255711,0.1509006244265,0.0376237715440655
BLCA,TCGA-2F-A9KP-01,0.159785336833307,0.0229241963024998,0.18610199145613,0.0891976975016905,3.31562980087859e-16,0.181226872759958,0.0426575272118438,0.0171936530371182,0.134354088924803
BLCA,TCGA-2F-A9KQ-01,0.0944381612906936,0.0882652942186608,0.100052759556703,0.0909230789988402,0.0350723647522961,0.126179761776863,0.00240273567031919,0.0646967208332414,0.238251422766222
BLCA,TCGA-2F-A9KR-01,0.0901425579044433,0.100477789246091,0.339837924520376,0.057972692826999,0.00950968250278195,0.108931536636813,0.0628244236024584,0.0168594452295118,0.0632440550838987
BLCA,TCGA-2F-A9KT-01,0.0383337558281024,0.133723430203976,0.0958913567325573,0.0869660217937106,0.163044011992026,0.14591170153096,0.0247217565701458,0.0374498098990714,0.128630389104546
BLCA,TCGA-2F-A9KW-01,0.0604335256454826,0.125127194529066,0.0124475996246458,0.159908065635506,0.0260577859302214,0.147979049246188,0.0545376785302337,0.0686811084264541,0.275501917375662
BLCA,TCGA-4Z-AA7M-01,0.125977232511137,0.0477537835149496,0.295489973846263,0.0373547058620898,0.0781739321904899,0.136026177175638,3.09640687435462e-16,0.0810824331521518,0.0747358752245611
BLCA,TCGA-4Z-AA7N-01,0.200541258495102,0.0412850604600327,0.120871104341294,0.109500167356123,0.0651798450017615,0.139127059939255,0.0811906815784343,0.134861488090121,0.0809453310082987
BLCA,TCGA-4Z-AA7O-01,0.159917197771673,0.0285219656752176,0.0763293850793117,0.0869008513271633,0.0640616625854662,0.111283035187424,0.146482673874658,0.12254933497041,0.103530114822952
BLCA,TCGA-4Z-AA7Q-01,0.104977215893933,0.097953266771775,0.0509105531550195,0.0514536500398721,0.0180881826869621,0.0738786866064207,0.281817118951774,0.182932208414401,0.0517208685379577
BLCA,TCGA-4Z-AA7R-01,0.0770658944010327,0.0861632015559627,0.0745804823488787,0.110345274425617,0.0939288277237322,0.156207179949794,2.90013026736858e-16,0.0892214265368831,0.195162264948359
BLCA,TCGA-4Z-AA7S-01,0.161159781773617,0.0925751861796068,0.101471940034058,0.0488934630547423,5.35075715651334e-15,0.13259830727802,0.0143129588332246,0.085992843069549,0.151499839413313
BLCA,TCGA-4Z-AA7W-01,0.0784722136605686,0.120869005334906,1.68336498583325e-16,0.0236417017421976,0.046342251401845,0.107213806388275,0.287156548319947,0.248308793474619,0.0147468805694302
