r_pc_mean,v_rms_mean,v_rms_sem,n_bins
59.6,458.7,4.8,4
115.5,417.2,9.1,2
172.9,425.4,8.0,15
304.4,381.9,6.3,52
506.2,380.3,6.2,55
826.9,376.4,6.8,50
1423.8,372.4,11.5,21
2392.6,386.1,7.2,11
