bin,V,V_err,sigma,sigma_err,v_rms,v_rms_err,x_src,y_src,r_src,r_pc,n_spaxels
0,-109.09,12.4,436.58,13.99,450.0,13.9,-0.0064,0.0051,0.0082,68.4,1
1,0.74,15.23,444.14,16.69,444.14,16.69,0.0053,-0.0173,0.0181,151.7,1
2,2.87,14.22,466.4,15.41,466.41,15.41,0.0029,-0.0056,0.0063,53.1,1
3,-121.46,13.56,453.87,14.48,469.84,14.42,-0.0087,0.0168,0.0189,158.9,1
4,94.09,15.76,436.31,17.06,446.34,17.0,0.0145,-0.0281,0.0316,265.3,1
5,99.3,17.61,426.81,18.35,438.21,18.31,0.0169,-0.0397,0.0431,362.1,1
6,24.93,16.2,443.19,17.79,443.89,17.79,0.0077,-0.029,0.03,251.8,1
7,146.62,15.78,381.28,16.97,408.5,16.82,0.0251,-0.0626,0.0674,565.9,2
8,-88.66,14.06,441.79,15.44,450.6,15.39,-0.004,-0.0067,0.0078,65.7,1
9,-26.14,15.95,466.88,16.65,467.61,16.65,0.0007,0.0061,0.0061,51.1,1
10,-196.14,13.25,410.11,14.52,454.6,14.29,-0.0181,0.0274,0.0328,275.3,1
11,-143.58,15.31,447.45,16.6,469.92,16.48,-0.0109,0.0285,0.0305,256.4,1
12,-220.95,12.99,400.53,14.27,457.43,13.98,-0.0204,0.0392,0.0441,370.5,1
13,127.06,15.61,434.56,16.57,452.75,16.5,0.0122,-0.0165,0.0205,172.2,1
14,-235.35,13.36,383.48,14.67,449.94,14.32,-0.0226,0.0509,0.0557,467.6,1
15,-159.86,12.61,408.02,14.03,438.22,13.85,-0.0158,0.0155,0.0221,185.7,1
16,,,,,,,-0.0015,0.0177,0.0177,148.9,1
17,-140.59,15.55,406.25,16.89,429.89,16.75,-0.0131,0.0402,0.0423,354.9,1
18,-270.16,11.73,355.49,13.26,446.5,12.72,-0.0321,0.0614,0.0693,581.9,1
19,-254.0,12.39,340.49,13.89,424.79,13.37,-0.0299,0.0496,0.0579,485.9,1
20,-208.91,13.79,355.65,15.13,412.47,14.8,-0.0247,0.0627,0.0674,565.5,1
21,-282.94,13.34,338.95,14.9,441.52,14.28,-0.0343,0.0733,0.0809,679.0,1
22,,,,,,,0.01,-0.0049,0.0111,93.4,1
23,-257.76,12.82,323.38,14.21,413.54,13.69,-0.0423,0.0962,0.1051,882.3,2
24,-111.27,14.38,394.28,16.05,409.68,15.93,-0.0152,0.0519,0.054,453.5,1
