peak_SB_Lsun_pc2,sigma_arcsec,q,component,sigma_pc
392605.5,0.007125,0.183473,luminosidad_F200W,59.8
95693.54,0.032312,0.183473,luminosidad_F200W,271.2
41973.56,0.040437,0.599997,luminosidad_F200W,339.4
40595.99,0.058513,0.599997,luminosidad_F200W,491.1
1606.021,0.11114,0.183473,luminosidad_F200W,932.8
12327.65,0.25527,0.183473,luminosidad_F200W,2142.4
414.0812,0.28555,0.599997,luminosidad_F200W,2396.6
1819.751,0.49984,0.183473,luminosidad_F200W,4195.0
1040.093,0.61534,0.183473,luminosidad_F200W,5164.4
211.796,0.68977,0.599997,luminosidad_F200W,5789.1
443109.2,0.007,0.206726,masa_estelar,58.7
57139.93,0.024034,0.206726,masa_estelar,201.7
35179.87,0.037323,0.206726,masa_estelar,313.2
50518.44,0.029126,0.602986,masa_estelar,244.4
52801.5,0.057075,0.602986,masa_estelar,479.0
2718.975,0.12701,0.206726,masa_estelar,1066.0
7661.505,0.2726,0.206726,masa_estelar,2287.9
2183.734,0.54929,0.206726,masa_estelar,4610.1
175.9596,0.73387,0.602986,masa_estelar,6159.2
