full_name,e,a,i_deg,q_au,A1,A2,A3,tisserand_J
C/1942 EA (Vaisala),0.9341,19.53,38.0,1.287,,,,1.3565
C/1960 Y1 (Candy),0.9303,15.03,151.17,1.047,,,,-0.746
D/1978 R1 (Haneda-Campos),0.6652,3.29,5.95,1.101,,,,2.7627
C/1989 A3 (Bradfield),0.9781,19.2,83.06,0.421,,,,0.3676
C/1991 L3 (Levy),0.9289,13.81,19.19,0.983,,,,1.5163
P/1999 J6 (SOHO),0.9842,3.099,26.63,0.049,4.9e-07,-1.9e-09,,1.9235
P/1999 RO28 (LONEOS),0.6501,3.525,8.19,1.233,,,,2.7143
C/2001 OG108 (LONEOS),0.9253,13.3,80.25,0.994,,,,0.5966
C/2001 W2 (BATTERS),0.9414,17.93,115.91,1.051,,,,-0.2569
C/2002 R5 (SOHO),0.9853,3.216,14.12,0.047,,,,1.8786
P/2002 S7 (SOHO),0.9848,3.224,13.58,0.049,,,,1.8799
P/2003 T12 (SOHO),0.7762,2.568,11.48,0.575,,,,2.8945
P/2005 T4 (SWAN),0.9304,9.324,160.04,0.649,,,,-0.3642
P/2006 HR30 (Siding Spring),0.8431,7.818,31.88,1.226,,,,1.785
P/2007 T2 (Kowalski),0.775,3.093,9.9,0.696,1.3e-08,2.4e-09,,2.6424
P/2008 Y12 (SOHO),0.9788,3.078,23.35,0.065,,,,1.9799
P/2009 WX51 (Catalina),0.7403,3.08,9.59,0.8,,,,2.7095
C/2010 L5 (WISE),0.9042,8.26,147.05,0.791,,,,-0.2731
C/2011 S2 (Kowalski),0.9316,16.31,17.57,1.115,,,,1.546
P/2012 NJ (La Sagra),0.8481,8.503,84.38,1.292,,,,0.7446
P/2015 A3 (PANSTARRS),0.8459,7.482,172.51,1.153,,,,-0.5726
C/2015 D1 (SOHO),0.9943,4.989,69.62,0.028,1.2e-06,,,1.1158
C/2015 F5 (SWAN-Xingming),0.9777,15.55,149.26,0.346,,,,-0.2894
C/2015 X8 (NEOWISE),0.9391,19.55,155.28,1.19,,-4.5e-07,,-0.9439
P/2017 Y3 (Leonard),0.8707,9.865,27.59,1.275,,,,1.7278
C/2019 Y4-D (ATLAS),0.9887,22.58,44.82,0.255,,,,0.6735
P/2020 G1 (Pimentel),0.8596,3.603,18.47,0.506,,,,2.2508
C/2020 M3 (ATLAS),0.9527,26.82,23.47,1.268,,,,1.4598
C/2020 P4-B,0.9092,1.02,28.15,0.093,,,,5.4268
C/2020 P4-C,0.9394,1.391,37.56,0.084,,,,4.0221
P/2021 HS (PANSTARRS),0.8102,4.196,12.17,0.796,,,,2.2692
P/2021 N1 (ZTF),0.6765,2.979,11.5,0.964,,,,2.8389
P/2021 PE20 (ATLAS),0.6708,3.746,20.02,1.233,,,,2.5716
P/2021 Q5 (ATLAS),0.624,3.283,10.73,1.234,,,,2.8047
C/2023 E1 (ATLAS),0.9469,19.33,38.31,1.027,3.4e-09,-3e-10,2.1e-09,1.2417
C/2023 S3 (Lemmon),0.9708,28.47,140.5,0.83,,,,-0.6831
P/2024 OC2 (PANSTARRS),0.7742,2.626,7.67,0.593,,,,2.8728
