full_name,e,a,i_deg,q_au,A1,A2,A3,pha,tisserand_J
433 Eros (A898 PA),0.2229,1.458,10.83,1.133,,,,N,4.5828
719 Albert (A911 TB),0.5466,2.637,11.57,1.196,,,,N,3.1414
887 Alinda (A918 AA),0.5711,2.474,9.4,1.061,,,,N,3.2202
1036 Ganymed (A924 UB),0.5335,2.664,26.69,1.243,,,,N,3.0347
1221 Amor (1932 EA1),0.4347,1.92,11.87,1.085,,-7.2e-15,,N,3.781
1566 Icarus (1949 MA),0.827,1.078,22.8,0.186,,-3.7e-15,,Y,5.2991
1580 Betulia (1950 KA),0.4876,2.195,52.19,1.125,,-3e-15,,N,3.066
1620 Geographos (1951 RA),0.3355,1.246,13.34,0.828,,-3.7e-15,,Y,5.0735
1627 Ivar (1929 SH),0.3973,1.863,8.46,1.123,,1.8e-15,,N,3.8795
1685 Toro (1948 OA),0.436,1.368,9.38,0.771,,-2.4e-15,,N,4.7145
1862 Apollo (1932 HA),0.5602,1.471,6.35,0.647,,-3.7e-15,,Y,4.413
1863 Antinous (1948 EA),0.6062,2.259,18.38,0.89,,,,N,3.2981
1864 Daedalus (1971 FA),0.6145,1.461,22.22,0.563,,,,N,4.3358
1865 Cerberus (1971 UA),0.4669,1.08,16.1,0.576,,-4.3e-15,,N,5.5925
1866 Sisyphus (1972 XA),0.5381,1.893,41.21,0.875,,,,N,3.5139
1915 Quetzalcoatl (1953 EA),0.5703,2.545,20.4,1.094,,,,N,3.1216
1916 Boreas (1953 RA),0.4491,2.273,12.88,1.252,,,,N,3.4407
1917 Cuyo (1968 AA),0.5054,2.149,23.96,1.063,,,,N,3.435
1943 Anteros (1973 EC),0.2562,1.431,8.71,1.064,,,,N,4.6386
1980 Tezcatlipoca (1950 LA),0.3647,1.71,26.87,1.086,,,,N,3.9954
1981 Midas (1973 EA),0.6504,1.776,39.82,0.621,,,,Y,3.6117
2059 Baboquivari (1963 UA),0.5314,2.642,11.02,1.238,,,,N,3.1546
2061 Anza (1960 UA),0.5359,2.265,3.8,1.051,,,,N,3.409
2062 Aten (1976 AA),0.1829,0.967,18.94,0.79,,-1.1e-14,,N,6.1831
2063 Bacchus (1977 HB),0.3492,1.078,9.43,0.701,,-8.1e-15,,N,5.6687
2100 Ra-Shalom (1978 RA),0.4365,0.832,15.76,0.469,,-5.2e-15,,N,6.947
2101 Adonis (1936 CA),0.7641,1.874,1.32,0.442,,-3.3e-14,,Y,3.5509
2102 Tantalus (1975 YA),0.2994,1.29,64.0,0.904,,,,Y,4.4505
2135 Aristaeus (1977 HA),0.5031,1.6,23.07,0.795,,,,Y,4.1342
2201 Oljato (1947 XC),0.7109,2.179,2.52,0.63,,,,Y,3.2975
2202 Pele (1972 RA),0.5128,2.291,8.74,1.116,,,,N,3.3975
2212 Hephaistos (1978 SB),0.8346,2.167,11.2,0.358,,,,N,3.0988
2329 Orthos (1976 WA),0.6532,2.412,24.5,0.837,,,,N,3.0956
2340 Hathor (1976 UA),0.45,0.8437,5.86,0.464,,-3e-14,,Y,6.8832
2368 Beltrovata (1977 RA),0.4135,2.105,5.22,1.235,,,,N,3.6255
2608 Seneca (1978 DA),0.5647,2.531,14.43,1.101,,,,N,3.1708
3102 Krok (1981 QA),0.4492,2.151,8.44,1.185,,,,N,3.5556
3103 Eger (1982 BB),0.3541,1.404,20.93,0.907,,-4.9e-15,,N,4.6138
3122 Florence (1981 ET3),0.4232,1.769,22.14,1.02,,,,Y,3.9203
3199 Nefertiti (1982 RA),0.2841,1.575,32.96,1.127,,,,N,4.1892
3200 Phaethon (1983 TB),0.8897,1.271,22.31,0.14,,-6.1e-15,,Y,4.5117
3271 Ul (1982 RB),0.3954,2.103,25.08,1.271,,,,N,3.5322
3288 Seleucus (1982 DV),0.4545,2.034,5.93,1.11,,,,N,3.6662
3352 McAuliffe (1981 CW),0.3691,1.879,4.77,1.185,,,,N,3.8825
3360 Syrinx (1981 VA),0.7483,2.465,21.01,0.62,,,,N,2.9635
3361 Orpheus (1982 HR),0.3228,1.209,2.65,0.819,,2e-14,,Y,5.2156
3362 Khufu (1984 QA),0.4685,0.9895,9.92,0.526,,,,Y,6.018
3551 Verenia (1983 RD),0.4868,2.093,9.51,1.074,,,,N,3.579
3552 Don Quixote (1983 SA),0.7074,4.271,31.05,1.25,,,,N,2.3156
3553 Mera (1985 JA),0.32,1.645,36.77,1.118,,,,N,4.0168
3554 Amun (1986 EB),0.2805,0.9739,23.36,0.701,,,,N,6.1057
3671 Dionysus (1984 KD),0.544,2.197,13.53,1.002,,,,Y,3.4287
3691 Bede (1982 FT),0.2844,1.774,20.35,1.27,,,,N,3.983
3752 Camillo (1985 PA),0.3016,1.414,55.56,0.987,,,,N,4.2423
3753 Cruithne (1986 TO),0.5149,0.9978,19.8,0.484,,,,N,5.9216
3757 Anagolay (1982 XB),0.4458,1.835,3.87,1.017,,,,Y,3.8965
3838 Epona (1986 WA),0.7026,1.505,29.18,0.448,,,,N,4.1259
3908 Nyx (1980 PA),0.459,1.928,2.19,1.043,,1.1e-14,,N,3.7798
3988 Huma (1986 LA),0.3169,1.544,10.77,1.055,,,,N,4.3854
4015 Wilson-Harrington (1979 VA),0.6308,2.627,2.8,0.97,,,,Y,3.0822
4034 Vishnu (1986 PA),0.444,1.059,11.17,0.589,,-3.8e-14,,Y,5.707
4055 Magellan (1985 DO2),0.3259,1.821,23.26,1.227,,,,N,3.8853
4179 Toutatis (1989 AC),0.6246,2.543,0.45,0.955,-3.1e-13,-7.7e-15,,Y,3.1381
4183 Cuno (1959 LM),0.6362,1.981,6.67,0.721,,,,Y,3.5725
4197 Morpheus (1982 TA),0.7725,2.296,12.61,0.522,,,,N,3.0897
4257 Ubasti (1987 QA),0.4683,1.647,40.72,0.876,,,,N,3.913
4341 Poseidon (1987 KF),0.6801,1.834,11.84,0.587,,,,N,3.6893
4401 Aditi (1985 TB),0.5633,2.584,26.62,1.128,,,,N,3.0549
4450 Pan (1987 SY),0.5866,1.442,5.52,0.596,,,,Y,4.4574
4486 Mithra (1987 SB),0.6598,2.205,3.03,0.75,,,,Y,3.3369
4487 Pocahontas (1987 UA),0.2964,1.73,16.41,1.217,,,,N,4.0645
4503 Cleobulus (1989 WM),0.5247,2.704,2.51,1.285,,,,N,3.1506
4544 Xanthus (1989 FB),0.2502,1.042,14.14,0.781,,,,N,5.8343
4581 Asclepius (1989 FC),0.3564,1.021,4.93,0.657,,-3.6e-14,,Y,5.9214
4596 (1981 QB),0.52,2.239,37.08,1.075,,,,N,3.2181
4660 Nereus (1982 DB),0.3587,1.485,1.45,0.952,,1.4e-14,,Y,4.5012
4688 (1980 WF),0.5178,2.233,6.37,1.077,,-3.8e-14,,N,3.4443
4769 Castalia (1989 PB),0.4832,1.063,8.89,0.549,,-8.6e-15,,Y,5.6773
4947 Ninkasi (1988 TJ1),0.1684,1.37,15.65,1.139,,-3.1e-14,,N,4.7724
4953 (1990 MU),0.6576,1.621,24.38,0.555,,,,Y,3.9762
4954 Eric (1990 SQ),0.4492,2.002,17.43,1.102,,,,N,3.6567
4957 Brucemurray (1990 XJ),0.2188,1.566,35.01,1.223,,,,N,4.1998
5011 Ptah (6743 P-L),0.5002,1.636,7.41,0.818,,,,Y,4.1437
5131 (1990 BG),0.5688,1.486,36.45,0.641,,,,N,4.209
5143 Heracles (1991 VL),0.7713,1.835,8.98,0.42,,,,N,3.5825
5189 (1990 UQ),0.4781,1.552,3.58,0.81,,,,Y,4.3104
5324 Lyapunov (1987 SL),0.6073,2.977,19.7,1.169,,,,N,2.8795
5332 Davidaguilar (1990 DA),0.4555,2.164,25.52,1.178,,,,N,3.4409
5370 Taranis (1986 RA),0.6372,3.318,19.18,1.204,,,,N,2.7308
5381 Sekhmet (1991 JY),0.2964,0.9475,48.97,0.667,,5.4e-15,,N,6.0272
5496 (1973 NA),0.6341,2.436,68.01,0.891,,,,N,2.5324
5587 (1990 SB),0.5443,2.4,18.06,1.094,,,,N,3.2515
5590 (1990 VA),0.2801,0.9864,14.18,0.71,,,,N,6.086
5604 (1992 FE),0.4065,0.9299,4.7,0.552,,-6.8e-15,,Y,6.3659
5620 Jasonwheeler (1990 OA),0.4226,2.159,7.87,1.246,,,,N,3.5668
5626 Melissabrucker (1991 FE),0.4545,2.195,3.85,1.197,,,,N,3.5252
5645 (1990 SP),0.3873,1.355,13.5,0.83,,,,N,4.7554
5646 (1990 TR),0.4363,2.144,7.91,1.208,,,,N,3.5713
5653 Camarillo (1992 WD5),0.3045,1.794,6.88,1.248,,,,N,4.0112
5660 (1974 MA),0.7619,1.786,38.15,0.425,,,,N,3.5105
5693 (1993 EA),0.5852,1.271,5.06,0.527,,,,Y,4.8926
5731 Zeus (1988 VP4),0.6525,2.265,11.2,0.787,,,,N,3.2783
5751 Zao (1992 AC),0.4253,2.102,16.07,1.208,,,,N,3.5811
5786 Talos (1991 RC),0.8268,1.082,23.22,0.187,,,,N,5.2809
5797 Bivoj (1980 AA),0.4444,1.894,4.19,1.052,,,,N,3.8255
5828 (1991 AM),0.6949,1.698,30.18,0.518,,,,N,3.7748
5836 (1993 MF),0.5393,2.437,7.93,1.123,,,,N,3.2769
5863 Tara (1983 RB),0.5074,2.221,19.51,1.094,,,,N,3.4043
5869 Tanith (1988 VN4),0.3213,1.812,17.92,1.23,,,,N,3.9352
5879 Almeria (1992 CH1),0.2892,1.625,21.58,1.155,,,,N,4.1972
6037 (1988 EG),0.4996,1.272,3.51,0.636,,,,Y,4.946
6047 (1991 TB1),0.3521,1.455,23.47,0.942,,,,N,4.4844
6050 Miwablock (1992 AE),0.4371,2.202,6.41,1.239,,,,N,3.526
6053 (1993 BW3),0.5283,2.147,21.58,1.013,,,,N,3.438
6063 Jason (1984 KB),0.7625,2.22,4.96,0.527,,,,N,3.1861
6178 (1986 DA),0.585,2.813,4.32,1.167,,,,N,3.0391
6239 Minos (1989 QF),0.4124,1.151,3.94,0.676,,1.2e-14,,Y,5.376
6455 (1992 HE),0.5729,2.24,37.34,0.957,,,,N,3.1782
6456 Golombek (1992 OM),0.4084,2.195,8.23,1.298,,,,N,3.5442
6489 Golevka (1991 JX),0.6191,2.474,2.26,0.943,,-1.2e-14,,Y,3.1855
6491 (1991 OA),0.5918,2.501,6.16,1.021,,,,Y,3.1919
6569 Ondaatje (1993 MO),0.2208,1.626,22.64,1.267,,,,N,4.2067
6611 (1993 VW),0.4846,1.696,8.7,0.874,,,,N,4.0555
7025 (1993 QA),0.315,1.476,12.61,1.011,,,,N,4.5122
7088 Ishtar (1992 AA),0.3902,1.981,8.3,1.208,,,,N,3.7511
7092 Cadmus (1992 LC),0.6938,2.545,17.79,0.779,,,,N,3.0038
7236 (1987 PA),0.5652,2.716,16.8,1.181,,,,N,3.0571
7335 (1989 JA),0.4847,1.772,15.16,0.913,,-2.1e-14,,Y,3.922
7336 Saunders (1989 RS1),0.4822,2.305,7.2,1.193,,,,N,3.4145
7341 (1991 VK),0.5062,1.842,5.41,0.909,,-5.1e-15,,Y,3.8467
7350 (1993 VA),0.3911,1.356,7.26,0.826,,-1.5e-14,,N,4.7697
7358 Oze (1995 YA3),0.5026,2.198,4.66,1.093,,,,N,3.4875
7474 (1992 TC),0.2921,1.566,7.09,1.108,,,,N,4.3643
7480 Norwan (1994 PC),0.3169,1.568,9.45,1.071,,,,N,4.3459
7482 (1994 PC1),0.3295,1.349,33.47,0.904,,,,Y,4.6595
7753 (1988 XB),0.4815,1.467,3.12,0.761,,-1.1e-14,,Y,4.4766
7822 (1991 CS),0.1646,1.123,37.12,0.938,,-8.5e-15,,Y,5.3646
7839 (1994 ND),0.5186,2.165,27.11,1.042,,,,N,3.3854
7888 (1993 UC),0.6632,2.439,26.08,0.821,,,,N,3.054
7889 (1994 LX),0.3463,1.261,36.91,0.825,,,,N,4.8652
7977 (1977 QQ5),0.4661,2.226,25.17,1.188,,,,N,3.3851
8013 Gordonmoore (1990 KA),0.4321,2.2,7.6,1.249,,,,N,3.5278
8014 (1990 MF),0.4564,1.747,1.87,0.95,,-2.2e-14,,Y,4.0092
8034 Akka (1992 LR),0.4094,1.83,2.02,1.081,,,,N,3.925
8035 (1992 TB),0.4624,1.342,28.3,0.722,,,,N,4.6706
8037 (1993 HO1),0.4177,1.987,5.91,1.157,,,,N,3.7358
8176 (1991 WA),0.6433,1.575,39.57,0.562,,,,N,3.9534
8201 (1994 AH2),0.7061,2.54,9.54,0.746,,,,N,3.0245
8507 (1991 CB1),0.5951,1.687,14.61,0.683,,,,N,3.9702
8566 (1996 EN),0.4304,1.506,37.98,0.858,,,,Y,4.2209
8567 (1996 HW1),0.449,2.046,8.45,1.127,,,,N,3.6518
8709 Kadlu (1994 JF1),0.4946,2.521,3.54,1.274,,,,N,3.2717
9058 (1992 JB),0.3598,1.557,16.09,0.997,,,,N,4.3229
9162 Kwiila (1987 OA),0.5955,1.497,9.01,0.605,,,,N,4.3273
9172 Abhramu (1989 OB),0.5534,2.709,7.84,1.21,,,,N,3.1116
9202 (1993 PB),0.6079,1.424,40.8,0.558,,,,N,4.2832
9400 (1994 TW1),0.5806,2.588,35.98,1.086,,,,N,2.94
9856 (1991 EE),0.6254,2.244,9.83,0.84,,,,Y,3.3288
9950 ESA (1990 VB),0.5334,2.438,14.59,1.137,,,,N,3.2551
10115 (1992 SK),0.3249,1.249,15.32,0.843,,-8.5e-15,,Y,5.0601
10145 (1994 CK1),0.6327,1.9,4.55,0.698,,,,N,3.6718
10150 (1994 PN),0.5444,2.374,45.96,1.082,,,,N,2.9797
10165 (1995 BL2),0.5038,1.235,23.9,0.613,,,,N,4.9831
10302 (1989 ML),0.1369,1.273,4.38,1.099,,3.9e-14,,N,5.0648
10563 Izhdubar (1993 WD),0.2662,1.007,63.46,0.739,,-6.3e-15,,N,5.5466
10636 (1998 QK56),0.5128,1.885,13.58,0.918,,,,N,3.7651
10860 (1995 LE),0.5764,2.575,4.14,1.091,,,,N,3.1676
11054 (1991 FA),0.4464,1.979,3.08,1.096,,-1e-14,,N,3.7316
11066 Sigurd (1992 CC1),0.3753,1.392,36.88,0.869,,-4.5e-15,,N,4.5053
11284 Belenus (1990 BA),0.3374,1.74,1.99,1.153,,,,N,4.0787
11311 Peleus (1993 XN2),0.5357,2.117,25.49,0.983,,,,N,3.4304
11398 (1998 YP11),0.3891,1.721,15.02,1.051,,-1.3e-14,,N,4.047
11405 (1999 CV3),0.3938,1.459,22.87,0.885,,,,N,4.4636
11500 Tomaiyowit (1989 UR),0.3558,1.08,10.31,0.696,,-1.3e-14,,Y,5.6561
11885 Summanus (1990 SS),0.4746,1.703,19.43,0.895,,,,N,4.0054
12538 (1998 OH),0.406,1.542,24.54,0.916,,,,Y,4.2798
12711 Tukmit (1991 BB),0.2721,1.186,38.49,0.864,,,,N,5.1068
12923 Zephyr (1999 GK4),0.4931,1.962,5.31,0.994,,,,Y,3.7161
13553 Masaakikoyama (1992 JE),0.4632,2.191,5.87,1.176,,,,N,3.5192
13651 (1997 BR),0.3056,1.336,17.25,0.927,,-7.6e-15,,Y,4.8166
14402 (1991 DB),0.4017,1.715,11.41,1.026,,,,N,4.065
14827 Hypnos (1986 JK),0.6614,2.859,1.95,0.968,,,,Y,2.9314
15745 Yuliya (1991 PM5),0.2552,1.72,14.43,1.281,,,,N,4.1022
15817 Lucianotesi (1994 QC),0.1181,1.324,13.87,1.168,,-3e-14,,N,4.9029
16064 Davidharvey (1999 RH27),0.5891,2.851,4.54,1.171,,,,N,3.0177
16636 (1993 QP),0.4684,2.311,7.21,1.228,,,,N,3.42
16657 (1993 UB),0.4605,2.277,24.94,1.228,,,,N,3.3502
16816 (1997 UF9),0.6037,1.442,25.92,0.572,,,,N,4.3636
16834 (1997 WU22),0.4421,1.468,16.0,0.819,,,,N,4.4607
16912 Rhiannon (1998 EP8),0.2727,1.751,24.52,1.274,,,,N,3.9874
16960 (1998 QS52),0.8591,2.201,17.51,0.31,,,,Y,2.9992
17181 (1999 UM3),0.6741,2.371,10.65,0.773,,,,N,3.1748
17182 (1999 VU),0.5534,1.387,9.27,0.62,,,,N,4.6006
17188 (1999 WC2),0.6366,2.217,29.45,0.806,,,,N,3.2239
17274 (2000 LC16),0.5543,2.731,5.57,1.217,,,,N,3.1057
17511 (1992 QN),0.3587,1.19,9.58,0.763,,1.7e-14,,N,5.2533
18106 Blume (2000 NX3),0.512,2.443,4.22,1.192,,,,N,3.304
18109 (2000 NG11),0.3676,1.881,0.81,1.19,,,,N,3.8846
18172 (2000 QL7),0.5109,2.426,17.83,1.186,,,,N,3.2625
18736 (1998 NU),0.4911,2.35,2.81,1.196,,,,N,3.3837
18882 (1999 YN4),0.2321,1.685,36.81,1.294,,,,N,3.9746
19356 (1997 GH3),0.5579,2.512,3.01,1.111,,,,N,3.2232
19764 (2000 NF5),0.445,2.231,1.33,1.238,,,,N,3.5049
20086 (1994 LW),0.6298,3.166,21.62,1.172,,,,N,2.7701
20236 (1998 BZ7),0.561,2.033,6.51,0.893,,,,Y,3.5878
20255 (1998 FX2),0.4919,2.152,9.96,1.093,,,,N,3.521
20425 (1998 VD35),0.4767,1.565,6.99,0.819,,,,Y,4.2821
20429 (1998 YN1),0.464,1.556,6.3,0.834,,,,N,4.3073
20460 Robwhiteley (1999 LO28),0.4119,1.877,33.96,1.104,,,,N,3.6802
20790 (2000 SE45),0.5562,2.753,8.3,1.222,,,,N,3.0865
20826 (2000 UV13),0.6367,2.417,31.93,0.878,,,,N,3.045
21088 Chelyabinsk (1992 BL2),0.2388,1.706,38.46,1.299,,,,N,3.921
21277 (1996 TO5),0.5203,2.378,20.95,1.141,,,,N,3.2666
21374 (1997 WS22),0.1207,1.269,23.98,1.116,,,,N,4.9965
22099 (2000 EX106),0.2764,1.105,9.85,0.799,,9.6e-15,,N,5.582
22753 (1998 WT),0.5699,1.219,3.21,0.524,,-1.4e-14,,Y,5.0631
22771 (1999 CU3),0.524,1.576,11.41,0.75,,-3.5e-15,,N,4.2208
23183 (2000 OY21),0.4009,1.824,40.98,1.093,,,,N,3.6719
23187 (2000 PN9),0.5894,1.847,51.34,0.758,,,,Y,3.4187
23548 (1994 EF2),0.5179,2.29,23.44,1.104,,,,N,3.3137
23606 (1996 AS1),0.3611,1.75,14.36,1.118,,,,N,4.0214
23714 (1998 EC3),0.5165,2.128,8.44,1.029,,,,N,3.5287
24443 (2000 OG),0.8223,2.31,25.74,0.41,,,,N,2.9358
24445 (2000 PM8),0.5457,2.211,23.77,1.004,,,,N,3.3534
24475 (2000 VN2),0.4416,1.975,14.63,1.103,,,,N,3.7045
24761 Ahau (1993 BW2),0.3057,1.335,21.92,0.927,,,,N,4.7928
25143 Itokawa (1998 SF36),0.2802,1.324,1.62,0.953,,-2.9e-14,,Y,4.8984
25330 (1999 KV4),0.3708,1.541,14.33,0.969,,,,N,4.3562
25916 (2001 CP44),0.4999,2.558,15.76,1.279,,,,N,3.2031
26166 (1995 QN3),0.6446,3.302,14.79,1.174,,,,N,2.7536
26310 (1998 TX6),0.4696,2.139,5.38,1.135,,,,N,3.5599
26379 (1999 HZ1),0.5762,1.606,8.68,0.681,,,,N,4.1379
26663 (2000 XK47),0.4717,1.546,13.53,0.817,,,,Y,4.3005
26760 (2001 KP41),0.557,2.854,11.01,1.264,,,,N,3.0308
26817 (1987 QB),0.5932,2.809,3.5,1.143,,,,N,3.0333
27002 (1998 DV9),0.4335,1.744,8.7,0.988,,,,Y,4.0152
27031 (1998 RO4),0.4264,2.138,5.36,1.227,,,,N,3.5885
27346 (2000 DN8),0.399,1.875,36.95,1.127,,,,N,3.6551
29075 (1950 DA),0.5076,1.698,12.16,0.836,,-5.2e-15,,Y,4.0269
30825 (1990 TG1),0.6808,2.436,8.74,0.778,,,,N,3.1269
30997 (1995 UO5),0.6432,1.56,36.25,0.557,,,,N,4.012
31210 (1998 BX7),0.5019,2.606,8.96,1.298,,,,N,3.2061
31221 (1998 BP26),0.2571,1.723,20.22,1.28,,,,N,4.0638
31345 (1998 PG),0.3913,2.015,6.5,1.227,,,,N,3.7205
31346 (1998 PB1),0.4297,2.031,5.97,1.158,,,,N,3.6843
31662 (1999 HP11),0.5479,1.598,18.81,0.722,,,,N,4.1341
31669 (1999 JT6),0.5778,2.137,9.54,0.902,,,,Y,3.4667
32906 (1994 RH),0.4403,2.247,18.94,1.258,,,,N,3.432
33342 (1998 WT24),0.4176,0.7187,7.37,0.419,,-2.2e-14,,Y,7.9103
34613 (2000 UR13),0.3857,2.07,6.18,1.272,,,,N,3.671
35107 (1991 VH),0.1437,1.137,13.92,0.973,,2.6e-15,,Y,5.4748
35396 (1997 XF11),0.484,1.442,4.1,0.744,,,,Y,4.5277
35432 (1998 BG9),0.5457,2.5,13.15,1.136,,,,N,3.2127
35670 (1998 SU27),0.5963,2.122,7.14,0.857,,,,N,3.4696
36017 (1999 ND43),0.3142,1.524,5.55,1.045,,,,N,4.4373
36183 (1999 TX16),0.3323,1.551,38.22,1.036,,,,N,4.1642
36236 (1999 VV),0.4238,1.332,58.03,0.768,,,,N,4.392
36284 (2000 DM8),0.5538,1.484,46.78,0.662,,,,N,4.1156
37336 (2001 RM),0.4832,2.254,36.66,1.165,,,,N,3.2332
37638 (1993 VB),0.52,1.913,5.08,0.918,,,,Y,3.7519
37655 Illapa (1994 PM),0.7524,1.478,18.03,0.366,,-1.2e-14,,Y,4.1885
38071 (1999 GU3),0.5069,2.09,12.73,1.031,,,,Y,3.5556
38086 Beowulf (1999 JB),0.5663,1.42,23.67,0.616,,-2.5e-14,,N,4.4533
38239 (1999 OR3),0.5757,2.035,9.4,0.863,,,,N,3.5661
39557 Gielgud (1992 JG),0.4263,2.264,5.55,1.299,,,,N,3.4862
39565 (1992 SL),0.3342,1.642,8.6,1.093,,,,N,4.2161
39572 (1993 DQ1),0.4928,2.036,10.03,1.033,,,,Y,3.6278
39796 (1997 TD),0.4691,2.25,12.94,1.195,,,,N,3.4447
40263 (1999 FQ5),0.1611,1.495,25.84,1.254,,,,N,4.433
40267 (1999 GJ4),0.8084,1.339,34.48,0.257,,,,N,4.3786
40329 (1999 ML),0.4551,2.265,2.52,1.234,,,,N,3.4713
41429 (2000 GE2),0.5557,1.593,2.17,0.708,,,,Y,4.186
41440 (2000 HZ23),0.2115,1.576,15.11,1.242,,,,N,4.3405
42286 (2001 TN41),0.3915,1.419,24.08,0.864,,,,N,4.5446
48603 (1995 BC2),0.4296,1.918,5.02,1.094,,,,N,3.8054
52340 (1992 SY),0.5481,2.213,8.08,1.0,,,,N,3.4315
52381 (1993 HA),0.1441,1.278,7.73,1.094,,,,N,5.0437
52387 Huitzilopochtli (1993 OM7),0.1897,1.282,24.15,1.039,,1.4e-14,,N,4.9485
52689 (1998 FF2),0.2925,1.562,10.98,1.105,,,,N,4.3601
52750 (1998 KK17),0.5249,1.427,11.17,0.678,,,,N,4.5212
52760 (1998 ML14),0.6239,2.408,2.43,0.906,,,,Y,3.2233
52761 (1998 MN14),0.2243,1.555,19.49,1.206,,,,N,4.3509
52762 (1998 MT24),0.6533,2.415,33.87,0.837,,,,N,3.0113
52768 (1998 OR2),0.5758,2.379,5.88,1.009,,,,Y,3.2872
53110 (1999 AR7),0.2146,1.644,40.63,1.292,,,,N,3.9986
53319 (1999 JM8),0.6416,2.724,13.84,0.976,,,,Y,2.988
53409 (1999 LU7),0.6281,2.101,10.88,0.781,,,,N,3.4479
53426 (1999 SL5),0.5397,1.922,22.77,0.885,,,,Y,3.651
53429 (1999 TF5),0.641,2.022,26.78,0.726,,,,Y,3.4278
53430 (1999 TY16),0.4032,2.099,60.4,1.253,,,,N,3.0533
53435 Leonard (1999 VM40),0.4829,2.311,15.35,1.195,,,,N,3.3772
53550 (2000 BF19),0.4198,1.495,7.18,0.868,,,,Y,4.4461
53789 (2000 ED104),0.2692,1.371,40.78,1.002,,-1.8e-14,,Y,4.5443
54071 (2000 GQ146),0.1974,1.329,23.44,1.067,,9.1e-15,,N,4.8246
54401 (2000 LM),0.2624,1.711,18.95,1.262,,,,N,4.088
54509 YORP (2000 PH5),0.23,1.006,1.6,0.775,,-8.7e-14,,N,6.0282
54660 (2000 UJ1),0.2806,1.477,46.69,1.062,,,,N,4.2247
54686 (2001 DU8),0.3417,1.777,33.21,1.17,,,,N,3.8474
54690 (2001 EB),0.2564,1.629,35.36,1.212,,,,N,4.0765
54789 (2001 MZ7),0.2875,1.776,24.47,1.265,,,,N,3.9486
55408 (2001 TC2),0.2246,1.1,30.39,0.853,,,,N,5.5037
55532 (2001 WG2),0.6952,1.795,38.54,0.547,,,,N,3.5595
65674 (1988 SM),0.3442,1.665,10.95,1.092,,,,N,4.1682
65679 (1989 UQ),0.2645,0.9148,1.3,0.673,,-4e-14,,Y,6.4969
65690 (1991 DG),0.3632,1.428,11.14,0.909,,,,Y,4.6019
65706 (1992 NA),0.5552,2.398,9.63,1.067,,,,N,3.2833
65717 (1993 BX3),0.2809,1.395,2.81,1.003,,8.2e-14,,Y,4.723
65733 (1993 PC),0.4744,1.154,4.15,0.607,,,,N,5.3363
65803 Didymos (1996 GT),0.3831,1.643,3.41,1.013,,,,Y,4.2035
65909 (1998 FH12),0.5396,1.091,3.56,0.502,,,,Y,5.5393
65996 (1998 MX5),0.6073,2.929,9.55,1.15,,,,N,2.9522
66008 (1998 QH2),0.3628,1.426,61.01,0.909,,,,N,4.1221
66063 (1998 RO1),0.7201,0.9909,22.69,0.277,,,,N,5.8103
66146 (1998 TU3),0.4837,0.7876,5.42,0.407,,,,N,7.2851
66251 (1999 GJ2),0.1981,1.536,11.28,1.231,,,,N,4.4324
66253 (1999 GT3),0.8378,1.334,19.5,0.216,,,,N,4.4221
66272 (1999 JW6),0.1434,1.507,51.31,1.291,,,,N,4.1189
66391 Moshup (1999 KW4),0.6884,0.6424,38.88,0.2,,-6.1e-15,,Y,8.4973
66400 (1999 LT7),0.5725,0.8554,9.06,0.366,,-2.3e-14,,N,6.74
66407 (1999 LQ28),0.1202,1.199,21.77,1.055,,,,N,5.2252
66959 (1999 XO35),0.5653,2.539,20.62,1.104,,,,N,3.1281
67367 (2000 LY27),0.2126,1.308,9.02,1.03,,,,Y,4.9461
67381 (2000 OL8),0.5428,1.32,10.67,0.604,,,,Y,4.7736
67399 (2000 PJ6),0.3462,1.301,14.69,0.851,,,,N,4.9074
68031 (2000 YK29),0.1286,1.376,15.17,1.199,,,,N,4.7662
68063 (2000 YJ66),0.4582,2.334,5.72,1.264,,,,N,3.4142
68216 (2001 CV26),0.3266,1.32,17.99,0.889,,,,Y,4.8478
68267 (2001 EA16),0.4273,1.51,38.82,0.865,,,,N,4.2051
68278 (2001 FC7),0.1143,1.436,2.62,1.272,,,,N,4.6665
68346 (2001 KZ66),0.4165,1.508,16.7,0.88,,,,Y,4.3883
68347 (2001 KB67),0.3799,0.9616,17.13,0.596,,,,Y,6.1716
68348 (2001 LO7),0.8408,2.155,25.35,0.343,,,,N,3.0444
68350 (2001 MK3),0.2475,1.67,29.57,1.256,,,,N,4.0708
68359 (2001 OZ13),0.1743,1.517,9.86,1.253,,,,N,4.4779
68372 (2001 PM9),0.4157,1.618,8.11,0.946,,,,Y,4.2203
68548 (2001 XR31),0.4367,1.707,22.72,0.962,,,,Y,3.999
68950 (2002 QF15),0.3443,1.057,25.15,0.693,,-6.5e-15,,Y,5.6892
69230 Hermes (1937 UB),0.6239,1.655,6.07,0.622,,-1.2e-14,,Y,4.0208
85182 (1991 AQ),0.7776,2.22,3.12,0.494,,,,Y,3.1642
85184 (1991 JG1),0.1845,1.374,33.88,1.121,,,,N,4.6259
85236 (1993 KH),0.3111,1.234,12.81,0.85,,-1.8e-14,,Y,5.1196
85275 (1994 LY),0.4419,1.891,17.71,1.055,,,,N,3.7822
