full_name,e,a,i_deg,q_au,A1,A2,A3,pha,tisserand_J
(2026 KC),0.4971,1.965,3.26,0.988,,,,N,3.7129
(2026 KD),0.5771,2.202,8.0,0.931,,,,N,3.4154
(2026 KE),0.473,1.995,11.32,1.051,,,,N,3.6783
(2026 KF),0.5414,1.755,1.24,0.805,,,,N,3.9414
(2026 KG),0.2789,1.378,8.97,0.994,,,,N,4.7526
(2026 KJ),0.2246,0.89,14.88,0.69,,,,N,6.6259
(2026 KK),0.2771,1.202,7.83,0.869,,,,N,5.2443
(2026 KL),0.2809,1.378,5.44,0.991,,,,N,4.7596
(2026 KM),0.2892,1.559,19.21,1.108,,,,N,4.3275
(2026 KN),0.367,1.627,3.08,1.03,,,,N,4.2372
(2026 KO),0.0776,1.029,13.91,0.95,,,,N,5.9178
(2026 KP),0.5151,1.008,4.06,0.489,,,,N,5.9151
(2026 KQ),0.2132,0.9439,0.26,0.743,,,,N,6.3453
(2026 KR),0.4708,1.933,1.15,1.023,,,,N,3.7673
(2026 KS),0.5539,2.112,10.43,0.942,,,,N,3.5072
(2026 KT),0.2374,1.324,6.68,1.01,,,,N,4.9037
(2026 KU),0.6708,3.16,20.39,1.04,,,,N,2.7302
(2026 KV),0.49,1.806,0.99,0.921,,,,N,3.9083
(2026 KW),0.4175,1.412,27.61,0.822,,,,N,4.5243
(2026 KX),0.5853,2.619,18.65,1.086,,,,N,3.077
(2026 KY),0.6633,2.25,6.18,0.758,,,,N,3.2912
(2026 KZ),0.5052,2.112,16.73,1.045,,,,N,3.517
(2026 KB1),0.2955,1.382,22.07,0.974,,,,N,4.6779
(2026 KC1),0.6431,1.503,1.52,0.536,,,,N,4.2851
(2026 KD1),0.1899,1.261,7.3,1.022,,,,N,5.0855
(2026 KE1),0.3253,0.9392,11.11,0.634,,,,N,6.3291
(2026 KF1),0.6625,2.138,1.81,0.722,,,,N,3.3937
(2026 KG1),0.5351,0.6942,15.9,0.323,,,,N,8.0896
(2026 KH1),0.5947,2.807,12.06,1.138,,,,N,3.0087
(2026 KJ1),0.4856,2.06,6.43,1.06,,,,N,3.6192
(2026 KL1),0.6047,2.492,4.92,0.985,,,,N,3.1865
(2026 KM1),0.6546,1.621,20.1,0.56,,,,N,4.0027
(2026 KN1),0.3558,1.513,1.01,0.974,,,,N,4.4471
(2026 KO1),0.1812,0.8754,0.49,0.717,,,,N,6.7512
(2026 KP1),0.772,2.09,3.49,0.477,,,,N,3.294
(2026 KQ1),0.2244,0.9197,5.39,0.713,,,,N,6.4739
(2026 KR1),0.5109,2.109,6.26,1.031,,,,N,3.5554
(2026 KT1),0.1625,0.9118,22.39,0.764,,,,N,6.471
(2026 KU1),0.3027,1.281,4.1,0.893,,,,N,5.0056
(2026 KV1),0.6306,1.043,15.52,0.385,,,,N,5.6588
(2026 KW1),0.4647,1.856,11.92,0.993,,,,N,3.8386
(2026 KX1),0.4278,1.757,12.04,1.005,,,,N,3.9891
(2026 KY1),0.4025,1.231,4.28,0.735,,,,N,5.1153
