raton_id,vol_2_meses_mm3,vol_3_meses_mm3
1,43.837,160.51
2,65.572,169.323
3,34.3694,94.186
4,25.4789,93.5557
5,78.5784,271.555
6,103.249,277.111
7,36.937,142.622
8,24.868,74.0322
9,21.8112,123.036
10,15.7147,119.164
11,7.8026,69.7853
12,16.126,98.9659
13,9.65711,56.424
14,14.4784,87.9897
