grupo,velocidad_cm_s
Control,18.6678776
Apallial,19.9903091
XCX,11.6665645
Control,15.2128291
Apallial,25.4037088
XCX,14.7489555
Control,21.8333402
Apallial,13.673584
XCX,37.2733916
Control,14.4797392
Apallial,17.2538386
XCX,17.2508946
Control,17.9198586
Apallial,23.865708
XCX,27.7202855
Control,20.8285652
Apallial,19.0302403
XCX,37.2209685
Control,16.7220256
Apallial,16.3446677
XCX,26.2968606
Control,16.9496235
Apallial,19.6895118
Control,28.0946555
Apallial,32.1860253
Control,30.4700926
Apallial,40.3974601
Control,26.8147337
Control,31.8829837
Control,14.6223263
Control,33.1951079
Control,30.900417
Control,22.3268706
