grupo,patron_apoyo,pct_tiempo
Control,Zero,0.43694969
Control,Single,11.8082502
Control,Diagonal,62.0003687
Control,Girdle,2.25423482
Control,Lateral,3.59899051
Control,Three,14.6419918
Control,Four,5.25921427
Apallial,Zero,0.95255845
Apallial,Single,6.68739102
Apallial,Diagonal,62.3193096
Apallial,Girdle,2.46688236
Apallial,Lateral,0.8334857
Apallial,Three,22.0827192
Apallial,Four,4.65765374
XCX,Zero,0.04608295
XCX,Single,2.24243177
XCX,Diagonal,58.4510645
XCX,Girdle,1.37709995
XCX,Lateral,0.63520148
XCX,Three,33.1641918
XCX,Four,4.08392751
