tratamiento,tratamiento_es,herbivoros_excluidos,n_trampas,n_dna_samples,abundancia,biomasa_g,riqueza_sp
Open,Abierto,ninguno,17,430,6429,68.6,80
Mega,Sin megaherbívoros,elefante + jirafa,18,275,2117,33.9,62
Total,Sin nada,todos los herbívoros,18,252,1949,20.7,53
