site_no,lat_deg_s,lon_deg_w,name,meets_aquiry_def,size_ha,outline_clarity,partial_swath
115,-9.623,-67.054,Lid24_L02_44a,y,1.93,g,0
116,-9.583,-66.999,Lid24_L02_48a,y,5.46,g,0
117,-9.573,-66.991,Lid24_L02_49a,y,3.46,s,0
118,-9.567,-66.979,Lid24_L02_49b,n,5.11,g,0
119,-9.565,-66.978,Lid24_L02_50a,y,0.7,g,0
120,-9.56,-66.976,Lid24_L02_50b,y,1.55,s,0
121,-9.541,-66.942,Lid24_L02_52a,y,2.81,s,1
122,-9.514,-66.915,Lid24_L02_54a,n,5.75,g,0
123,-9.509,-66.913,Lid24_L02_54b,n,5.12,s,0
124,-9.491,-66.894,Lid24_L02_56a,y,5.46,s,0
125,-9.486,-66.882,Lid24_L02_56b,n,3.34,s,0
126,-9.469,-66.864,Lid24_L02_58a,y,4.27,s,0
127,-9.455,-66.841,Lid24_L02_59a,y,8.53,g,0
128,-9.454,-66.839,Lid24_L02_59b,y,1.46,g,0
129,-9.446,-66.837,Lid24_L02_60a,y,1.11,g,0
130,-9.415,-66.793,Lid24_L02_63a,y,3.15,g,0
131,-9.381,-66.759,Lid24_L02_65a,n,6.82,s,0
132,-10.058,-67.589,Lid24_L02_6a,n,4.42,s,0
133,-9.33,-66.69,Lid24_L02_70a,y,7.51,g,0
134,-9.308,-66.661,Lid24_L02_72a,n,7.16,g,0
135,-9.276,-66.621,Lid24_L02_75a,y,9.87,g,0
136,-9.274,-66.619,Lid24_L02_75b,y,8.22,g,0
137,-9.266,-66.612,Lid24_L02_76a,n,4.81,g,0
138,-9.252,-66.591,Lid24_L02_77a,n,5.69,s,0
139,-9.242,-66.58,Lid24_L02_78a,n,12.51,s,0
140,-9.237,-66.576,Lid24_L02_78b,y,8.41,s,0
141,-10.054,-67.578,Lid24_L02_7a,y,0.37,g,0
142,-10.051,-67.579,Lid24_L02_7b,n,4.62,s,0
143,-10.054,-67.578,Lid24_L02_7c,y,0.25,s,0
144,-9.214,-66.548,Lid24_L02_80a,n,6.77,s,0
145,-9.15,-66.477,Lid24_L02_85a,y,5.28,s,0
146,-9.138,-66.454,Lid24_L02_87a,y,1.8,g,0
147,-10.039,-67.563,Lid24_L02_8a,n,1.07,g,0
148,-8.869,-66.276,Lid24_L03_104a,y,2.48,s,0
149,-9.952,-67.596,Lid24_L03_10a,y,1.59,g,0
150,-8.52,-65.845,Lid24_L03_134a,y,0.65,s,0
151,-9.914,-67.544,Lid24_L03_13a,y,0.42,g,0
152,-9.914,-67.544,Lid24_L03_13b,y,0.42,g,0
153,-8.314,-65.597,Lid24_L03_152a,y,2.31,g,0
154,-7.89,-65.082,Lid24_L03_189a,n,1.88,g,0
155,-7.885,-65.077,Lid24_L03_189b,n,2.32,g,0
156,-9.733,-67.332,Lid24_L03_29a,y,3.3,s,0
157,-9.696,-67.288,Lid24_L03_32a,y,1.08,s,0
158,-9.697,-67.287,Lid24_L03_32b,y,0.29,g,0
159,-9.697,-67.285,Lid24_L03_32c,n,2.52,s,0
160,-9.694,-67.284,Lid24_L03_32d,y,2.25,g,0
161,-9.693,-67.281,Lid24_L03_32e,y,0.93,s,0
162,-9.694,-67.282,Lid24_L03_32f,n,0.23,s,0
163,-9.696,-67.29,Lid24_L03_32g,y,2.48,g,1
164,-9.693,-67.28,Lid24_L03_32h,n,0.17,g,0
165,-9.693,-67.282,Lid24_L03_32i,n,0.46,g,0
166,-9.691,-67.274,Lid24_L03_33a,y,0.37,s,0
167,-9.69,-67.274,Lid24_L03_33b,n,0.2,s,0
168,-9.69,-67.273,Lid24_L03_33c,y,3.18,s,0
169,-9.69,-67.273,Lid24_L03_33d,n,0.32,s,0
170,-9.689,-67.27,Lid24_L03_33f,n,0.37,s,0
171,-9.68,-67.267,Lid24_L03_33g,n,1.49,s,0
172,-9.657,-67.235,Lid24_L03_35a,n,5.08,g,0
173,-9.661,-67.235,Lid24_L03_35b,y,1.43,s,0
174,-9.651,-67.23,Lid24_L03_36a,y,4.75,g,0
175,-9.653,-67.231,Lid24_L03_36b,y,3.18,g,0
176,-9.641,-67.214,Lid24_L03_37a,n,1.17,s,0
177,-9.555,-67.111,Lid24_L03_44a,y,6.97,g,0
178,-9.555,-67.112,Lid24_L03_44b,y,1.42,s,0
179,-9.556,-67.108,Lid24_L03_44c,y,2.73,s,0
180,-9.552,-67.104,Lid24_L03_45a,y,3.18,g,0
181,-9.551,-67.107,Lid24_L03_45b,n,0.64,s,0
182,-9.55,-67.097,Lid24_L03_45c,y,4.97,g,0
183,-9.55,-67.107,Lid24_L03_45d,n,0.63,s,0
184,-9.545,-67.091,Lid24_L03_45e,y,2.69,s,0
185,-9.518,-67.067,Lid24_L03_47a,n,3.89,s,0
186,-9.514,-67.063,Lid24_L03_48a,y,1.38,g,0
187,-9.5,-67.047,Lid24_L03_49a,y,0.75,s,0
188,-9.501,-67.048,Lid24_L03_49b,n,2.17,g,0
189,-9.504,-67.053,Lid24_L03_49c,n,1.06,s,0
190,-9.457,-66.982,Lid24_L03_53a,y,1.56,s,0
191,-9.325,-66.828,Lid24_L03_64a,y,1.77,s,0
192,-9.325,-66.827,Lid24_L03_64b,y,0.87,s,0
193,-9.321,-66.822,Lid24_L03_65a,y,0.89,s,0
194,-9.3,-66.796,Lid24_L03_67a,y,1.95,s,0
195,-9.298,-66.796,Lid24_L03_67b,y,4.47,g,0
196,-9.272,-66.767,Lid24_L03_69a,y,3.15,s,0
197,-9.086,-66.529,Lid24_L03_85a,y,2.01,s,0
198,-9.01,-66.447,Lid24_L03_92a,y,2.56,g,0
199,-9.007,-66.443,Lid24_L03_92b,y,2.01,g,0
200,-9.003,-66.436,Lid24_L03_92c,y,1.54,g,0
201,-9.012,-66.442,Lid24_L03_92d,y,2.27,s,0
202,-8.828,-66.367,Lid24_L04_101a,y,6.84,g,0
203,-8.806,-66.335,Lid24_L04_103a,y,3.08,s,0
204,-8.628,-66.121,Lid24_L04_119a,y,0.96,g,0
205,-9.857,-67.628,Lid24_L04_12a,y,2.36,s,0
206,-8.167,-65.559,Lid24_L04_159a,y,0.67,s,0
207,-9.796,-67.549,Lid24_L04_17a,n,0.59,g,0
208,-9.797,-67.545,Lid24_L04_17b,n,0.61,s,0
209,-9.727,-67.462,Lid24_L04_23a,y,0.62,g,0
210,-9.728,-67.462,Lid24_L04_23b,n,4.01,g,0
211,-9.727,-67.458,Lid24_L04_23c,n,4.67,s,0
212,-9.719,-67.447,Lid24_L04_24a,y,2.82,g,1
213,-9.692,-67.414,Lid24_L04_27a,y,5.71,s,0
