id,region,area_ha,modulos_fiscales,clase_tamano,cobertura_forestal_2010_pct,biodiv_evitar_deforestacion,biodiv_evitar_perturbacion,biodiv_restauracion,carbono_evitar_deforestacion_mgc,carbono_evitar_perturbacion_mgc,carbono_restauracion_mgc,biodiv_evitar_deforestacion_por_ha,biodiv_evitar_perturbacion_por_ha,biodiv_restauracion_por_ha,carbono_evitar_deforestacion_mgc_por_ha,carbono_evitar_perturbacion_mgc_por_ha,carbono_restauracion_mgc_por_ha
20,Paragominas,25.6312,0.466021,pequena,0,0,0.00300725,0.0258744,0,0,1.31814,0,0.000117328,0.00100949,0,0,0.0514272
21,Paragominas,72.8455,1.32446,pequena,38.254,22.0291,167.145,3.87891,6687.75,12370.8,2125.87,0.302409,2.29451,0.0532484,91.8073,169.822,29.1832
22,Paragominas,4331.18,78.7488,grande,88.7733,0,0,0,0,0,0,0,0,0,0,0,0
23,Paragominas,372.787,6.77795,mediana,45.8951,82.5983,6.55319,8.48599,38126.6,416.648,6165.59,0.221569,0.0175789,0.0227636,102.274,1.11766,16.5392
24,Paragominas,422.854,7.68825,mediana,85.9421,98.1095,0,0.00149797,37750.2,0.968021,0.0947876,0.232018,0,3.54252e-06,89.2748,0.00228926,0.000224162
25,Paragominas,938.922,17.0713,grande,29.2121,99.6338,0,399.232,15184.6,0,87869.5,0.106115,0,0.425203,16.1724,0,93.5855
26,Paragominas,147.534,2.68243,pequena,1.57348,0,0.00129217,0,0,0,0,0,8.75846e-06,0,0,0,0
27,Paragominas,53.3485,0.969974,pequena,82.339,85.683,0,0.0634786,25509.6,0,35.609,1.6061,0,0.00118988,478.169,0,0.667479
28,Paragominas,2136.63,38.8478,grande,24.8337,70.6842,0,1440.61,12128.7,0,295359,0.0330821,0,0.674245,5.67655,0,138.236
29,Paragominas,1024,18.6181,grande,78.7104,9.34056,0,0.227491,1591.55,0,0,0.00912168,0,0.00022216,1.55426,0,0
30,Paragominas,95.9708,1.74492,pequena,20.6416,1.08589,0,0.00146315,222.471,0,10.7085,0.0113148,0,1.52458e-05,2.31811,0,0.11158
31,Paragominas,96.4283,1.75324,pequena,1.29556,0,0,0.0718516,0,0,0,0,0,0.000745129,0,0,0
32,Paragominas,34.8292,0.633259,pequena,6.15435,0.185169,0,0.0747273,151.421,0.197805,169.929,0.00531649,0,0.00214553,4.34751,0.00567929,4.87893
33,Paragominas,29.7196,0.540356,pequena,9.91693,0.0162838,5.76387,0,41.3809,359.276,0,0.000547915,0.193942,0,1.39238,12.0888,0
34,Paragominas,62.9967,1.14539,pequena,19.4233,2.23361,13.9198,0.0700346,0,598.127,0,0.035456,0.22096,0.00111172,0,9.49458,0
35,Paragominas,101.636,1.84793,pequena,9.92973,0,1.17696,1.77329,0,115.664,1753.12,0,0.0115801,0.0174475,0,1.13802,17.249
36,Paragominas,33.8363,0.615205,pequena,21.3801,0.00562016,0.750151,0,36.6441,148.587,0,0.000166099,0.02217,0,1.08298,4.39135,0
37,Paragominas,61.867,1.12485,pequena,99.996,16.6662,309.043,0,10709,26269.6,0,0.269387,4.99528,0,173.097,424.613,0
38,Paragominas,812.908,14.7801,mediana,56.5293,3.05287,0.0494837,0.188513,4395.38,0,0,0.00375549,6.08725e-05,0.0002319,5.40699,0,0
39,Paragominas,1481.54,26.9371,grande,40.5508,24.6607,0.0888831,178.755,5693.27,0,63599.7,0.0166453,5.99937e-05,0.120655,3.8428,0,42.9281
40,Paragominas,2169.49,39.4453,grande,62.6534,29.2858,0.196675,0,4829.72,62.4018,0,0.0134989,9.06546e-05,0,2.2262,0.0287633,0
41,Paragominas,1085.58,19.7378,grande,9.59782,26.8409,2.32725,457.019,7733.87,699.308,201731,0.0247249,0.00214378,0.420991,7.12417,0.644179,185.827
42,Paragominas,2210.22,40.1859,grande,75.0718,22.6335,0,0,3662.27,0,0,0.0102404,0,0,1.65697,0,0
43,Paragominas,2750.81,50.0147,grande,99.9514,3.38087,0,0.113766,586.903,0,27.5111,0.00122904,0,4.13574e-05,0.213357,0,0.0100011
44,Paragominas,239.833,4.3606,mediana,5.1717,0,0,270.49,0,0,55745.4,0,0,1.12783,0,0,232.434
45,Paragominas,279.982,5.09059,mediana,10.7468,2.4746,0.00556962,82.4161,491.568,0,40602.3,0.00883843,1.98928e-05,0.294362,1.75571,0,145.017
46,Paragominas,4204.63,76.4477,grande,99.9398,7.97679,0,0,2119.12,0,0,0.00189715,0,0,0.503996,0,0
47,Paragominas,4220.4,76.7345,grande,79.137,13.4984,0.0118771,0,3082.35,12.1689,0,0.00319837,2.81422e-06,0,0.730345,0.00288336,0
48,Paragominas,1056.59,19.2108,grande,99.9388,1.89382,0,0,988.912,11.992,0,0.00179239,0,0,0.935945,0.0113497,0
49,Paragominas,941.164,17.1121,grande,14.1413,44.8013,8.67278,854.389,9108.92,1440.65,188080,0.0476021,0.00921495,0.907801,9.67836,1.53071,199.838
50,Paragominas,275.173,5.00315,mediana,45.5366,10.988,719.699,4.00669,5709.88,55211.2,2977.96,0.0399313,2.61544,0.0145606,20.7502,200.642,10.8222
51,Paragominas,26.3604,0.479279,pequena,8.12556,2.23929,0.230352,0.0582979,618.614,106.851,11.2492,0.0849489,0.00873859,0.00221158,23.4676,4.05347,0.426746
52,Paragominas,372.982,6.7815,mediana,11.4423,0.994905,0.212367,211.183,0,0,60699.3,0.00266743,0.000569376,0.566202,0,0,162.74
53,Paragominas,63.2341,1.14971,pequena,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Paragominas,28.2696,0.513992,pequena,93.197,5.38135,0.606468,0,2203.11,62.2746,0,0.190359,0.0214531,0,77.9321,2.20289,0
55,Paragominas,17.6174,0.320315,pequena,58.2982,0.966485,0,0,622.905,3.66908,0,0.0548598,0,0,35.3575,0.208265,0
56,Paragominas,43.0484,0.782698,pequena,93.1499,1.46653,29.4012,0,3203.06,1058.19,0,0.034067,0.68298,0,74.406,24.5813,0
57,Paragominas,13.443,0.244419,pequena,11.294,0.333819,0,0,213.447,1.30697,0,0.0248321,0,0,15.8779,0.0972228,0
