especie_anon,grupo,n_registros,auc,metodo,area_distribucion_km2
SP_1,arboles,20,0.985,SDM,6.98506e+06
SP_2,arboles,2,,UPFls,7.62797e+06
SP_3,arboles,30,0.971918,SDM,1.3032e+07
SP_4,arboles,46,0.991587,SDM,4.27199e+06
SP_5,arboles,1,,UPFls,5.44071e+06
SP_6,aves,6,,UPFls,0.000220614
SP_7,arboles,21,0.997531,SDM,1.20955e+07
SP_8,arboles,2,,UPFls,5.44071e+06
SP_9,arboles,7,,UPFls,1.30197e+07
SP_10,arboles,3,,UPFls,8.04675e+06
SP_11,arboles,1,,UPFls,6.73571e+06
SP_12,aves,1,,UPFls,0.000682644
SP_13,arboles,53,0.984519,SDM,6.30119e+06
SP_14,arboles,21,1,SDM,9.15306e+06
SP_15,arboles,2,,UPFls,9.15e+06
SP_16,arboles,3,,UPFls,4.95086e+06
SP_17,arboles,31,0.944935,SDM,5.38e+06
SP_18,arboles,94,0.952478,SDM,7.87614e+06
SP_19,arboles,19,0.978333,SDM,5.46064e+06
SP_20,arboles,16,1,SDM,6.08919e+06
SP_21,arboles,10,0.95,SDM,1.03e+07
SP_22,arboles,10,0.991667,SDM,1.17256e+07
SP_23,arboles,3,,UPFls,4.27702e+06
SP_24,arboles,3,,UPFls,6.28724e+06
SP_25,arboles,1,,UPFls,8.47389e+06
SP_26,arboles,2,,UPFls,8.41489e+06
SP_27,arboles,11,1,SDM,1.38247e+07
SP_28,arboles,5,,UPFls,9.24359e+06
SP_29,arboles,35,0.98642,SDM,3.91629e+06
SP_30,arboles,13,1,SDM,1.52568e+07
SP_31,arboles,1,,UPFls,6.45797e+06
SP_32,arboles,2,,UPFls,6.05e+06
SP_33,arboles,5,,UPFls,7.5936e+06
SP_34,arboles,3,,UPFls,1.07135e+07
SP_35,arboles,30,0.966667,SDM,1.35844e+07
SP_36,arboles,1,,UPFls,229000
SP_37,aves,12,0.968611,SDM,0.000429143
SP_38,aves,92,0.913637,SDM,0.000556895
SP_39,aves,34,0.821688,SDM,0.000542029
SP_40,arboles,37,0.935379,SDM,6.72656e+06
SP_41,arboles,17,0.998148,SDM,9.01767e+06
SP_42,arboles,4,,UPFls,7.60871e+06
SP_43,arboles,27,0.940909,SDM,1.371e+07
SP_44,arboles,4,,UPFls,1.1764e+07
SP_45,arboles,8,,UPFls,6.25916e+06
SP_46,arboles,13,1,SDM,8.85952e+06
SP_47,arboles,5,,UPFls,5.60566e+06
SP_48,aves,7,,UPFls,0.000205186
SP_49,arboles,2,,UPFls,1.3e+07
SP_50,arboles,2,,UPFls,1.26e+07
SP_51,arboles,3,,UPFls,6.80269e+06
SP_52,arboles,15,1,SDM,1.02197e+07
SP_53,arboles,1,,UPFls,6.58657e+06
SP_54,arboles,17,0.989286,SDM,8.94314e+06
SP_55,arboles,2,,UPFls,9.01767e+06
SP_56,arboles,2,,UPFls,5.18221e+06
SP_57,arboles,12,1,SDM,8.94314e+06
SP_58,arboles,3,,UPFls,5.35218e+06
SP_59,arboles,4,,UPFls,8.85952e+06
SP_60,arboles,3,,UPFls,7.60871e+06
SP_61,arboles,11,0.971429,SDM,7.85661e+06
SP_62,arboles,4,,UPFls,1.05512e+07
SP_63,arboles,34,0.976458,SDM,6.72656e+06
SP_64,arboles,2,,UPFls,5.96e+06
SP_65,arboles,17,0.984,SDM,210680
SP_66,aves,1,,UPFls,0.000235241
SP_67,arboles,1,,UPFls,1.33988e+07
SP_68,aves,6,,UPFls,0.000100606
SP_69,arboles,36,0.93434,SDM,8.33e+06
SP_70,arboles,53,0.901888,SDM,6.32287e+06
SP_71,arboles,63,0.978744,SDM,8.94238e+06
SP_72,aves,27,0.928704,SDM,0.000666968
SP_73,aves,23,0.9107,SDM,0.00055303
SP_74,aves,2,,UPFls,0.00113589
SP_75,arboles,2,,UPFls,7.5936e+06
SP_76,aves,28,0.933861,SDM,0.000555749
SP_77,arboles,15,1,SDM,3.83e+06
SP_78,arboles,6,,UPFls,6.8152e+06
SP_79,arboles,18,1,SDM,1.21452e+07
SP_80,arboles,18,1,SDM,3.83267e+06
SP_81,arboles,12,1,SDM,8.82083e+06
SP_82,arboles,1,,UPFls,1.34954e+06
SP_83,arboles,2,,UPFls,439324
SP_84,arboles,24,0.865741,SDM,1.02396e+07
SP_85,arboles,149,0.950405,SDM,1.02396e+07
SP_86,arboles,32,0.987073,SDM,1.55694e+07
SP_87,arboles,18,0.970125,SDM,1.15533e+07
SP_88,arboles,1,,UPFls,1.01119e+07
SP_89,arboles,6,,UPFls,3.83267e+06
SP_90,aves,72,0.996527,SDM,0.000666055
SP_91,aves,7,,UPFls,0.000526805
SP_92,aves,31,1,SDM,0.000136533
SP_93,arboles,54,0.966,SDM,1.14e+07
SP_94,arboles,2,,UPFls,1.06768e+07
SP_95,arboles,19,1,SDM,1.18654e+07
SP_96,aves,4,,UPFls,0.000265884
SP_97,arboles,3,,UPFls,6.99e+06
SP_98,arboles,126,0.947227,SDM,1.41658e+07
SP_99,arboles,4,,UPFls,1.55e+07
SP_100,arboles,1,,UPFls,8.07159e+06
SP_101,arboles,1,,UPFls,1.32e+07
SP_102,arboles,5,,UPFls,4.9192e+06
SP_103,arboles,8,,UPFls,1.38411e+07
SP_104,arboles,2,,UPFls,1.02e+07
SP_105,arboles,10,1,SDM,7.83997e+06
SP_106,arboles,2,,UPFls,6.21007e+06
SP_107,arboles,35,0.999089,SDM,1.03033e+07
SP_108,arboles,26,0.985926,SDM,4.9192e+06
SP_109,arboles,40,0.993844,SDM,1.12e+07
SP_110,arboles,106,0.958078,SDM,1.47233e+07
SP_111,arboles,14,1,SDM,1.47182e+07
SP_112,arboles,15,1,SDM,7.79e+06
SP_113,arboles,2,,UPFls,1.05697e+07
SP_114,arboles,45,0.980905,SDM,1.30942e+07
SP_115,aves,71,0.984177,SDM,0.000253859
SP_116,arboles,1,,UPFls,9.09681e+06
SP_117,aves,31,0.966213,SDM,0.000445153
SP_118,aves,13,0.805556,SDM,0.000355378
SP_119,arboles,12,0.925,SDM,1.00497e+07
SP_120,arboles,5,,UPFls,1.03405e+07
SP_121,arboles,13,0.941667,SDM,8.63577e+06
SP_122,arboles,4,,UPFls,1.18509e+07
SP_123,arboles,49,0.94989,SDM,6.31784e+06
SP_124,aves,13,0.998457,SDM,0.000668942
SP_125,arboles,10,1,SDM,1.41586e+07
SP_126,arboles,2,,UPFls,1.64e+07
SP_127,arboles,2,,UPFls,4.06131e+06
SP_128,arboles,11,0.9,SDM,9.1202e+06
SP_129,arboles,2,,UPFls,1.21e+07
SP_130,arboles,4,,UPFls,8.73246e+06
SP_131,arboles,5,,UPFls,1.00482e+07
SP_132,arboles,1,,UPFls,8.73246e+06
SP_133,aves,51,0.982588,SDM,0.000566284
SP_134,arboles,11,0.975397,SDM,9.30696e+06
SP_135,arboles,1,,UPFls,7.38e+06
SP_136,aves,29,0.965313,SDM,0.000534274
SP_137,aves,6,,UPFls,0.000213906
SP_138,arboles,19,1,SDM,4.06131e+06
SP_139,arboles,8,,UPFls,8.94314e+06
SP_140,arboles,5,,UPFls,8.58e+06
SP_141,arboles,7,,UPFls,2.46852e+06
SP_142,arboles,13,1,SDM,1.18476e+07
SP_143,arboles,29,1,SDM,1.11552e+07
SP_144,arboles,5,,UPFls,6.52724e+06
SP_145,arboles,16,0.972917,SDM,1.05512e+07
SP_146,arboles,16,0.962626,SDM,7.7053e+06
SP_147,arboles,1,,UPFls,5.52203e+06
SP_148,aves,37,0.964375,SDM,0.000224467
SP_149,arboles,10,0.981481,SDM,1.1009e+07
SP_150,arboles,14,0.923611,SDM,1.30876e+07
SP_151,arboles,97,0.968883,SDM,1.36566e+07
SP_152,arboles,17,0.989394,SDM,1.89e+07
SP_153,arboles,24,0.975,SDM,1.01318e+07
SP_154,arboles,14,0.981944,SDM,7.86722e+06
SP_155,arboles,23,0.9805,SDM,9.20164e+06
SP_156,aves,11,0.8,SDM,0.000544121
SP_157,arboles,2,,UPFls,1.04062e+07
SP_158,arboles,1,,UPFls,8.94e+06
SP_159,arboles,37,0.994444,SDM,5.81634e+06
SP_160,arboles,91,0.984997,SDM,1.20955e+07
SP_161,arboles,8,,UPFls,2.3e+07
SP_162,arboles,7,,UPFls,4.13e+07
SP_163,aves,10,0.9975,SDM,0.000532713
SP_164,aves,13,0.964286,SDM,0.000508663
SP_165,aves,18,1,SDM,0.000326418
SP_166,aves,8,,UPFls,0.000154447
SP_167,aves,20,0.995333,SDM,0.00012934
SP_168,aves,156,0.982891,SDM,0.000548448
SP_169,aves,60,0.970694,SDM,3.2022e-05
SP_170,aves,4,,UPFls,0.000262015
SP_171,aves,71,0.897895,SDM,0.000255696
SP_172,arboles,16,0.975772,SDM,8.4408e+06
SP_173,arboles,6,,UPFls,6.30119e+06
SP_174,arboles,41,0.979846,SDM,3.83267e+06
SP_175,arboles,34,0.999537,SDM,9.6976e+06
SP_176,arboles,18,0.975,SDM,1.31503e+07
