ecosistema,metrica,media,mediana,se,q25,q75,n
forest,05,0.034947552131518754,0.029439262,0.005914308289438134,-0.1526670185,0.21118661049999998,4372
forest,Median,0.03082726339867338,0.019159759499999998,0.002341569679656979,-0.0438736465,0.09330780025,4372
forest,95,0.02662926042932296,0.010195454,0.004255184388094398,-0.10006500825,0.1295148515,4372
grassland,05,-0.012181960220016544,-0.005757693,0.005981455061696541,-0.08941835,0.066386744,1209
grassland,Median,0.037716155728701406,0.02744471,0.003067640162748149,-0.016606662,0.090284788,1209
grassland,95,0.09396584018775848,0.062971676,0.006830266517593037,-0.01717084,0.16435044,1209
summit,05,0.16742957166910782,0.1113198715,0.018712520112079207,-0.049276387,0.29284709,486
summit,Median,0.0568322593078498,0.032561396,0.01720549701057451,-0.0869474395,0.187097237,486
summit,95,-0.05370880465106378,-0.0048677370000000005,0.024347749821695953,-0.183481787,0.15890968575,486
