ecosistema,metrica,media,mediana,se,n
forest,05,0.32904087743366883,0.287755027,0.006590795455005341,4372
forest,Median,0.3331611661660567,0.30635524199999997,0.003431378699916875,4372
forest,95,0.33735916914135405,0.3146203045,0.0048137373986878685,4372
grassland,05,0.20686625352274607,0.188887873,0.008549407333784613,1209
grassland,Median,0.1569681375657568,0.142108769,0.006823914980173629,1209
grassland,95,0.10071845311248966,0.09041848,0.009119106063383066,1209
summit,05,0.25610130345473253,0.2473922705,0.022519342101822357,486
summit,Median,0.3666986158168724,0.331140206,0.021261082486750953,486
summit,95,0.47723967977366255,0.36714953149999996,0.027326653861013354,486
