sector,porcentaje,emision_kg
IOS,86.1,3788.52944
CK,11.0,482.66871
SPb,0.9,38.87117
SAl,0.8,36.58182
Scu,0.6,26.50423
HWI,0.3,12.32595
MWI,0.2,11.55771
MSWI,0.1,2.58693
