pais,emision_g_per_capita
AUSTRALIA,47.0899268259939
GREENLAND,36.4746871820502
ANDORRA,18.8955351
SAN MARINO,15.500215
VANUATU,14.0239803160465
BELIZE,11.4457481168175
BERMUDA,9.91369817578773
GABON,9.12397240526055
GUYANA,7.52635179003811
TONGA,6.36172325249643
BOTSWANA,6.05367933298768
NAMIBIA,5.88634731136311
SWEDEN,5.55813010210623
DJIBOUTI,5.1189502817826
CAPE VERDE,4.53373832724675
MAURITANIA,3.94995774959615
KAZAKHSTAN,3.61781109611978
BRAZIL,3.45308908857232
EAST TIMOR,3.2885259283034
LAOS,3.28295739651733
TURKMENISTAN,3.21898327239967
MONGOLIA,3.15800929904786
GUINEA-BISSAU,2.84146278744178
ANTIGUA AND BARBUDA,2.48529882347805
CENTRAL AFRICAN REPUBLIC,2.42795508343834
LESOTHO,2.41331572958717
CANADA,2.35100404126548
UKRAINE,2.17218923528865
SOUTH AFRICA,2.07043173870694
PAPUA NEW GUINEA,2.00099965409782
GAMBIA,1.86858914580296
ZAMBIA,1.63918291055009
LIBERIA,1.26879467986092
CHILE,1.21599473760731
COMOROS,1.18225792946917
LIBYA,1.16840288042548
RUSSIAN FEDERATION,1.09588741649056
KYRGYZSTAN,1.0633981780224
BOLIVIA,1.03803373939909
COTE DA,0.927202680098539
MOLDOVA,0.907881307755643
"KOREA, REPUBLIC OF",0.907259612713743
AFGHANISTAN,0.899815366754415
ISRAEL,0.871707569685234
MADAGASCAR,0.870400548063156
IRAN,0.769845344107567
UZBEKISTAN,0.750322793048935
PERU,0.742281460991846
BOSNIA AND HERZEGOVINA,0.709985671678077
SWAZILAND,0.691574281213483
BRUNEI,0.6882076062578
AUSTRIA,0.681439620831966
NIGER,0.637316252631322
CHINA,0.601146599876742
PALAU,0.559785042543663
NICARAGUA,0.54471592836103
LEBANON,0.529181347369673
LUXEMBOURG,0.513325020843462
"KOREA,DEMOCRATIC PEOPLE'S REPUBLIC OF",0.495717928585982
BURUNDI,0.493666778846288
GUINEA,0.454348370480158
GREECE,0.449595407508821
KENYA,0.406111035218011
BENIN,0.403533198226601
CHAD,0.397221557515568
MEXICO,0.381812752232333
ICELAND,0.377928443534193
QATAR,0.355479692623418
ANGOLA,0.344517359135599
HONDURAS,0.335534333723073
UNITED STATES,0.332269140920455
UNITED STATES,0.332269140920455
SURINAME,0.316602290635149
TURKEY,0.315993048853098
ESTONIA,0.314866666583334
MALTA,0.288615584639714
MALAYSIA,0.275800169941345
CYPRUS,0.273898229463101
SENEGAL,0.270274606419851
INDIA,0.269627847238968
BAHRAIN,0.256116614053529
MALAWI,0.254221044417585
CAMBODIA,0.237631347503232
BELGIUM,0.233948010263495
BHUTAN,0.227642613532207
MYANMAR,0.221490086567022
OMAN,0.221101484976899
MONTENEGRO,0.220537470285647
VIET NAM,0.21937384389791
SUDAN,0.21252878546636
SAINT KITTS AND NEVIS,0.209375850589393
SIERRA LEONE,0.205252984057741
ECUADOR,0.193761157361284
NEW ZEALAND,0.190981633094341
VENEZUELA,0.179472423356694
SAUDI ARABIA,0.179026997509601
EQUATORIAL GUINEA,0.176933854207235
SOMALIA,0.173270372628965
SLOVENIA,0.165109605333487
IRELAND,0.163213554247259
SOLOMON ISLANDS,0.162653045698499
"MACEDONIA,THE FORMER YUGOSLAV REPUBLIC OF",0.161039439470694
LATVIA,0.151340621188034
ALBANIA,0.148503135721882
BURKINA FASO,0.145248930218882
DENMARK,0.143660254963606
BULGARIA,0.143421664373751
SAO TOME AND PRINCIPE,0.14013795045045
SLOVAKIA,0.139147797559562
PAKISTAN,0.135955079409622
MALI,0.133954353446507
TUNISIA,0.133841059143753
YEMEN,0.130579685372569
ETHIOPIA,0.129209885863006
NORWAY,0.126807693111732
JAMAICA,0.124876428301504
GERMANY,0.122483478704456
EGYPT,0.121527484908977
LITHUANIA,0.117302140014543
ALGERIA,0.116060493969074
SWITZERLAND,0.115873424175486
CZECH REPUBLIC,0.115550359086411
PORTUGAL,0.112909046509848
POLAND,0.110727106182932
NEPAL,0.106769707428903
ITALY,0.105488968230887
FINLAND,0.104931352197267
CROATIA,0.103781426801216
JAPAN,0.103236816104095
SINGAPORE,0.0986992431696397
MAURITIUS,0.0978276823812162
BELARUS,0.0968936442452918
SAINT VINCENT AND THE GRENADINES,0.0949839002289112
THAILAND,0.0902169452997779
"MICRONESIA,FEDERATED STATES OF",0.0901477521657997
TRINIDAD AND TOBAGO,0.085842923781276
ROMANIA,0.0855385948713732
PANAMA,0.085007983904947
GRENADA,0.0820761995436563
KIRIBATI,0.0817922313738641
FRANCE,0.080314751311047
FRANCE,0.080314751311047
NETHERLANDS,0.0778731944463774
SERBIA,0.077415296454241
TAJIKISTAN,0.074412488206423
RWANDA,0.0701569837329139
MOROCCO,0.0684582119503053
AZERBAIJAN,0.0679131428850113
SPAIN,0.0658341311538041
ARGENTINA,0.0653656004262366
COLOMBIA,0.063482726722499
UNITED KINGDOM,0.0633158673226492
HUNGARY,0.0598578398960967
CUBA,0.0564914209121908
INDONESIA,0.0562425251569727
ARMENIA,0.0544304345021094
SAMOA,0.0476869447451371
TOGO,0.0442033999044973
PARAGUAY,0.0427111952084389
JORDAN,0.0423953827319951
PHILIPPINES,0.0381722606142877
