sector,ef_clpahs_mg_kt,ef_brpahs_mg_kt
SAl,630.0,40.0
SCu,1250.5,206.7
SPb,5110.0,130.0
SZn,167000.0,3580.0
PCu,39481.8,11689.0
IOS,1330.0,70.0
CK,96.0,5.4
HWI,2.3,0.43
MWI,27.0,7.8
MSWI,13.53,5.58
