pais,emision_total_kg
Afghanistan,34.191223
Albania,0.427449792327372
Algeria,4.82048719648193
Andorra,1.4206569
Angola,10.03595
Antigua and Barbuda,0.22771799
Argentina,2.89207438705946
Armenia,1.0323931
Australia,1392.62708907811
Austria,6.01183205776406
Azerbaijan,0.69
Bahamas,0.01
Bahrain,0.379138387864931
Bangladesh,4.90904423356186
Barbados,0.01
Belarus,0.940280050273729
Belgium,2.67106116812569
Belize,4.767561
Benin,4.537466
Bermuda,0.30159906
Bhutan,0.17
Bolivia,12.607121
Bosnia and Herzegovina,2.42801538987573
Botswana,13.722411
Brazil,722.843302013449
Brunei,0.29887067
Bulgaria,1.02546948976558
Burkina Faso,3.4554429
Burundi,5.479308
Cambodia,3.3982876
Cameroon,0.632120720629872
Canada,86.4783240731757
Cape Verde,2.4016277
Central African Republic,8.980828
Chad,5.6406675
Chile,22.5331339726113
China,850.267097463523
Colombia,3.09771189376735
Comoros,0.043995255
Congo,26.250543
"Congo, the democratic republic of the",94.43526
Costa Rica,0.01
Côte d'Ivoire,23.103158
Croatia,0.433402239153121
Cuba,1.0205587
Cyprus,0.332448632280739
Czech Republic,1.21713295263464
Denmark,0.826390388691116
Djibouti,4.6756416
Dominican Republic,1.12653044155019
East Timor,3.7217563
Ecuador,3.1324612
Egypt,12.4909483008707
El Salvador,0.01
Equatorial Guinea,0.01
Estonia,0.415404852690059
Ethiopia,14.198152
Fiji,0.03
Finland,0.578493260270074
France,5.15732003599288
Gabon,19.998441
Gambia,4.1453467
Germany,10.1373162088733
Ghana,0.789562382115556
Greece,4.79351384999844
Greenland,1.8200248
Grenada,0.01
Guatemala,0.5656774
Guinea,5.2010444
Guinea-Bissau,5.0152466
Guyana,5.6841055
Haiti,0.32628195877941
Honduras,1.0687585
Hungary,0.585364421656865
Iceland,0.13
India,367.165424117405
Indonesia,14.9489131894893
Iran,65.5114384057711
Iraq,0.439938
Ireland,0.78375964817305
Israel,7.2850913
Italy,6.3228911355598
Jamaica,0.350977314754921
Japan,13.0564787517866
Jordan,1.478687
Kazakhstan,66.6716964416954
Kenya,18.113498
Kiribati,0.01
"Korea, democratic people's republic of",22.417613
"Korea, republic of",23.206477
Kuwait,0.01
Kyrgyzstan,6.247322
Laos,22.585979
Latvia,0.294417136415474
Lebanon,2.7767966
Lesotho,4.822426
Liberia,6.14400501378513
Libya,7.49826
Lithuania,0.33900189431849
Luxembourg,0.30900061622191
Madagascar,22.554797
Malawi,4.25623
Malaysia,8.87914983471581
Maldives,0.01
Mali,11.461046
Malta,0.14
Mauritania,16.6477249789552
Mauritius,0.01
Mexico,47.1414900404489
"Micronesia, federated states of",0.01
Moldova,1.2596571
Mongolia,9.88326169017
Montenegro,0.14
Morocco,2.44635762695476
Mozambique,0.546148728062912
Myanmar,11.665
Namibia,14.191403
Nepal,3.047296
Netherlands,1.34314432022681
New Zealand,5.64804861019111
Nicaragua,3.6800967
Niger,14.740602
Nigeria,4.22428409179552
Norway,0.671578361412071
Oman,1.01395217427487
Pakistan,29.6367471537447
Palau,0.01
Panama,0.01
Papua New Guinea,18.87427
Paraguay,1.2299146
Peru,23.6405125117628
Philippines,4.10976628068683
Poland,4.2667225447978
Portugal,1.16276253967579
Puerto Rico,0.01
Qatar,0.976724534964727
Romania,1.68125030433389
Russia,159.541125704118
Rwanda,0.5776085
Saint Kitts and Nevis,0.01
Saint Vincent and the Grenadines,0.01
Samoa,0.01
San Marino,0.5299367
Sao tome and Principe,0.01
Saudi Arabia,6.19639543068152
Senegal,6.403848
Serbia,0.576712063481957
Sierra Leone,1.59463383198477
Singapore,0.571447101517203
Slovakia,0.757408595937221
Slovenia,0.347109427963774
Solomon Islands,0.11
Somalia,6.694615
South Africa,117.95519392669
Spain,3.07124753935894
Srilanka,0.01
Sudan,8.479987
Swaziland,0.3809701
Switzerland,0.983084267262572
Syrian Arab Republic,5.735656
Tajikistan,0.67
Tanzania,1.151228451973
Thailand,6.4080601857572
Togo,0.35139072821781
Tonga,0.18697594
Trinidad and Tobago,0.12916862
Tunisia,1.58918952084259
Turkey,26.167164444363
Turkmenistan,19.87037
Uganda,0.707125980803113
Ukraine,96.7979894727085
United Kingdom,4.19529942820757
United states,109.990712146221
Uruguay,0.08472873
Uzbekistan,24.335525
Vanuatu,4.203665
Venezuela,5.44461362871464
Vietnam,20.7261825684602
Yemen,11.772205
Zambia,28.1883
Zimbabwe,0.398298865629412
Sweden,56.19
Macedonia,0.34
suriname,0.19
