anio,torque_em_ref_3e8S_Nm,torque_top_ref_Ktop1_Nm
1964.08,-2.12421e+18,-2.14958e+18
1965.08,-2.09703e+18,-2.10177e+18
1966.08,-2.07069e+18,-2.03387e+18
1967.08,-2.02564e+18,-1.95283e+18
1968.08,-1.96675e+18,-1.86926e+18
1969.08,-1.92466e+18,-1.81447e+18
1970.08,-1.90095e+18,-1.74964e+18
1971.08,-1.89854e+18,-1.7199e+18
1972.08,-1.88115e+18,-1.69308e+18
1973.08,-1.89068e+18,-1.71228e+18
1974.08,-1.94597e+18,-1.7779e+18
1975.08,-2.01536e+18,-1.86981e+18
1976.08,-2.09377e+18,-1.94946e+18
1977.08,-2.18577e+18,-2.02283e+18
1978.08,-2.2772e+18,-2.0968e+18
1979.08,-2.35951e+18,-2.17848e+18
1980.08,-2.42943e+18,-2.23808e+18
1981.08,-2.50356e+18,-2.26408e+18
1982.08,-2.5312e+18,-2.23112e+18
1983.08,-2.56811e+18,-2.22901e+18
1984.08,-2.61218e+18,-2.3086e+18
1985.08,-2.68382e+18,-2.43389e+18
1986.08,-2.73445e+18,-2.52046e+18
1987.08,-2.79478e+18,-2.59802e+18
1988.08,-2.83687e+18,-2.66097e+18
1989.08,-2.86292e+18,-2.69502e+18
1990.08,-2.87971e+18,-2.69972e+18
1991.08,-2.89066e+18,-2.67268e+18
1992.08,-2.90849e+18,-2.62729e+18
1993.08,-2.94319e+18,-2.61185e+18
1994.08,-2.97231e+18,-2.61065e+18
1995.08,-3.01278e+18,-2.63712e+18
1996.08,-3.08196e+18,-2.69575e+18
1997.08,-3.16645e+18,-2.76061e+18
1998.08,-3.20301e+18,-2.79542e+18
1999.08,-3.18879e+18,-2.80179e+18
2000.08,-3.17803e+18,-2.79488e+18
2001.08,-3.17717e+18,-2.78409e+18
2002.08,-3.19713e+18,-2.79884e+18
2003.08,-3.21741e+18,-2.81552e+18
2004.08,-3.23921e+18,-2.81657e+18
2005.08,-3.25836e+18,-2.81969e+18
2006.08,-3.20024e+18,-2.80244e+18
2007.08,-3.13911e+18,-2.77093e+18
2008.08,-3.15484e+18,-2.74099e+18
2009.08,-3.19542e+18,-2.69198e+18
2010.08,-3.22096e+18,-2.63159e+18
2011.08,-3.21682e+18,-2.56731e+18
2012.08,-3.15488e+18,-2.52322e+18
2013.08,-3.09071e+18,-2.54024e+18
2014.08,-3.08608e+18,-2.60054e+18
2015.08,-3.10008e+18,-2.61404e+18
2016.08,-3.06578e+18,-2.50527e+18
2017.08,-3.0417e+18,-2.3904e+18
2018.08,-3.00152e+18,-2.34616e+18
2019.08,-2.9583e+18,-2.33337e+18
