anio,dlod_decadal_ms,dlod_multidecadal_ms
1964.0,1.75914,0.827168
1964.0027379,1.76034,0.827429
1964.0054757,1.76153,0.82769
1964.0082136,1.76276,0.827951
1964.0109514,1.76395,0.828212
1964.0136893,1.76518,0.828472
1964.0164271,1.76637,0.828733
1964.019165,1.76755,0.828994
1964.0219028,1.76878,0.829255
1964.0246407,1.76996,0.829516
1964.0273785,1.77114,0.829777
1964.0301164,1.77236,0.830037
1964.0328542,1.77353,0.830298
1964.0355921,1.77475,0.830559
1964.0383299,1.77592,0.83082
1964.0410678,1.77709,0.831081
1964.0438056,1.7783,0.831342
1964.0465435,1.77947,0.831602
1964.0492813,1.78068,0.831863
1964.0520192,1.78184,0.832124
1964.054757,1.783,0.832385
1964.0574949,1.78421,0.832646
1964.0602327,1.78537,0.832907
1964.0629706,1.78652,0.833168
1964.0657084,1.78772,0.833429
1964.0684463,1.78888,0.83369
1964.0711841,1.79007,0.83395
1964.073922,1.79122,0.834211
1964.0766598,1.79237,0.834472
1964.0793977,1.79356,0.834733
1964.0821355,1.79471,0.834994
1964.0848734,1.79585,0.835255
1964.0876112,1.79704,0.835516
1964.0903491,1.79818,0.835777
1964.0930869,1.79936,0.836038
1964.0958248,1.8005,0.836299
1964.0985626,1.80164,0.83656
1964.1013005,1.80281,0.83682
1964.1040383,1.80395,0.837081
1964.1067762,1.80508,0.837342
1964.109514,1.80625,0.837603
1964.1122519,1.80738,0.837864
1964.1149897,1.80855,0.838125
1964.1177276,1.80968,0.838386
1964.1204654,1.8108,0.838647
1964.1232033,1.81197,0.838908
1964.1259411,1.81309,0.839169
1964.128679,1.81421,0.83943
1964.1314168,1.81537,0.839691
1964.1341547,1.81648,0.839952
1964.1368925,1.81764,0.840213
1964.1396304,1.81875,0.840474
1964.1423682,1.81987,0.840735
1964.1451061,1.82102,0.840995
1964.1478439,1.82213,0.841256
1964.1505818,1.82328,0.841517
1964.1533196,1.82438,0.841778
1964.1560575,1.82549,0.842039
1964.1587953,1.82663,0.8423
1964.1615332,1.82773,0.842561
1964.164271,1.82883,0.842822
1964.1670089,1.82997,0.843083
1964.1697467,1.83107,0.843344
1964.1724846,1.83221,0.843605
1964.1752225,1.8333,0.843866
1964.1779603,1.83439,0.844127
1964.1806982,1.83553,0.844388
1964.183436,1.83662,0.844649
1964.1861739,1.8377,0.84491
1964.1889117,1.83883,0.845171
1964.1916496,1.83992,0.845432
1964.1943874,1.84104,0.845693
1964.1971253,1.84212,0.845954
1964.1998631,1.8432,0.846215
1964.202601,1.84432,0.846476
1964.2053388,1.8454,0.846737
1964.2080767,1.84648,0.846998
1964.2108145,1.84759,0.847259
1964.2135524,1.84867,0.84752
1964.2162902,1.84978,0.847781
1964.2190281,1.85085,0.848042
1964.2217659,1.85192,0.848303
1964.2245038,1.85303,0.848564
1964.2272416,1.8541,0.848825
1964.2299795,1.8552,0.849086
1964.2327173,1.85627,0.849346
1964.2354552,1.85733,0.849607
1964.238193,1.85843,0.849868
1964.2409309,1.85949,0.850129
1964.2436687,1.86055,0.85039
1964.2464066,1.86164,0.850651
1964.2491444,1.8627,0.850912
1964.2518823,1.86379,0.851173
1964.2546201,1.86484,0.851434
1964.257358,1.8659,0.851695
1964.2600958,1.86699,0.851956
1964.2628337,1.86803,0.852217
1964.2655715,1.86908,0.852478
1964.2683094,1.87017,0.852739
1964.2710472,1.87121,0.853
1964.2737851,1.87229,0.853261
1964.2765229,1.87333,0.853522
1964.2792608,1.87438,0.853783
1964.2819986,1.87545,0.854044
1964.2847365,1.87649,0.854305
1964.2874743,1.87753,0.854566
1964.2902122,1.8786,0.854827
1964.29295,1.87963,0.855088
1964.2956879,1.8807,0.855349
1964.2984257,1.88174,0.85561
1964.3011636,1.88277,0.85587
1964.3039014,1.88383,0.856131
1964.3066393,1.88486,0.856392
1964.3093771,1.88592,0.856653
1964.312115,1.88695,0.856914
1964.3148528,1.88797,0.857175
1964.3175907,1.88903,0.857436
1964.3203285,1.89005,0.857697
1964.3230664,1.89107,0.857958
1964.3258042,1.89213,0.858219
1964.3285421,1.89314,0.85848
1964.3312799,1.89419,0.858741
1964.3340178,1.89521,0.859002
1964.3367556,1.89622,0.859262
1964.3394935,1.89727,0.859523
1964.3422313,1.89828,0.859784
1964.3449692,1.89929,0.860045
1964.347707,1.90033,0.860306
1964.3504449,1.90134,0.860567
1964.3531828,1.90238,0.860828
1964.3559206,1.90339,0.861089
1964.3586585,1.90439,0.86135
1964.3613963,1.90543,0.861611
1964.3641342,1.90643,0.861871
1964.366872,1.90743,0.862132
1964.3696099,1.90846,0.862393
1964.3723477,1.90946,0.862654
1964.3750856,1.91049,0.862915
1964.3778234,1.91148,0.863176
1964.3805613,1.91247,0.863437
1964.3832991,1.9135,0.863697
1964.386037,1.91449,0.863958
1964.3887748,1.91552,0.864219
1964.3915127,1.9165,0.86448
