anio,alpha_grados
1964,-0.804364
1964.5,-0.780015
1965,-0.754133
1965.5,-0.726846
1966,-0.698272
1966.5,-0.668525
1967,-0.637711
1967.5,-0.60593
1968,-0.57328
1968.5,-0.539849
1969,-0.505725
1969.5,-0.470991
1970,-0.435724
1970.5,-0.399999
1971,-0.363889
1971.5,-0.327463
1972,-0.290786
1972.5,-0.253923
1973,-0.216933
1973.5,-0.179875
1974,-0.1428
1974.5,-0.105758
1975,-0.0687967
1975.5,-0.0319588
1976,0.00471415
1976.5,0.0411833
1977,0.0774121
1977.5,0.113366
1978,0.149012
1978.5,0.18432
1979,0.219259
1979.5,0.253802
1980,0.287922
1980.5,0.321595
1981,0.354794
1981.5,0.387498
1982,0.419683
1982.5,0.451329
1983,0.482415
1983.5,0.512921
1984,0.542827
1984.5,0.572116
1985,0.600767
1985.5,0.628758
1986,0.656068
1986.5,0.68267
1987,0.708537
1987.5,0.733641
1988,0.757952
1988.5,0.781439
1989,0.804069
1989.5,0.825809
1990,0.846625
1990.5,0.866482
1991,0.885342
1991.5,0.90317
1992,0.919927
1992.5,0.935575
1993,0.950075
1993.5,0.963387
1994,0.975471
1994.5,0.986288
1995,0.995795
1995.5,1.00395
1996,1.01072
1996.5,1.01605
1997,1.0199
1997.5,1.02223
1998,1.023
1998.5,1.02217
1999,1.01968
1999.5,1.01551
2000,1.00959
2000.5,1.0019
2001,0.992392
2001.5,0.981043
2002,0.967844
2002.5,0.952797
2003,0.935914
2003.5,0.917217
2004,0.896737
2004.5,0.874513
2005,0.850592
2005.5,0.82503
2006,0.797886
2006.5,0.769228
2007,0.739128
2007.5,0.707664
2008,0.674917
2008.5,0.640974
2009,0.605926
2009.5,0.569866
2010,0.532892
2010.5,0.495107
2011,0.456647
2011.5,0.417706
2012,0.378532
2012.5,0.339427
2013,0.300736
2013.5,0.262852
2014,0.226203
2014.5,0.191256
2015,0.158513
2015.5,0.128497
2016,0.101678
2016.5,0.078405
2017,0.058903
2017.5,0.0432878
2018,0.0315727
2018.5,0.0236774
2019,0.0194351
