cadena,gamma_Nm,tau_anios,k_em,chi_ms,prob
A,1.1037e+19,11.875,0.52468,0.30654,0.30895
A,8.336e+18,10.049,0.3967,0.24811,0.46325
A,1.4486e+19,7.3156,1.1376,0.26066,0.42771
A,9.6228e+18,10.449,0.52763,0.15869,0.72996
A,1.4836e+19,11.768,1.4409,0.17019,0.69624
A,2.2996e+19,12.353,3.2039,0.30703,0.30779
A,7.4982e+18,31.997,0.73968,0.24705,0.46631
A,1.8613e+19,14.42,2.0906,0.30846,0.30442
A,1.3192e+19,7.5501,0.67469,0.15992,0.72638
A,1.2894e+19,5.1192,0.64097,0.24511,0.4719
A,7.9209e+18,9.0945,0.02287,0.25221,0.45152
A,7.5633e+18,9.1879,0.057245,0.23912,0.48931
A,1.1294e+19,8.1813,0.51035,0.245,0.47222
A,1.18e+19,10.441,1.0226,0.19772,0.61344
A,1.5483e+19,36.835,1.8827,0.25549,0.44222
A,1.4233e+19,8.5048,1.4081,0.18574,0.64971
A,1.386e+19,9.1634,1.5926,0.26887,0.4051
A,1.0981e+19,4.6911,0.016397,0.15027,0.75409
A,1.469e+19,6.7091,0.69911,0.098087,0.88669
A,2.1983e+19,59.022,3.6747,0.25981,0.43009
A,5.7518e+18,29.917,0.14334,0.27488,0.38888
A,1.7746e+19,14.468,2.3986,0.17198,0.69092
A,2.9377e+19,43.751,5.4298,0.19902,0.60949
A,1.162e+19,8.7805,0.6757,0.2501,0.45756
A,1.508e+19,12.652,1.6626,0.22452,0.53252
A,1.8716e+19,9.9932,1.7434,0.27072,0.40006
A,1.743e+19,13.512,1.7708,0.1932,0.62714
A,2.0616e+19,11.537,2.2892,0.2375,0.49406
A,1.6529e+19,12.84,1.477,0.27736,0.38228
A,1.3944e+19,18.928,1.782,0.089637,0.90444
A,1.0015e+19,33.059,1.1166,0.289,0.35204
A,1.525e+19,4.3946,0.013575,0.20964,0.57733
A,5.4439e+18,29.955,0.4572,0.27318,0.39343
A,8.0009e+18,8.817,0.36128,0.10937,0.86113
A,9.7003e+18,9.9459,1.0991,0.20165,0.60152
A,1.3676e+19,7.6359,0.55638,0.25987,0.42993
A,1.235e+19,6.0972,0.6682,0.28727,0.35646
A,9.22e+18,31.068,1.1559,0.28693,0.35732
A,1.0682e+19,6.5711,0.29335,0.29583,0.33489
A,1.6897e+19,21.955,2.6207,0.30099,0.32224
A,1.1197e+19,23.497,0.97798,0.24852,0.46207
A,8.6323e+18,29.345,0.67411,0.22131,0.54213
