cadena,gamma_Nm,tau_anios,k_em,chi_ms,prob
B,1.4533e+19,11.653,1.7219,0.27776,0.38121
B,1.1118e+19,20.374,0.65596,0.27187,0.39696
B,1.0151e+19,15.795,1.1493,0.27641,0.38479
B,1.0238e+19,7.931,0.13686,0.29304,0.34184
B,1.616e+19,6.93,0.31141,0.23597,0.49856
B,5.6148e+18,21.102,0.28569,0.30821,0.305
B,1.4657e+19,6.3459,0.69545,0.21174,0.57097
B,2.2095e+19,5.1214,0.32869,0.26383,0.41891
B,8.9746e+18,6.2979,0.002649,0.2743,0.39044
B,7.931e+18,13.258,0.99024,0.25759,0.43632
B,1.1445e+19,23.054,1.1321,0.1635,0.71594
B,1.1772e+19,5.5685,0.31031,0.2136,0.56534
B,6.8193e+18,13.884,0.1669,0.22031,0.54514
B,1.2732e+19,9.663,0.76183,0.29588,0.33478
B,1.253e+19,33.147,1.8217,0.15295,0.74646
B,1.2945e+19,8.2197,0.5986,0.30382,0.31543
B,1.0276e+19,11.158,0.14434,0.3033,0.31668
B,1.0827e+19,7.629,0.49327,0.29464,0.33786
B,1.7713e+19,14.505,1.4983,0.22729,0.52426
B,2.2398e+19,16.792,2.962,0.23294,0.50751
B,1.4569e+19,9.3985,1.3353,0.28176,0.3707
B,1.522e+19,13.659,2.0723,0.23118,0.51272
B,1.7498e+19,14.038,2.4704,0.29169,0.34524
B,7.5055e+18,10.412,0.69478,0.27699,0.38327
B,1.9451e+19,12.384,1.6122,0.2101,0.57594
B,5.3531e+18,30.887,0.20338,0.3037,0.3157
B,1.7652e+19,4.5799,1.14,0.23806,0.49242
B,6.1357e+18,22.657,0.21413,0.28724,0.35653
B,1.3649e+19,13.089,0.86839,0.28172,0.37081
B,8.2857e+18,10.846,0.22317,0.14633,0.76518
B,8.3735e+18,13.16,0.87655,0.30433,0.3142
B,1.2281e+19,12.18,1.4464,0.19197,0.63088
B,7.8802e+18,14.131,0.30658,0.22437,0.53298
B,5.4195e+18,20.076,0.28569,0.22504,0.53098
B,9.2855e+18,7.2842,0.43401,0.27654,0.38445
B,1.4791e+19,16.717,1.564,0.28648,0.35847
B,9.7863e+18,12.471,1.2756,0.24155,0.48223
B,7.5383e+18,18.66,0.32341,0.19571,0.61953
B,1.4135e+19,10.856,1.2561,0.30776,0.30606
B,1.8202e+19,8.5656,1.7401,0.23619,0.49792
B,7.6415e+18,15.781,0.57658,0.21636,0.55702
B,6.263e+18,12.342,0.054133,0.28435,0.36398
B,9.7723e+18,16.209,1.3008,0.30216,0.31942
B,1.3471e+19,8.5873,1.0743,0.19046,0.63544
B,5.6047e+18,12.639,0.11209,0.14483,0.76935
B,1.7991e+19,12.463,1.2585,0.25099,0.455
B,2.083e+19,4.6169,1.1174,0.30226,0.31916
B,8.5513e+18,16.8,1.0367,0.18193,0.66116
B,1.8631e+19,15.615,2.6399,0.25084,0.45542
B,1.5522e+19,15.989,2.1951,0.20806,0.5821
B,2.0943e+19,10.64,1.7942,0.30886,0.30349
B,2.5511e+19,14.3,3.0996,0.30728,0.30721
B,1.3821e+19,16.022,1.5821,0.27656,0.38439
B,8.445e+18,35.887,0.89732,0.28696,0.35726
B,1.0839e+19,12.416,0.56876,0.29922,0.32655
B,1.2302e+19,9.2943,0.78352,0.30329,0.31669
B,1.2767e+19,13.852,1.3779,0.26603,0.41285
B,1.333e+19,24.556,2.3359,0.18743,0.6446
B,6.5206e+18,30.691,0.79795,0.27398,0.39128
B,6.5332e+18,26.498,0.57956,0.28046,0.3741
B,9.9226e+18,8.2123,0.62169,0.26398,0.41851
B,7.3465e+18,15.649,0.32248,0.28008,0.3751
B,2.2998e+19,15.852,2.2717,0.27662,0.38423
B,2.1002e+19,5.9485,1.1616,0.21415,0.56369
B,1.3758e+19,12.458,1.4836,0.29992,0.32484
B,1.6506e+19,7.8851,1.0256,0.29516,0.33655
B,1.4127e+19,15.367,1.8402,0.2394,0.48851
B,1.4564e+19,25.099,2.7122,0.26263,0.42223
B,8.8673e+18,36.895,0.88136,0.20355,0.59576
B,9.9384e+18,11.007,0.044317,0.25416,0.44599
B,7.6199e+18,10.684,0.007369,0.26331,0.42036
B,1.0892e+19,9.8883,1.0294,0.19791,0.61288
B,1.0242e+19,8.3708,0.33648,0.16599,0.70865
B,1.5028e+19,13.195,1.5758,0.20857,0.58056
B,1.1189e+19,12.073,1.1148,0.29401,0.33942
B,7.4428e+18,24.952,1.0507,0.30549,0.31143
B,1.7487e+19,4.8864,0.36527,0.2988,0.32758
B,1.3307e+19,5.8705,0.31953,0.25107,0.45476
B,1.6677e+19,22.237,3.6141,0.19257,0.62904
B,1.0667e+19,16.076,0.69495,0.30079,0.32274
B,5.7323e+18,42.506,0.82065,0.28069,0.3735
B,2.0883e+19,21.064,4.116,0.28728,0.35644
B,1.8986e+19,16.654,2.8457,0.27547,0.38731
B,1.5154e+19,7.0917,0.83909,0.29706,0.33186
B,1.6777e+19,7.0075,1.3096,0.27405,0.39111
B,1.8671e+19,20.277,2.3124,0.27538,0.38754
B,8.8549e+18,10.174,0.41137,0.22837,0.52106
B,6.5621e+18,22.69,0.12313,0.29811,0.32927
B,1.348e+19,11.007,1.6965,0.30001,0.32463
B,7.4534e+18,19.705,0.51623,0.28905,0.35191
B,1.0943e+19,3.6924,0.18571,0.307,0.30785
B,9.8263e+18,10.109,0.66569,0.2736,0.39231
B,8.8995e+18,15.327,0.90131,0.26508,0.41546
B,9.0718e+18,14.995,0.36588,0.27631,0.38507
B,1.437e+19,4.2248,0.20786,0.12354,0.82631
B,1.7097e+19,8.8345,1.1394,0.25039,0.45671
B,9.6059e+18,7.8745,0.32907,0.29351,0.34067
B,1.9928e+19,12.7,2.7141,0.12529,0.82184
B,8.9715e+18,17.8,0.56876,0.28073,0.3734
B,8.2927e+18,18.968,0.50023,0.28712,0.35683
B,1.5082e+19,15.643,1.9406,0.21786,0.5525
B,1.1029e+19,12.137,1.5484,0.29719,0.33154
B,1.1225e+19,5.9676,0.31642,0.30131,0.32147
B,8.4257e+18,10.786,0.19663,0.21759,0.55331
B,1.4837e+19,16.984,0.91242,0.18532,0.65095
B,1.4232e+19,6.0161,0.47602,0.28426,0.3642
B,1.2206e+19,6.8681,0.23788,0.23761,0.49376
B,1.4751e+19,6.7537,1.0114,0.2188,0.54969
B,1.4872e+19,6.5447,0.56228,0.11295,0.8526
B,1.2688e+19,6.2232,0.89962,0.24581,0.46987
B,2.0004e+19,14.127,2.9854,0.30325,0.3168
B,1.9489e+19,23.345,2.728,0.21935,0.54804
B,1.5268e+19,4.6407,0.80706,0.29387,0.33976
B,1.0783e+19,11.631,1.1419,0.18329,0.65709
B,7.909e+18,11.803,0.37439,0.1671,0.70537
B,6.062e+18,14.787,0.10312,0.278,0.38058
B,8.5533e+18,10.25,0.34213,0.24255,0.47931
B,1.3789e+19,9.0319,0.55388,0.20278,0.59811
B,1.1264e+19,8.207,0.53938,0.27245,0.3954
B,1.0636e+19,7.0563,0.10725,0.23991,0.48701
B,6.6763e+18,22.267,0.17416,0.24988,0.45817
B,1.4484e+19,8.6216,0.92433,0.29812,0.32926
B,7.708e+18,6.1012,0.017238,0.30079,0.32274
B,1.4784e+19,6.8074,1.0783,0.29235,0.34357
B,2.1007e+19,23.879,3.6916,0.28926,0.35137
B,1.4117e+19,34.713,1.6941,0.27572,0.38664
B,6.4391e+18,20.939,0.30952,0.28417,0.36442
B,1.4091e+19,16.393,1.7836,0.28556,0.36085
B,1.5245e+19,11.027,1.5619,0.27468,0.3894
B,1.3849e+19,13.453,1.0889,0.30042,0.32364
B,1.6111e+19,11.566,1.4289,0.30791,0.30571
B,1.1807e+19,9.0646,0.32336,0.30832,0.30475
B,1.406e+19,7.4051,0.78023,0.26888,0.40506
B,1.5807e+19,8.055,0.66267,0.2526,0.45041
B,1.6588e+19,8.7372,1.2093,0.26299,0.42124
B,1.8794e+19,8.6315,1.8194,0.23232,0.50933
B,1.8671e+19,9.2538,1.6429,0.22926,0.51839
B,1.4649e+19,17.204,1.6994,0.21894,0.54925
B,1.2652e+19,11.129,0.56033,0.26286,0.42159
B,1.9954e+19,5.6277,0.65581,0.28668,0.35798
B,9.5751e+18,19.654,1.4336,0.16929,0.6989
B,1.411e+19,6.0106,1.0371,0.19072,0.63466
B,1.1697e+19,21.525,1.062,0.30381,0.31546
B,5.6275e+18,12.672,0.23615,0.27515,0.38816
B,1.1942e+19,7.8903,0.45536,0.29267,0.34276
B,1.2507e+19,18.12,1.4478,0.25125,0.45426
B,1.1221e+19,16.308,1.189,0.25419,0.4459
B,1.2609e+19,5.1628,0.48112,0.27263,0.39491
B,1.6618e+19,11.922,1.9283,0.17923,0.66928
B,1.5511e+19,14.951,1.7116,0.19521,0.62104
B,1.6236e+19,25.037,2.8581,0.22197,0.54016
B,2.4374e+19,21.234,4.0215,0.16593,0.70882
B,8.7375e+18,14.362,0.46082,0.1699,0.69709
B,1.166e+19,14.347,1.148,0.29114,0.34662
B,1.0061e+19,14.322,0.91047,0.27376,0.39188
B,1.2395e+19,9.8325,1.2705,0.19848,0.61113
B,1.3804e+19,9.0366,0.45741,0.29563,0.33538
B,1.3499e+19,15.58,1.8018,0.20075,0.60427
B,1.3275e+19,14.575,1.0613,0.24105,0.48369
B,1.4717e+19,10.233,1.3779,0.24687,0.46682
B,1.8445e+19,18.162,3.1895,0.22198,0.54012
B,1.6996e+19,4.6598,0.70043,0.19428,0.62386
B,1.0475e+19,9.9302,0.43867,0.18594,0.64911
B,1.7011e+19,19.566,2.7262,0.1841,0.65465
B,1.5428e+19,5.4634,0.19227,0.29077,0.34754
B,6.0631e+18,23.392,0.58812,0.21803,0.55199
B,1.397e+19,48.924,1.6086,0.22084,0.54355
B,1.3926e+19,19.726,2.7195,0.29783,0.32995
B,7.1086e+18,9.3035,0.33531,0.1653,0.71066
B,1.1841e+19,7.1048,0.21642,0.25408,0.44621
B,7.7014e+18,45.849,0.96207,0.29783,0.32996
B,1.4664e+19,29.941,2.3233,0.23172,0.51112
B,8.9223e+18,9.8009,0.32517,0.19556,0.61999
B,1.7652e+19,9.1721,1.0537,0.20968,0.57721
B,1.5933e+19,8.9083,0.89976,0.2971,0.33175
B,7.7981e+18,9.3105,0.17448,0.23339,0.50616
B,6.8172e+18,11.044,0.28048,0.26394,0.41862
B,1.1045e+19,16.225,1.888,0.29057,0.34806
B,9.2252e+18,31.692,1.4347,0.15236,0.74815
B,1.5312e+19,9.6274,1.2271,0.25069,0.45585
B,1.5295e+19,18.068,2.1728,0.21635,0.55704
B,6.3977e+18,13.431,0.26093,0.27379,0.3918
B,1.5213e+19,24.905,2.1795,0.30306,0.31725
B,9.146e+18,12.842,0.99346,0.30626,0.30961
B,9.1412e+18,29.734,1.0834,0.15168,0.75006
B,1.0493e+19,12.84,0.40623,0.17343,0.68661
B,1.2704e+19,9.5352,0.6083,0.23331,0.50642
B,1.3657e+19,45.434,3.9637,0.28287,0.36781
B,1.0123e+19,11.398,0.72491,0.29367,0.34026
B,1.4681e+19,7.7676,0.94606,0.27154,0.39785
B,9.5332e+18,11.307,0.76308,0.20021,0.60588
B,7.964e+18,12.005,0.15181,0.1476,0.76162
B,1.0372e+19,9.7114,1.013,0.27526,0.38786
B,1.2058e+19,10.005,0.80805,0.30465,0.31344
B,1.5398e+19,4.3442,0.4083,0.16885,0.70022
B,1.5849e+19,3.4925,0.30336,0.23975,0.48748
B,2.6047e+19,3.3967,0.093305,0.29511,0.33669
B,2.8132e+19,2.105,0.29479,0.29932,0.3263
B,1.8299e+19,14.242,2.5565,0.2954,0.33596
B,1.3227e+19,12.196,1.1774,0.22643,0.52682
B,1.5202e+19,4.8816,1.2884,0.1982,0.612
B,1.1101e+19,18.068,1.1504,0.26673,0.41094
B,1.2021e+19,7.9137,0.52426,0.21931,0.54816
B,8.28e+18,15.325,0.87146,0.27657,0.38438
B,5.9217e+18,8.9463,0.08392,0.27045,0.4008
B,6.9323e+18,10.22,0.51034,0.21806,0.55192
B,1.0534e+19,9.0444,0.23044,0.18488,0.6523
B,9.8673e+18,10.683,0.11558,0.29623,0.33389
B,1.093e+19,10.831,0.58206,0.24849,0.46215
B,1.4026e+19,12.203,1.2885,0.19928,0.60873
B,1.9083e+19,11.909,1.9995,0.25324,0.44859
B,1.4528e+19,15.5,2.4204,0.23047,0.51481
B,8.6289e+18,16.134,0.88317,0.25394,0.4466
B,1.1431e+19,8.0278,0.90073,0.15845,0.73065
B,1.4072e+19,13.042,1.9251,0.27278,0.3945
B,1.3975e+19,11.296,1.5432,0.29995,0.32477
B,1.7247e+19,14.172,2.4516,0.22711,0.52481
B,1.6609e+19,9.6533,2.242,0.23465,0.50246
B,1.2192e+19,6.237,0.80602,0.23481,0.50198
B,1.1208e+19,7.6452,0.092376,0.30712,0.30757
B,8.1083e+18,11.019,0.37299,0.22065,0.54412
B,1.7342e+19,17.557,3.0583,0.30967,0.30158
B,1.2083e+19,7.002,0.26041,0.24246,0.47959
B,8.7765e+18,12.207,0.33453,0.17099,0.69387
B,1.0693e+19,6.1509,0.22157,0.20824,0.58156
B,1.9504e+19,6.8406,0.75389,0.20976,0.57695
B,7.771e+18,15.023,0.60585,0.20791,0.58256
B,1.3427e+19,14.358,1.0998,0.15279,0.74691
B,1.4066e+19,10.465,0.74038,0.14756,0.76171
B,6.7738e+18,26.7,0.67203,0.23933,0.4887
B,1.4752e+19,20.031,2.8242,0.25968,0.43044
B,1.1458e+19,17.914,1.1665,0.29402,0.33939
B,1.7033e+19,9.8729,2.0779,0.22275,0.53784
B,1.1014e+19,7.7746,0.4696,0.27943,0.37681
B,9.6218e+18,6.6686,0.33695,0.17339,0.68674
B,6.3252e+18,24.007,0.2375,0.26316,0.42077
B,2.9277e+19,19.432,4.4296,0.28552,0.36094
B,1.5094e+19,11.163,1.2294,0.30279,0.31791
B,9.0198e+18,16.11,0.81297,0.18404,0.65484
B,1.2372e+19,13.956,1.0183,0.24028,0.48595
B,7.6657e+18,17.28,0.55185,0.22474,0.53188
B,1.5816e+19,4.5688,0.65992,0.2876,0.35561
B,1.0623e+19,10.266,0.48229,0.24912,0.46034
B,1.0525e+19,6.5499,0.14141,0.27193,0.39681
B,2.1494e+19,5.359,0.757,0.20886,0.57968
B,8.7021e+18,14.507,0.12599,0.30201,0.31978
B,9.1402e+18,12.369,0.30252,0.30019,0.32418
B,1.8685e+19,12.959,3.284,0.30997,0.30089
B,1.7358e+19,12.374,2.348,0.27956,0.37647
B,1.4497e+19,17.078,1.9419,0.2548,0.44417
B,6.365e+18,18.738,0.31131,0.30267,0.31819
B,6.7996e+18,19.595,0.63016,0.25641,0.43962
B,1.5606e+19,12.278,2.4,0.2135,0.56566
B,1.4776e+19,5.5176,0.24015,0.20442,0.59312
B,1.4008e+19,5.3423,0.52402,0.17986,0.66741
B,9.5453e+18,6.6035,0.37303,0.22723,0.52444
B,7.886e+18,8.3548,0.053333,0.19305,0.62761
B,6.1428e+18,12.434,0.069497,0.18247,0.65955
B,1.2236e+19,15.175,1.7976,0.25731,0.43709
B,1.7183e+19,11.691,1.5579,0.29019,0.34903
B,8.1323e+18,15.981,1.1266,0.18386,0.65536
B,1.7264e+19,14.222,1.5136,0.25626,0.44004
B,1.4032e+19,27.453,1.7726,0.2386,0.49084
B,1.0934e+19,13.567,0.81128,0.3038,0.31547
B,1.8574e+19,12.642,2.4371,0.19385,0.62516
B,6.1114e+18,14.02,0.13604,0.1798,0.66758
B,1.0323e+19,11.066,0.63637,0.25776,0.43582
B,1.3463e+19,10.847,0.60999,0.21492,0.56135
B,8.8794e+18,9.8925,0.092214,0.26181,0.42451
B,9.8172e+18,12.601,0.5987,0.30349,0.31622
B,1.0323e+19,11.576,0.62102,0.30879,0.30364
B,1.2635e+19,8.915,0.39162,0.25843,0.43395
B,1.3084e+19,7.3144,0.66042,0.26476,0.41634
B,1.5207e+19,8.5898,0.7011,0.23115,0.5128
B,9.0166e+18,10.948,0.79483,0.28715,0.35677
B,1.5463e+19,9.4169,1.4865,0.30116,0.32184
B,1.2594e+19,6.7236,0.51533,0.29536,0.33605
B,9.3649e+18,16.501,0.65416,0.2499,0.45813
B,6.8558e+18,20.824,0.90411,0.23314,0.50689
B,1.3551e+19,4.1922,0.15781,0.22267,0.53806
B,6.2313e+18,21.12,0.18036,0.18152,0.66242
B,1.4675e+19,13.516,1.0502,0.2926,0.34295
B,7.3324e+18,11.933,0.38563,0.19972,0.60739
B,1.1725e+19,11.233,0.84231,0.18949,0.63838
B,9.2893e+18,12.605,0.44337,0.28051,0.37398
B,2.1179e+19,15.261,2.2098,0.282,0.37006
B,6.5326e+18,16.06,0.46095,0.2784,0.37954
B,1.3419e+19,9.9415,0.78864,0.27757,0.38171
B,1.717e+19,7.8092,1.126,0.27528,0.38782
B,1.4429e+19,9.6286,1.4676,0.14722,0.76269
B,1.1769e+19,7.0798,0.22608,0.20856,0.5806
B,6.7989e+18,48.064,1.3495,0.24885,0.46112
B,8.8036e+18,24.163,0.51976,0.29896,0.3272
B,9.294e+18,17.991,0.86671,0.086794,0.91013
B,2.2531e+19,23.356,2.7496,0.30551,0.31139
B,1.2356e+19,6.6073,0.88124,0.27108,0.39911
B,1.2606e+19,13.759,1.7088,0.19489,0.62201
B,1.2641e+19,14.663,2.0517,0.21565,0.55917
B,7.5535e+18,16.741,0.82238,0.1898,0.63743
B,1.5674e+19,7.9827,1.0967,0.29577,0.33504
B,1.9773e+19,6.8385,0.95341,0.19717,0.61511
B,9.6382e+18,36.157,1.4653,0.27972,0.37605
B,1.0841e+19,10.312,0.99994,0.22473,0.53191
B,1.1651e+19,43.197,2.0882,0.29556,0.33556
B,1.3535e+19,10.961,1.1048,0.28539,0.36127
B,1.2926e+19,17.653,1.7984,0.18528,0.65108
B,2.4193e+19,3.9323,0.63378,0.28118,0.37222
B,2.0781e+19,12.569,2.3972,0.23128,0.51242
B,1.8333e+19,14.023,2.044,0.25735,0.437
B,1.4564e+19,7.4871,1.17,0.24683,0.46694
B,1.4948e+19,4.3658,0.41339,0.21414,0.56371
B,1.4184e+19,13.418,1.6629,0.26095,0.42691
B,4.5366e+18,31.508,0.011083,0.26782,0.40795
B,1.5846e+19,3.7011,0.037464,0.22348,0.53564
B,1.1488e+19,6.1321,0.48221,0.30928,0.30249
B,1.5715e+19,6.6148,0.77594,0.17032,0.69586
B,1.1934e+19,7.7116,0.71999,0.27965,0.37624
B,1.5256e+19,6.7696,0.29477,0.21187,0.57057
B,1.9049e+19,8.9453,1.9496,0.15734,0.73386
B,2.0943e+19,3.4649,0.23797,0.15317,0.74583
B,1.6447e+19,8.2289,0.60643,0.23842,0.49138
B,1.8839e+19,11.262,1.694,0.19108,0.63355
B,9.6134e+18,20.178,1.0347,0.27605,0.38576
B,1.1534e+19,12.41,1.6135,0.23367,0.50534
B,8.7114e+18,16.749,0.41883,0.28912,0.35174
B,1.324e+19,26.104,1.8991,0.1536,0.74461
B,1.2633e+19,7.1727,0.46145,0.094539,0.89429
B,2.0321e+19,112.78,3.8915,0.28361,0.36589
B,1.2599e+19,5.9503,0.24681,0.29289,0.34222
B,1.7423e+19,10.932,2.6766,0.24298,0.47809
B,1.0122e+19,16.537,1.1941,0.28525,0.36165
B,1.0231e+19,18.064,2.4213,0.26818,0.40699
B,1.0802e+19,9.7661,0.92819,0.21992,0.54632
B,1.3947e+19,10.454,1.4651,0.2362,0.49789
B,1.1986e+19,12.487,0.92136,0.25517,0.44313
B,1.2614e+19,14.769,2.1594,0.2961,0.33423
B,6.9794e+18,14.832,0.60127,0.2596,0.43068
B,1.4588e+19,7.999,1.6158,0.30873,0.30378
B,1.8452e+19,13.913,1.5865,0.27593,0.38607
B,6.9699e+18,8.561,0.21373,0.30574,0.31085
B,1.5067e+19,6.0975,0.63046,0.22815,0.52172
B,2.3272e+19,3.7604,0.493,0.1765,0.67747
B,1.5121e+19,15.436,1.3049,0.24869,0.46158
B,1.5975e+19,26.624,2.3218,0.27313,0.39358
B,9.865e+18,12.166,1.0315,0.27631,0.38506
B,1.5366e+19,6.7756,1.1743,0.17686,0.6764
B,6.4948e+18,20.112,0.59341,0.22963,0.5173
B,8.1687e+18,15.534,0.81801,0.28327,0.36678
B,1.4913e+19,8.4679,1.2244,0.18719,0.64533
B,1.1809e+19,6.3581,0.47228,0.13642,0.79246
B,1.7507e+19,4.4518,0.29771,0.14928,0.75687
B,2.0563e+19,3.5506,0.28555,0.14899,0.75768
B,1.1778e+19,5.0221,0.052706,0.20864,0.58034
B,2.0276e+19,12.917,2.1718,0.26459,0.41683
B,1.5467e+19,14.573,2.3617,0.28647,0.3585
B,1.2722e+19,7.9998,0.83341,0.14931,0.75678
B,1.2875e+19,9.3942,0.56781,0.22206,0.53988
B,9.916e+18,20.87,1.0672,0.29053,0.34817
B,8.5198e+18,11.106,0.38885,0.21366,0.56518
B,9.9132e+18,16.395,1.6119,0.23677,0.49621
B,9.128e+18,13.595,0.49622,0.28559,0.36077
B,6.4494e+18,12.681,0.13084,0.26564,0.41392
B,1.6595e+19,8.6159,1.5423,0.20569,0.58927
B,1.7931e+19,13.0,2.6518,0.29768,0.33033
B,1.0685e+19,11.108,0.57932,0.24058,0.48505
B,2.1714e+19,4.1538,1.2275,0.22457,0.53238
B,1.4861e+19,11.031,1.8225,0.19108,0.63356
B,2.1289e+19,8.5215,2.1226,0.30875,0.30374
B,1.6949e+19,11.805,1.9296,0.29714,0.33166
B,9.9187e+18,14.468,0.90513,0.29279,0.34246
B,9.9797e+18,51.252,1.5964,0.29361,0.34043
B,7.7021e+18,11.079,0.1291,0.19259,0.62899
B,1.6434e+19,6.2388,0.27468,0.20529,0.5905
B,1.0688e+19,25.97,0.99492,0.30324,0.31683
B,1.0462e+19,6.7789,0.20968,0.30568,0.31098
B,1.7233e+19,10.256,2.1011,0.23314,0.5069
B,6.8018e+18,32.844,0.69165,0.27855,0.37913
B,1.9952e+19,12.108,2.9819,0.27767,0.38145
B,1.2856e+19,9.93,0.72719,0.26807,0.40728
B,1.4451e+19,6.5967,0.87153,0.24822,0.46294
B,1.3545e+19,5.4867,0.10149,0.22165,0.54112
B,1.6988e+19,25.248,2.1956,0.14958,0.75602
B,2.0124e+19,8.2976,2.2426,0.29706,0.33186
B,2.1236e+19,10.353,2.2417,0.1153,0.84689
B,1.4309e+19,6.7592,0.38863,0.24052,0.48523
B,1.4274e+19,8.5726,0.87557,0.16917,0.69925
B,1.3082e+19,12.033,1.2864,0.25926,0.43162
B,5.8637e+18,35.933,0.49015,0.27186,0.39699
B,7.6207e+18,8.6931,0.10243,0.2084,0.58108
B,2.5239e+19,2.5083,0.28334,0.27301,0.39388
B,2.2552e+19,42.153,3.6548,0.13191,0.80452
B,1.0873e+19,8.0598,0.31134,0.28673,0.35783
B,5.5141e+18,49.981,0.7654,0.28828,0.35388
B,9.629e+18,10.898,0.69254,0.18286,0.65837
B,1.2563e+19,5.9457,0.48433,0.16597,0.70868
B,1.4265e+19,9.5285,0.88877,0.25602,0.44072
B,7.0025e+18,16.574,0.51449,0.29508,0.33675
B,9.8607e+18,13.241,1.3093,0.095697,0.89183
B,9.7646e+18,4.9753,0.24289,0.27048,0.40073
B,1.0552e+19,31.872,1.8147,0.29512,0.33664
B,1.3017e+19,7.1499,0.20072,0.26818,0.40698
B,8.7542e+18,20.257,0.7902,0.2851,0.36202
B,1.1734e+19,9.52,1.0635,0.14206,0.77704
B,6.6878e+18,9.9132,0.060341,0.1386,0.78652
B,7.1646e+18,10.952,0.35304,0.27476,0.3892
B,7.9264e+18,11.134,0.60131,0.25453,0.44494
B,1.8634e+19,11.611,1.5805,0.077877,0.92699
B,4.4308e+18,32.756,0.35483,0.19327,0.62695
B,1.4334e+19,8.4387,0.79008,0.22396,0.53421
B,2.0054e+19,3.4374,0.49555,0.24288,0.47835
B,1.3468e+19,9.3412,1.16,0.29586,0.33483
B,9.3888e+18,11.927,0.82776,0.2404,0.4856
B,2.1789e+19,8.5603,2.8815,0.29821,0.32902
B,6.9889e+18,25.17,0.89928,0.30906,0.30302
B,7.6804e+18,18.993,1.0873,0.2534,0.44816
B,1.6258e+19,6.9952,0.55756,0.22076,0.54379
B,1.2633e+19,8.7679,0.94816,0.21196,0.57032
B,1.2265e+19,6.9863,0.17052,0.26248,0.42266
B,1.2769e+19,7.0345,0.92408,0.13771,0.78896
B,3.6155e+18,26.83,0.0036215,0.24584,0.4698
B,2.3824e+19,28.024,3.9076,0.29338,0.34099
B,2.2887e+19,16.207,3.3158,0.26005,0.42942
B,1.862e+19,17.34,2.654,0.26332,0.42034
B,1.3175e+19,9.3848,0.84317,0.25042,0.45662
B,1.2897e+19,9.0936,0.51524,0.17618,0.67841
B,8.6115e+18,11.144,0.11754,0.27524,0.38793
B,1.039e+19,9.3742,0.53833,0.29292,0.34216
B,6.1201e+18,14.326,0.334,0.23027,0.51541
B,6.3715e+18,80.929,0.56411,0.30727,0.30722
B,1.3555e+19,5.8844,0.18923,0.28234,0.36919
B,6.1857e+18,16.373,0.055291,0.21815,0.55164
B,1.3454e+19,9.4778,0.40961,0.30698,0.3079
B,1.0588e+19,12.819,0.84518,0.23982,0.48728
B,1.3795e+19,8.0736,0.52856,0.13252,0.8029
B,1.6e+19,19.466,2.0239,0.11223,0.85433
B,1.8155e+19,6.406,1.3452,0.30645,0.30917
B,1.1522e+19,10.85,0.78733,0.14207,0.777
B,9.9408e+18,14.667,0.82618,0.25508,0.44337
B,7.8061e+18,49.307,1.1938,0.25071,0.4558
B,1.2966e+19,8.8611,1.0632,0.21909,0.5488
B,2.0865e+19,8.8232,2.7976,0.28399,0.36489
B,2.0702e+19,2.945,0.2458,0.2359,0.49876
B,1.5584e+19,3.5515,0.16854,0.20333,0.59642
B,1.902e+19,4.7992,0.52586,0.23052,0.51465
B,1.6652e+19,16.723,2.1088,0.28876,0.35264
B,1.1807e+19,12.092,1.4746,0.17322,0.68724
B,1.0989e+19,15.012,1.614,0.27222,0.39601
B,1.399e+19,6.8186,0.46431,0.27201,0.39659
B,1.2188e+19,6.3616,0.42077,0.1602,0.72558
B,1.1495e+19,12.944,1.3687,0.29391,0.33967
B,2.6046e+19,21.387,2.859,0.28731,0.35636
B,1.093e+19,10.829,0.69296,0.26551,0.41428
B,6.9639e+18,23.442,0.41258,0.16327,0.71663
B,1.1672e+19,13.352,1.3281,0.24075,0.48456
B,1.1811e+19,7.5224,0.4517,0.17516,0.68146
B,1.3959e+19,5.686,0.67102,0.29406,0.33928
B,1.6287e+19,5.3714,0.31075,0.25071,0.45582
B,2.3373e+19,10.354,2.2456,0.19267,0.62873
B,1.1215e+19,11.252,1.2058,0.18549,0.65045
B,1.2082e+19,20.13,1.7064,0.19508,0.62144
B,2.0726e+19,13.807,2.4526,0.30371,0.3157
B,2.2131e+19,36.659,2.8695,0.23352,0.50578
B,1.8406e+19,19.57,2.0805,0.24792,0.46379
B,1.4954e+19,22.518,1.8954,0.19998,0.60659
B,7.083e+18,42.801,0.96451,0.2792,0.37742
B,1.4672e+19,25.117,2.7613,0.15024,0.75415
B,1.9582e+19,5.6619,0.93587,0.26269,0.42207
B,2.1466e+19,23.477,2.3276,0.24691,0.46672
B,1.5517e+19,25.214,2.2328,0.15225,0.74845
B,1.414e+19,16.412,1.6645,0.18343,0.65666
B,2.4983e+19,8.5398,2.1188,0.26339,0.42013
B,1.5026e+19,17.291,1.8678,0.29676,0.33259
B,2.3415e+19,18.296,3.053,0.28632,0.35889
B,2.7119e+19,3.3522,0.15706,0.25599,0.44083
B,2.5452e+19,2.7839,0.24673,0.20343,0.59612
B,1.5194e+19,11.306,1.5591,0.29535,0.33608
B,1.0152e+19,7.8664,0.15518,0.18426,0.65417
B,1.5288e+19,10.173,0.89298,0.24061,0.48496
