Stimuli,DF,Duration,Pitch,AMVariance,SpectralCentroid,ShannonEntropy,Roughness,AttackSlope,rmsEnergy,Brightness,SpectralSkewness,SpectralSpread
animalSounds_001,2430.9999999999995,2.704761904761905,621.7929116974182,0.02224091270797746,3047.761589722685,0.8583290641393291,553.6647941725038,13.517870456376789,0.15687560373838053,0.924745600044117,1.1595868166278265,1786.3876256609549
animalSounds_002,2661.9999999999995,2.548027210884354,710.1093234192881,0.015517453291920872,2830.4780808779374,0.8599076484168141,324.1090026294248,10.647800849803215,0.1109828725174966,0.9032066495121924,1.4138182647167898,1674.5524278183073
animalSounds_003,5068.999999999999,1.5292517006802722,459.14408510199195,0.0384468412596451,6410.53609593188,0.8405465648014674,274.73650507147454,13.424941556405717,0.1733997349432479,0.9813237079601043,1.566358703113922,3225.325460853235
animalSounds_004,18114.0,1.5031292517006802,88.19938114727255,0.008298930183510408,10666.234970833017,0.9329171213556858,76.77044760518541,29.364472099027083,0.0799795644646927,0.9457243086754954,-0.13533026173603577,4821.435843432915
animalSounds_007,2140.9999999999995,0.8761904761904762,1065.4177493615805,0.08064867237196062,1940.7321821705573,0.5357387969237306,3.5049350514192304e-06,17.807016682660084,0.2479904350630394,0.9594079857525075,8.038657430009744,771.2726105538528
animalSounds_008,2140.9999999999995,0.588843537414966,1058.3924536948164,0.05368970744718854,1825.6751082885971,0.5098417129335752,4310.004522587751,12.000365169310866,0.19336290454979033,0.936629473735124,7.812062248415335,793.488422022575
animalSounds_009,2590.0,1.2680272108843538,1285.1834002086753,0.056143598770036926,2332.769200076865,0.48372913942207585,9419.345283769137,14.864456931741207,0.20150804373529085,0.9754283999636415,6.291533016088088,1443.0017111731845
animalSounds_010,2588.9999999999995,0.7717006802721088,1282.797011368334,0.05391618169728216,2308.9430171873114,0.5265535523318879,9357.221584954394,15.0728981471096,0.19530661550352033,0.9754672276342614,6.331802844511085,1345.3488831771947
animalSounds_011,3116.0,0.6933333333333334,94.43323474587288,0.07924024786638875,3161.2560248016175,0.6281026667274202,981.4309026241478,63.51583632041377,0.21725759900607772,0.9960592537170339,10.206713271490617,767.9108054304461
animalSounds_012,3116.0,0.2492517006802721,94.43249700413944,0.11981355070717245,3170.563549598681,0.5223751348677229,18903.792395625525,42.814867900043964,0.29014236194823845,0.9960080177855537,9.844014060499854,820.6479312336044
animalSounds_013,16480.999999999996,2.4696598639455782,193.2052766590157,0.010789365575732951,,0.9506772241920851,13968.565367343808,41.24849107537608,0.12339709824596572,0.9999620561182083,-0.004848005255451002,4139.2804168224975
animalSounds_014,18153.999999999996,3.2272108843537417,345.3260255066728,0.012948477235769152,,0.9537480174454889,9559.409261738292,38.639544665849684,0.11325206400333676,0.9997435067276925,-0.014702184713241568,4134.649027892261
animalSounds_015,6193.999999999999,2.3912925170068027,913.5195534117757,0.009958805774623028,,0.9526065703193922,14115.00293484876,36.28882590997832,0.12616803901547666,0.9986837620519384,-0.02753236819805221,4188.312887070385
animalSounds_016,18115.999999999996,2.4174149659863944,1530.6026268665316,0.009435467448337363,,0.9515962708134371,15474.611963213745,40.28437626132649,0.13219721078867558,0.9992589757684973,-0.016526464620395535,4156.503687741603
animalSounds_017,1160.0,0.43210884353741497,1154.5634770715872,0.05126464127930092,1190.7015477540372,0.4908814086503171,0.0,52.997422287358795,0.17612497398747037,0.9803373831537711,23.08841522233402,611.8784369002731
animalSounds_018,1496.9999999999998,0.27537414965986395,1486.0279785229645,0.07050503498664905,1518.150562650319,0.44790257332438926,0.0,51.609226061462564,0.22012214393097845,0.9955214899714491,27.668932963172757,507.01250229839474
animalSounds_019,4726.0,1.5292517006802722,367.2255536775218,0.027886237243683696,6204.476261915682,0.833188434764132,798.2487995600413,28.171240938355908,0.1438880995220289,0.9926411170734798,1.9278017737905386,2844.243066642404
animalSounds_020,2980.9999999999995,2.156190476190476,709.7307714229422,0.0036154039595061795,9254.788307964387,0.9478862670750422,5.215423754132775,,0.047573700234571435,0.9757741067754422,0.19537910943710726,5326.799741478854
animalSounds_021,4735.999999999999,1.1374149659863946,365.7794063558739,0.034836579857555484,7079.105311556001,0.8541430379197756,83.31488718434076,23.98254995309617,0.1476883201007901,0.9954220168754836,1.415375134351975,3967.4745599719263
animalSounds_022,17974.999999999996,1.6076190476190477,124.46678769536803,0.005890811732480339,8829.070901560208,0.9375435048813977,17.49111061887437,40.2473795389927,0.06486208691525315,0.8932318698382617,0.03585548354446153,5329.06421156856
animalSounds_023,4996.0,1.8165986394557823,385.8927505688423,0.021991562190611533,6803.825035369415,0.8292191008346524,161.93417932700208,26.244826648467125,0.12374256620936423,0.9902523976404086,1.5177176019115388,3400.6520595910874
animalSounds_024,2355.0,4.350476190476191,911.4163348681808,0.0018791026146569715,,0.9672272156904793,1282.2186990912614,,0.04201280962427427,0.958675064793953,-0.13814865926791406,4978.112737996971
animalSounds_025,5089.0,2.835374149659864,83.42262198129701,0.00741602577918429,9002.541376738776,0.8896253945321281,20.357351319291787,14.424672026090974,0.07011798518284473,0.9781734942453861,0.31047468692009883,4142.50383326517
animalSounds_026,6644.999999999999,3.8802721088435375,1000.7328513762117,0.0018290722818695287,,0.9644613460829592,176.431625448368,14.660032253446708,0.03566554317350318,0.9310709159576136,0.14429077498819043,4705.037738504585
animalSounds_027,856.0,0.6149659863945578,710.6969348643626,0.04435691310250633,1477.6050635411714,0.7538145673541099,0.35529573757361904,22.70623748259384,0.19580156917304406,0.47031023434172475,2.812723121059277,1148.4233101690356
animalSounds_028,691.0,0.6410884353741496,623.5808062113076,0.04995064826762875,1187.9558569832445,0.7122689037281631,0.07503999602376393,21.169211824414248,0.21679733257485753,0.3618522625453155,3.656713058169712,1049.6914882185713
animalSounds_029,778.0,0.5365986394557823,697.9621372922186,0.059725212566469586,1180.1857617602836,0.7159753182314791,0.05187540224891874,25.324250993726583,0.21209211864813335,0.31690100926418086,2.620163360909508,920.5127091914807
animalSounds_030,808.0,0.48435374149659866,744.9146329093469,0.04247612672233324,1648.2702157935817,0.7474297918982101,0.1438216048222313,19.150692120196414,0.20095994331991326,0.4348315796811788,2.3073645959000406,1369.1271158437733
animalSounds_031,815.9999999999999,0.5365986394557823,744.5262329685106,0.044513478991300696,1273.1956449055729,0.7413587531213525,0.16134528368561246,28.570644284392653,0.20031276691211794,0.3888228014064903,3.7435815716011063,1023.4042864550856
animalSounds_032,824.9999999999999,0.4582312925170068,776.9528351688355,0.06027241184083049,1062.3932108791398,0.7064080087207328,0.030983220161130767,35.1316519558279,0.23256141109822287,0.28869868544777394,3.182275622070411,663.6347873902752
animalSounds_033,829.0,0.6149659863945578,725.0631703782628,0.028869024906261875,1401.1089050414544,0.7558177970413694,0.6732586417108697,28.688462090137953,0.1576340531764451,0.46454340656084636,3.3468511507136314,1096.16564667949
animalSounds_034,829.0,0.7194557823129252,732.1171430804483,0.0422553846918907,1409.598703391074,0.7615211578017869,3.4752032993635122,29.513341650585563,0.1855760823027948,0.4860730845781605,3.071710964534704,1032.5237201261782
animalSounds_035,1032.0,0.4582312925170068,881.913376016287,0.02317434768429918,1720.965259630336,0.7509266280836362,56.63646299570169,29.638256273332686,0.13110494236812464,0.6238745724397023,3.3489425335819862,1590.9126851191302
animalSounds_036,878.0,0.30149659863945577,943.2684100937097,0.04660920023549954,1301.5994567624452,0.716396917976264,65.06905417401032,9.836734264151762,0.2006019902686408,0.4176450296637338,4.750168006801668,1304.253464322417
animalSounds_051,5473.999999999999,1.2680272108843538,903.984858129151,0.012930606567253615,5335.81408952907,0.8942613876382093,106.84847911148329,10.985663597440102,0.1487448052718595,0.9058971452766946,1.3796312480632182,3922.9537271795302
animalSounds_052,3712.0,0.7194557823129252,1023.4278829046202,0.008698903619364312,5311.535537444323,0.8795041555782095,113.3871096477865,12.436722901280604,0.10647112885439766,0.9267250745124638,1.5104998699273282,3900.2481468555775
animalSounds_053,4101.0,0.9806802721088436,1136.316290224037,0.019219592042533273,5583.826608912992,0.8696340607786078,62.12309184471586,8.98788355464836,0.1443931826505936,0.9022560357223823,1.2982324464426462,4448.767091926902
animalSounds_054,3386.0,0.902312925170068,1041.3531176113224,0.009516911304890602,5385.498461865762,0.9056337199641189,109.66149532905267,11.435378115385477,0.14275323871733137,0.8676588373620342,1.211639236974122,4627.242586591399
animalSounds_055,3981.9999999999995,4.037006802721089,987.1169993944944,0.01981795302491674,5097.210316516313,0.9016854776204878,71.99261195525304,18.791099783464407,0.12140881862319058,0.9605493647279394,1.7968504858210181,3576.852628772728
