dia,tasa_purificacion_l_m2_h
1,1.9
2,1.92
3,1.9
4,1.97
5,1.8
6,1.85
7,1.84
8,1.81
9,2.02
10,2.09
11,1.96
12,1.85
13,1.96
14,1.93
15,1.88
16,1.96
17,1.97
18,1.86
19,1.87
20,1.9
21,1.91
22,1.97
23,1.83
24,1.94
25,1.96
26,2
27,1.99
28,1.96
29,2.01
30,2
