planta,metodo,biomasa_g,vainas_llenas,peso_semilla_g
#1,solar,3.86,13,2.17
#1,ro,1.94,7,1.12
#2,solar,5.48,13,2.36
#2,ro,2.82,7,1.4
#3,solar,4.23,14,2.23
#3,ro,3.03,9,1.53
#4,solar,4.26,14,2.43
#4,ro,3.48,11,1.88
#5,solar,4.33,16,2.3
#5,ro,4.35,11,1.74
#6,solar,4.59,16,2.89
#6,ro,3.36,12,1.53
#7,solar,5.07,16,2.82
#7,ro,4.5,12,2.16
#8,solar,4.62,17,2.56
#8,ro,3.19,13,1.95
#9,solar,5.28,22,3.61
#9,ro,4.47,15,2.37
