planta,metodo,dia,altura_cm
#12,ro,21,11.1
#12,ro,28,19.1
#12,ro,35,24.2
#12,ro,42,25.4
#12,natural,0,0
#12,natural,7,5.2
#12,natural,14,7.2
#12,natural,21,8.1
#12,natural,28,9.1
#12,natural,35,17.6
#12,natural,42,13.7
#13,solar,0,0
#13,solar,7,5.5
#13,solar,14,9.2
#13,solar,21,9.3
#13,solar,28,16.7
#13,solar,35,25.3
#13,solar,42,29.8
#13,ro,0,0
#13,ro,7,5.2
#13,ro,14,7.4
#13,ro,21,10.8
#13,ro,28,13.8
#13,ro,35,29.1
#13,ro,42,31.2
#13,natural,0,0
#13,natural,7,5.5
#13,natural,14,7.4
#13,natural,21,8.6
#13,natural,28,10.2
#13,natural,35,17.5
#13,natural,42,12.1
#14,solar,0,0
#14,solar,7,5
#14,solar,14,8.6
#14,solar,21,8.8
#14,solar,28,18.3
#14,solar,35,26.2
#14,solar,42,29.7
#14,ro,0,0
#14,ro,7,6
#14,ro,14,8.2
#14,ro,21,8.4
#14,ro,28,16.6
#14,ro,35,23.3
#14,ro,42,25.8
#14,natural,0,0
#14,natural,7,4.9
#14,natural,14,7.1
#14,natural,21,9.4
#14,natural,28,8.4
#14,natural,35,16.3
#14,natural,42,11.2
#15,solar,0,0
#15,solar,7,5.5
#15,solar,14,8.7
#15,solar,21,9.4
#15,solar,28,15.6
#15,solar,35,25.8
#15,solar,42,30.3
#15,ro,0,0
#15,ro,7,4.5
#15,ro,14,7.8
#15,ro,21,10.8
#15,ro,28,14.4
#15,ro,35,24.6
#15,ro,42,26.4
#15,natural,0,0
#15,natural,7,5.5
#15,natural,14,7.8
#15,natural,21,9.8
#15,natural,28,8.7
#15,natural,35,16.1
#15,natural,42,13.8
