temperatura_c,conversion_ch4_pct,conversion_co2_pct,tof_s1
750,12.8,22.4,12.1
700,9.0,15.9,8.49
650,5.5,10.4,5.19
600,2.6,5.1,2.45
550,0.6,1.5,0.57
