sovereign,gross_area_loss_km2,seagrass_area_km2,organic_carbon_tg_c
Albania,2.1192,12.9361,0.0495
Algeria,18.9664,61.6831,0.2362
Antigua and Barbuda,69.1483,161.7609,0.8040
Australia,4939.1067,14905.2729,48.2999
Azerbaijan,13.6023,24.7439,
Bahamas,17033.9217,53657.4976,266.6778
Bahrain,72.1884,381.3973,1.2662
Bangladesh,1.1442,2.3807,0.0079
Barbados,6.3436,10.2701,0.0510
Belize,493.1665,2122.7524,10.5501
Brazil,66.0081,205.1668,0.9394
Bulgaria,19.4162,27.5904,0.1057
Cambodia,10.4792,55.2286,0.2176
Canada,727.8608,2057.6218,7.0243
Chile,0.4053,2.9832,0.0084
China,35.9790,70.2726,0.2497
Colombia,69.7729,162.7069,0.8087
Comores,7.8413,56.1428,0.1864
Croatia,12.9391,78.2718,0.2998
Cuba,4434.1590,20445.4378,101.6138
Cyprus,46.0664,113.3429,0.4341
Denmark,463.6877,1618.0432,6.1971
Djibouti,6.4521,12.0282,0.0399
Dominica,0.4881,1.2526,0.0062
Dominican Republic,102.3774,377.5902,1.8766
East Timor,0.3441,2.6142,0.0103
Egypt,107.1805,221.1670,0.7837
Eritrea,18.7712,42.0422,0.1396
Estonia,111.4377,590.7931,2.2627
Federal Republic of Somalia,67.8028,240.6499,0.7990
Fiji,139.8636,554.8675,1.2892
Finland,29.4882,107.0857,0.4101
France,458.4484,1575.1956,6.2364
Germany,165.3826,523.7640,2.0060
Greece,601.5374,1783.3171,6.8301
Grenada,8.2215,16.3408,0.0812
Guatemala,0.3150,5.3706,0.0267
Guinea-Bissau,23.9663,40.0211,0.1989
Haiti,90.4882,256.1496,1.2731
Honduras,14.9345,48.6369,0.2417
India,198.1890,622.1226,2.0654
Indonesia,1451.8525,4825.3962,18.9717
Iran,17.2008,19.9853,0.0189
Ireland,51.0594,114.6934,0.4317
Israel,7.3628,26.8198,0.1027
Italy,211.1658,844.5773,3.2347
Jamaica,97.9255,365.6874,1.8175
Japan,27.1229,140.9114,0.3587
Kazakhstan,794.9974,2659.8587,
Kenya,43.4201,314.8690,1.0454
Kiribati,59.1636,91.2571,0.1095
Kuwait,6.8858,28.5870,0.0949
Latvia,4.7298,8.5048,0.0326
Lebanon,2.4817,5.2163,0.0200
Libya,344.9873,651.8702,2.4967
Madagascar,134.4911,622.5273,2.0668
Malaysia,108.2812,297.8923,1.1737
Maldives,50.7479,104.7415,0.3477
Malta,7.6500,18.7439,0.0718
Marshall Islands,55.0450,70.6532,0.0848
Mauritania,243.5585,755.6107,3.7345
Mauritius,10.4781,15.1746,0.0504
Mexico,1142.5815,4388.2942,20.3281
Micronesia,19.1198,54.7365,0.2157
Monaco,0.0202,0.1144,0.0004
Montenegro,0.9507,6.7702,0.0259
Morocco,8.3032,31.6471,0.1212
Mozambique,275.6334,1147.0263,3.8081
Myanmar,34.4640,102.0195,0.3387
Nauru,0.0069,0.0069,0.0000
Netherlands,23.3850,75.8249,0.3072
New Zealand,58.7259,268.3455,0.7975
Nicaragua,45.9784,141.5797,0.7037
Norway,191.0128,453.7999,1.7381
Oman,81.5077,327.5188,1.0874
Palau,45.8602,123.9689,0.4884
Panama,22.0394,68.0265,0.3386
Papua New Guinea,495.3523,1679.3542,6.6167
Philippines,925.0206,2844.5003,11.2073
Poland,9.2224,35.0795,0.1344
Portugal,13.3098,34.5939,0.1325
Qatar,56.4502,290.4810,0.9644
Republic of Mauritius,37.9850,86.4579,0.2870
Romania,4.9818,9.0125,0.0345
Russia,703.2785,1404.3022,2.0857
Saint Kitts and Nevis,10.9513,24.5398,0.1220
Saint Lucia,7.3839,16.6073,0.0825
Saint Vincent and the Grenadines,6.3119,10.8995,0.0542
Samoa,14.4046,42.1212,0.0505
Saudi Arabia,258.4410,1056.6416,3.5081
Senegal,3.9444,8.3288,0.0414
Seychelles,52.4103,108.6757,0.3608
Sierra Leone,34.2913,129.7451,0.6448
Singapore,0.7778,1.6791,0.0066
Solomon Islands,56.8905,129.8791,0.5117
South Africa,4.8764,8.9647,0.0703
South Korea,3.5544,9.0927,0.0223
Spain,384.3303,899.1986,3.4439
Sri Lanka,133.1924,518.5711,1.7217
Sudan,21.3959,43.4723,0.1443
Sweden,147.5301,628.0833,2.4056
Syria,3.5058,6.8030,0.0261
Taiwan (Province of China),40.9175,127.1810,0.5011
Tanzania,146.7151,723.6709,2.4026
Thailand,23.2480,82.0447,0.2854
Tonga,13.8420,55.3305,0.2174
Trinidad and Tobago,5.9759,13.4416,0.0668
Tunisia,582.6487,1429.0820,5.4734
Turkey,183.1852,518.8525,1.9872
Turkmenistan,78.4170,85.3862,
Ukraine,304.8778,1067.9457,4.0902
United Arab Emirates,272.2461,772.3000,2.5640
United Kingdom,856.8482,2187.0658,10.2338
United States,1718.8648,8602.0535,35.7855
Vanuatu,8.9440,18.9965,0.0748
Venezuela,75.1959,161.3492,0.8019
Vietnam,19.4779,49.7917,0.1962
Western Sahara,5.4202,23.6300,0.0905
Yemen,74.3778,134.7040,0.4472
